"Name","Phone","Address"

"Touchstone","+ 91  183 5000040",""
"Arora Group Of Institutes","+ 91  183 5097487",""
"Scholar Destiny Education S...","+ 91  183 6555503",""
"A2E Academy","+ 91  9216780780",""
"Global Immigration Consulta...","+ 91  183 5015277",""
"Need India Career Institute","+ 91  8437860605",""
"English World","+ 91  183 5008999","Sco 27, Second Floor, District Shopping Complex, Ranjeet Avenue Block B, Amritsar - 143001, Above VLCC"
"Pegasus Institute","+ 91  183 5093334",""
"Shah E Meera Institute","+ 91  183 5097932",""
