"Name","Phone","Address"

"Talk To The Hand","+ 91  80 33722854","No.653/67,H M Zeta, 11th Main,2nd Floor, Jayanagar 4th Block, Bangalore - 560011, Near Mc Donalds"
"X Factor Adventure","+ 91  9844235359","No 38/3, Amba Bhavani Temple Road,M S Palya Main Road, Vidyaranyapura, Bangalore - 560097, Opposite Sambhram College"
"Flight 4 Fantasy","+ 91  80 22067977","No.21, The Forum Mall, 4th Floor, Hosur Road, Koramangala, Bangalore - 560095"
"Wonderla Holidays Ltd","+ 91  80 22010333","Jadenahalli Road, Mysore Road, Hejjala Post, 28th Km, Bidadi, Bangalore - 562109"
"Snow City","+ 91  80 23550000","Fun World Complex, Jc Nagar, Bangalore - 560006, Opposite To TV Tower, Near Palace Ground"
"Innovative Film City","+ 91  80 22099999","No.24 & 26, Kiadb Estates, Bidadi, Bangalore - 562109, Near To Coca Cola Factory"
"Cubbon Park","+ 91  80 22864189","No.1, Cubbon Road, Bangalore - 560001"
"Play Arena","+ 91  9900099911","No.75, Amrita College Road,Central Jail Road,Kasavanahalli, Sarjapur Road, Bangalore - 560034, Near Total Mall"
"Indira Gandhi Musical Water Fo...","+ 91  80 22864125","T Chowdaiah Road, Raj Bhavan Road, Bangalore - 560001, Opposite To Planetorium"
"Cool Point Juice And Chats","+ 91  80 69925147","80 Feet Road, Giri Nagar, Banashankari 3rd Stage, Bangalore - 560085"
"Hot And Chats","+ 91  9972189319","157,, Moodalapalya,, Nagarbhavi, Bangalore - 560072"
"Free Way 19","+ 91  80 23611329","Ramana Maharishi Road, Palace Grounds, Bangalore - 560080, Palace Grounds"
"Iamgame","+ 91  80 41464263","No.818, 80 Feet Road, 8th Block, Koramangala 8th Block, Bangalore - 560095, Opposite To Indian Heritage Academy, Near National Games Village Signal"
"Freedom Park","",""
"White Petals","+ 91  9886011675","Palace Grounds Premises, Ramanamaharishi Road, Palace Grounds, Bangalore - 560080"
"Fun City","+ 91  80 41666662","Oasis Centre, 4th Floor, Salarpuria Tech Point, Intermediate Ring Road, Koramangala, Bangalore - 560034, Near Sony World Junction"
"The Martin Farm","+ 91  9845779666","No.33, Chikka Bellandur, Sarjapur Road, Carmelram Road, Bangalore - 560035, Near Wipro Corporate Office"
"Snakes And Ladders","+ 91  80 65705105","3rd Floor, Windsor F4, Bannerghatta Road, Bangalore - 560076, Near Royal Meenakshi Mall"
"Gaythri Juice And Chats","+ 91  80 65993511","38, 100 Feet Ring Road, 8th Cross,, Uttharalli Road,, Doddakallasandra, Bangalore - 560062"
"Snakes And Ladders","+ 91  80 65705105","Soul Space Arena Mall, 3rd Floor, Marathalli Ring Road, Doddanekundi Extension, Bangalore - 560037, Near Emc Sqaure"
"The Escape Hunt Experience","+ 91  80 25254868","No 764, 2nd Floor., 100 Feet Road,HAL 2nd Stage, Indira Nagar 2nd Stage, Bangalore - 560038, Near Sony Center"
"Playgym","+ 91  9731837282","No 7m-215, 2nd Floor, 7th Main Road, 80 Ft Road,HRBR Layout 2nd Block, Kalyan Nagar, Bangalore - 560043, Above Natures Basket"
"S S Entertainment","+ 91  80 25554639","Bangalore - 560001"
"The Bumble Bee Studio","+ 91  80 41210606","No.139, 4th Floor, Century Quadra, 8th Main Road, Malleswaram, Bangalore - 560003, Between 13th & 15th Cross, Above Nilgiris"
"Breakout","+ 91  9538974275","No.27, NMR Building, 1st Floor, Intermediate Ring Road, 100 Feet Road, Chandra Reddy Layout, S T Bed Layout, Koramangala, Ejipura, Bangalore - 560047, Opposite To HDFC Bank"
"Iamgame","+ 91  80 25450956",""
"Chicken Paradise","+ 91  80 25368113","70,, Brigade Road,, Shanthala Nagar, Bangalore - 560001"
"Wonder La Holidays Pvt Ltd(Mar...","+ 91  9886683548","#2,2nd Floor,1st Cross, 4th Main, Sampangiramnagar, Bangalore - 560027, Near"
"Tripura Vasini","","Palace Grounds Premises, Palace Road, Vasanth Nagar, Bangalore - 560001"
"Stanley Sports","+ 91  9686181553","No.1047, 3rd Floor, 12th Main, Bannerghatta Road, Jp Nagar 3rd Phase, Bangalore - 560078, Inside Gopalan Innovation Mall"
