"Name","Phone","Address"

"Anjappar Chettinad Restaurant","+ 91  80 25534477","No 04, 17th Main,100 Feet Road,4th B Block, Koramangala, Bangalore - 560095, Near Bda Complex"
"Costa Biryanis","+ 91  80 33090378","612/1, Lotus building ..4th floor, 80 feet road, Koramangala, Bangalore - 560034, 4th block...near Sony world signal banglore"
"Hyderabadi Bawarchi","+ 91  80 33294746","No 960, Prithvi Arcade, Vidyaranyapura Main Road, Vidyaranyapura, Bangalore - 560097, Next To Adigas"
"Ruh Restaurant","+ 91  80 33054577","4th Floor,Ganapa Tower, Sarjapur Outer Ring Road, Bellandur, Bangalore - 560103, Near Bellandur Junction And Central Mall"
"Aaranya Multi Cuisine Resta...","+ 91  80 41108346","No. 462, Teachers Colony, HSR Layout, Bangalore - 560102, Near Central Silk Board"
"Kuttanadu Restaurant","+ 91  80 42114333","Ground Floor, 13A, 14th Main, Hsr Layout, Bangalore - 560102, Near Green View Hospital"
"Swadist","+ 91  80 33762905","#202,17th E Main, KHB colony 5th block, Koramangala 5th Block, Bangalore - 560034, opposite muthoot finance"
"Pai Viceroy Hotel","+ 91  80 39629104","No.1504, 16th Cross,9th Main, Jayanagar 3rd Block, Bangalore - 560011, Near Sultan Jewelley"
"Hyderabadi Bawarchi","+ 91  80 33054732","No.1012, Ground Floor, Dasarahalli Main Road, Kempegowda Circle,, Dasarahalli, Bangalore - 560024, Near Shoba Moon Apartments, Near Maruthi Temple"
"Delicacy Chinese And Thai F...","+ 91  80 39827717","No.313, 4th Cross,Ombr Layout, Banaswadi, Bangalore - 560043, Opposite St George College"
"Pai Comforts","+ 91  80 33052230","No.1319, 100 Feet Road,2nd Phase, Jp Nagar, Bangalore - 560078, Near Honda Showroom"
"Coastal Delights","+ 91  80 33091442","No.241, 13th Cross, 2nd Stage, Cmh Road, Indira Nagar 2nd Stage, Bangalore - 560038, Opposite To Kanthi Sweets"
