"Name","Phone","Address"

"Guru nanak diesel service","+ 91  9815482137","37, Hide market, Amritsar Bus Stand, Amritsar - 143001, No, petrol pump"
"Global Service","+ 91  9915851900","Amritsar Gpo, Amritsar, Hathi Gate Road, Amritsar - 143001"
"SUSHIL FINANCIAL SERVICES PVT....","+ 91  183 2553894","106,, HALL BAZAR, Hall Bazar, Amritsar - 143001, NEAR PARTAP SHOES"
"HDB Financial Services","","533/1,1st Floor, Mahajan Refreshment House, Hall Bazar, Amritsar - 143001"
"New Punjab Disel Service","+ 91  183 2541341","Shop No 75/3 New Punjab Diesel Sevice Atma, Gali 4, Amritsar - 143001"
"Fine Services","+ 91  183 2277320","F-7/311 Batala Road, Kashmir Avenue, Amritsar - 143001"
"First Teach Services","+ 91  183 5061244","178 Rajinder Nagar, Amritsar - 143001, Near Alpha One Mall"
"Ravi Computer Services","+ 91  183 2507333","Shop Number 7, District Court Complex, Ajnala Road, Amritsar - 143001, Opposite District Court Gate Number 2"
"Tiffin Service -Uncle Tomatoes","+ 91  9815734014","Shivala Colony, Amritsar - 143001"
"Keshav Art Service","+ 91  9779717884","main bazar, outside lohgarh gate, Amritsar - 143001, near Graduate gas Agency"
"Service Repairing","+ 91  9417083105","West Lane No-2 H No-6, Hussainpura, Amritsar - 143001"
"Good Housekeeping & Secuirty S...","+ 91  9915880311","271/B 2 Nd Floor Gali No-8, Hussainpura, Amritsar - 143001, Near Amristar Public School"
"Singh Taxi Service","+ 91  9465672002","Amritsar, shop no. 61, Amritsar - 143001, near golden temple,hotel sita niwas"
"star plus sales and services","+ 91  9815411154","shop no.7, shivala road, Shivala Colony, Amritsar - 143001, near railway crossing"
"Golden TV Service Centre","+ 91  183 2558776","Shop Number- 1, Amritsar - 143001, B K Dutt Gate, Near Arun Rashmi Saini School"
"Tejpal immigration","+ 91  183 5007517","Sco-6 2nd floor, Distt shopping cimplex, Ranjit Avenue, Amritsar - 143001, Uppar la pizeria"
"Kats immigration","+ 91  9988603928","Sco 6,forth floor,b-block, District shopping complex,ranjit avenue, Amritsar - 143001, Near punjab kesri office"
"Eves Immigration Consultants","+ 91  8054616204","62/A Doctor Complex, Majitha Road, Amritsar - 143001, Opp. Madan Hospital"
"Jagdev Gas Service","+ 91  183 2256200","Gt Rd, Chheharta Railway Station, Amritsar - 143105"
"Brightway Consultancy","+ 91  183 5538835","G T Rd, Chheharta Railway Station, Amritsar - 143105, Opp Ocm Mills,Chheharta"
"KHAIRA IMMIGRATION","+ 91  9872285159","SCO 122, 2nd Floor, B-Block, Amritsar - 143001, Vishal Mega Mart"
"Friends Laundry Service","+ 91  8427864721","Hindu Sabha College, Amritsar - 143006, Toba Bhai Shalo, Lohgarh Gate"
"Cox Worldwide Consultants","+ 91  183 6549910","Sco-32, Pal Plaza,2nd Flr, Blk-B, Distt Shoping Complex, Ranjit Avenue, Amritsar - 143001"
"D.S mobile service","+ 91  8054858281","shop no 66, shaheed Udham Singh market, Amritsar - 143001, NR shudh dhaba"
"Gs electricals and service centre","+ 91  9417932599","Shop no 2, Jammu walli gali, Amritsar - 143001, Near ganpati tower"
"ACE Tours Worldwide Pvt Ltd","+ 91  183 6541504","Sco 122 Third Flr Distt Shopp Cmplx C Blk, Ranjit Avenue, Amritsar - 143001"
"Tata Machines & Services","+ 91  9855052400","180-A, Shivala Road, Amritsar Bus Stand, Amritsar - 143001, Gramin Bank"
"Sunrise Visa Immigration","+ 91  183 2589944","Sant Avenue G T Rd, Amritsar - 143001"
"Deep Immigration","+ 91  9781517802","Shop No.1619,, Gol Masjid,, Amritsar - 143001, Opp. Bus Stand,"
"Chadha Housing & Capital Servi...","+ 91  183 2542143","Amritsar - 143001, Inside Ghee Mandi"
"Golden T.v. Service Centre","+ 91  9888299051","Near Arunrashmi Sainik School, B.k. Dutt Gate, Amritsar - 143001"
"Blue Sky Worldwide Travels","+ 91  183 5050007","Dsc Ranjit Avenue, Amritsar - 143001"
"Golden gas service","+ 91  183 5055555","Putlighar, G. T road, Amritsar - 143001"
"GET ENERGY SERVICES","+ 91  9217746700","Building Number-273/H, 100 Feet Road, East Mohan Nagar, Amritsar - 143006, Opp. JAYCEE Motors"
"taxi service amritsar","+ 91  9855028504","Opp. Khalsa Public School, GT Road, Near. Khalsa College Amritsar, Punjab, Putligarh, Amritsar - 143002"
"Victoria Immigration & Education","+ 91  183 5098112","Scf-35, Amritsar - 143001, Kabir Park,Opposite Guru Nanak DEV University"
"Dhillon Developers & Finance S...","+ 91  183 5000026","G T Rd, Amritsar - 143001, Nr Dada Motor,Mullanpur"
"Madhur Courier Services","","Beas, Amritsar - 143201"
"Pyar Bus Service Regd","+ 91  9814299717","Opp. Ferooman Rd.,,"
"Sanchit Financial & Mgmt Servi...","+ 91  183 2226477","378, M. M. Malviya Rd.,"
"Magnus Financial Services","+ 91  9876844477","3,, New Plaza Market, I/S. Sarai. Sant Ram,, Amritsar - 143001, O/S. Hall Gate"
"Health Way Immigration","+ 91  9888888125","Court Road, Amritsar - 143001"
"Cic Immigration","+ 91  8872634791","Court Road, Amritsar - 143001"
"Dogra Parcel Packer and Courie...","+ 91  9417997865","61 Court Road, Amritsar - 143001, Near Amritsar Head Post Office And Opposite New Rialto Cinema"
"Angel worldwide courier","+ 91  9316020682","Shop no 12, 1st floor suri complex, Amritsar - 143001, Opp.railwaystation outergate"
"Amristsar Taxi Service","+ 91  183 2229191","Amritsar Railway Station Road, Amritsar - 143001"
"Jolly Chef Food Services","+ 91  183 5099920","Sco - 33, 3rd Floor, Distt. Shopping Complex,, B- Block, Ranjit Avenue, Amritsar - 143001, Near Lakme Beauty Parlour"
"English Dot Com Education Serv...","+ 91  183 4094378","Ho Sco-26,Distt Shopping Cplx, Amritsar - 143001, B Blk,Ranjit Avenue"
"Universal Consultancy","+ 91  9888999084","10 K Malviya Cmplx, M.m. Malviya Rod, Amritsar - 143001"
"Gill Green Bus Service","+ 91  183 2576751","Shop no 7, Goal bagh, Amritsar - 143001, Near Railway Station"
"Sangam Gas Service","+ 91  183 2210111","8, Queen Road, Amritsar - 143001"
"Faridabad Crane Service","+ 91  9810660406","Santokhpura, Byepass Opp. Indl. Ess, Amritsar - 143001"
"Qsso Consultancy","+ 91  183 2204378","6, Basti Nau, Amritsar - 143001"
"Paras Worldwide Tour & Travels","+ 91  183 2564970","Albert Road, Amritsar - 143001"
"SAI Kirpa Van Service","+ 91  9855183218","Plot No.42, Vishal Vihar, Banke Bihari Gali, Amritsar - 143001, Batala Road"
"R S Engineering Services","+ 91  183 5019752","401/G-8 Shri Ganpati Tower, Lawrence Road, Amritsar - 143001"
"Pinder travel service","+ 91  9779160381","Shop no :44, Amritsar - 143001, Majitha road"
"King Consultancy","+ 91  183 5061455","99 , city centre, Amritsar - 143001, opposite gurunanak bhawan"
"B N Overseas Education Service","+ 91  183 2452093","Jal Road, Amritsar - 143001"
"Thukral Financial Services","+ 91  9814032264","D-448, Ranjit Avenue, Ward No 43, Amritsar - 143001"
"For Home Services To Kill Pest...","+ 91  9417833414","Lawrence Road, Amritsar - 143001"
"Danish Immigration Consultants","+ 91  183 5014005","Shop No 88-89 Kabir Market, Opp HDFC Bank, Amritsar - 143001, Near King Palace"
