"Name","Phone","Address"

"Surma Kanwal Pharmacy","+ 91  1882 245573","Hoshiarpur - 146001, Sheesh Mehal Bazar"
"Surma Kanwal Pharmacy","+ 91  1882 238573","Bharwain Road, Hoshiarpur - 146001, Banjar Baug, Opposite Petrol Pump"
"Charan Kanwal Hospital","+ 91  1882 254819","Govt College Rd, Hoshiarpur - 146001"
"Jiwan Data Pharmacy","+ 91  1882 241995","B-14/339, Street No 3, Hoshiarpur - 146001, Parhlad Nagar, Near Tf 234339"
"Gokal Pharmacy","+ 91  1882 520614","Railway Road, Hoshiarpur - 146001"
"Dr. Kanwal Jeet Kaur","+ 91  9632132089","Gurcharan.K.Hospitalgovt.College Rd,Hoshiarpr Punjab, Hoshiarpur - 146001"
"kalyan pharmacy (ayurvedic med...","+ 91  1882 505055","kalyan, kotwali bazar, Hoshiarpur - 146001, opp. verma jewellers"
"Moga Sokra Pharmacy","+ 91  1882 222292","Phagwara Road, Hoshiarpur, Hoshiarpur - 146001"
"Mittra Ayurvedic Pharmacy","+ 91  1882 223321","Flat No 235, Hoshiarpur - 146001, Near Kacha Toba, Moulvian"
"Kishore Homoeo Pharmacy","+ 91  1882 247357","Hoshiarpur - 146001, Kotwali Bazar"
"Parth Homeopathic Pharmacy","+ 91  1882 520317","Kotwali Bazar, Hoshiarpur - 146001, Near Clock Tower, Near Marvahan Mohallah"
"Ram Pharmacy","+ 91  1882 252405","Jalandhar Road, Hoshiarpur - 146001, Opposite Civil Hospital"
"B.S. Kanwal","+ 91  1882 224187","Opp. Sales Tax Office, Railway Road, Hoshiarpur - 146001"
"Jiwan Datta Pharmacy","+ 91  1882 242999","Hoshiarpur - 146001, Kotwali Bzr"
"Apollo Pharmacy","+ 91  9100023991","Shop No 8, Model Town Market, Model Town, Hoshiarpur - 146001"
"Ravinder Ayurvedic Pharmacy","+ 91  9463943786","parhlad nagar, Gardhiwala, Hoshiarpur - 144207, Dana Mandi"
"Arihant Homoeo Pharmacy","+ 91  1883 244291","Mukerian, Hoshiarpur - 144211, Opp. Bus Stand"
