"Name","Phone","Address"

"The Yellow Chilli","+ 91  183 5057777","Sco 108 District Shopping Center Ranjit Avenue, Amritsar - 143001, B-Block"
"Manni Chicken Corner","+ 91  7837775595","Main bazaar, Circular road, Amritsar - 143001, Near Khetarpal hospital"
"Makhan Fish & Chicken Corner","+ 91  9815193241","21-A,, Majitha Road,, Amritsar - 143002, Near Madaan Hospital"
"Cafe Oz","+ 91  183 5027333","Sco Number 120 District Shopping Complex, Ranjeet Avenue Block B, Amritsar - 143001"
"Sheetal Again (The Boutique...","+ 91  183 2211403","39-A, Circular Road, Amritsar - 143001, Nr. Khetar Pal Hospital"
"SAFE WAY Restaurant & BLUE ...","+ 91  183 5065165","S.C.O 125 Distic Shopping Complex, Ranjit Avenue, Amritsar - 143001, Adjoining Vishal Mega Mart Opp Improvement Trust"
"Crystal Restaurant","+ 91  183 2225555","Queens Road, Amritsar - 143001, Crystal Chowk"
"Yo China Restaurant","+ 91  183 5010001","Sco- 34,District Shopping Complex, Amritsar - 143002, Ranjit Avenue"
"Stars N Bars","+ 91  183 5069388","Sco-118, Ranjit Avenue, Amritsar - 143001"
"Astoria Food Pavilion","+ 91  183 2505722","Sco -38, District Shopping Centre, Amritsar - 143002, Near Reliance Fresh, Ranjit Avenue"
"Sarhad Food & Culture Park","+ 91  183 2382000","Amritsar - 143002, National Highway, Attari Wagah Border"
"Yo ! China / Hi - Que","+ 91  183 5050504","Sco 34 Dist. Shopping Complex, Ranjit Avenue B- Block, Ranjit Avenue, Amritsar - 143001, Nr. Relaince Fresh"
"BOLLYWOOD DHABA","+ 91  9988724797","3rd Floor The Celebration Mall, Amritsar - 143001, Batala Road"
"Moti Mahal Deluxe Restaurant","+ 91  183 5069991","Golden Tulip, Gt Rd, Amritsar - 143002, Model Town"
"Ista Hotel","+ 91  183 2871234","Main G T Road, Amritsar - 143001, Adjacent Alpha One City Centre, Mbm Farms"
"Chaman Beer Bar & Restaurant","+ 91  9815179495","No.7 court chowk, Amritsar Kutchery, Amritsar - 143001, Near Bikaner, Court Chowk"
"CHARCOAL N WUDZ","+ 91  183 5060009","Sco-124, Above Bata showroom, Amritsar - 143001, District Shopping Complex, Near Vishal Mega Mart, B Block, Ranjeet Avenue"
"Aurah Restaurant & Lounge","+ 91  9501578248","Hotel Blue Moon, The Mall, Amritsar - 143002"
"Rock Star Restaurant & Bar","+ 91  9888188061","Ram Bagh, AMRITSAR - 143001, Opp. Nandan Cinema"
"Galaxy Multicuisine Restaurant","+ 91  183 5070077","sco 123 1st Floor, B Block, Ranjit Avenue, Amritsar - 143001, Near Vishal Megha Mart"
"Thaichi Restaurant (Hyatt Hotel)","+ 91  183 2871234","C/O Hyatt Hotel, Main G T Road, Amritsar - 143001, Adjoining Alpha One City Centre, Mbm Farms"
"Bella Italian Tratoria","+ 91  183 5088888","C/O Holiday Inn, Ranjit Avenue, Amritsar - 143001, Near MK Hotel, District Shopping Centre"
"Standard Beer Bar","+ 91  7814390002","G . T road Putlighar, Amritsar - 143001"
"Groove In Restrobar","+ 91  183 2503950","Sco - 22, District Shopping Cplx, Amritsar - 143001, B- Blk,Ranjit Avenue"
"Bittu Meat Wala","+ 91  9855077550","Shop No-96,Ram Talai, Amritsar Bus Stand, Amritsar - 143001, Transport Nagar,Kabadi Market"
"Cantt Club & Restaurant","+ 91  9872644473","Plot Number 7A, Thimaya Road Amritsar Contonment, Amritsar Cantt, Amritsar - 143001, Near Contonment Board"
"Fuel Stop","+ 91  183 5013333","Alpha Mall, G T Road, Amritsar - 143001, Near g.t .road"
"Big Shot","+ 91  183 5050555","C/O Country Inn & Suites By Carlson, Queens Road, Amritsar - 143001"
"Bottoms Up","+ 91  183 2562424","C/O Grand Hotel, Queens Road, Amritsar - 143001, Opposite Railway Station"
"Spice Garden","+ 91  183 3224141","32 the mall, mall road, Amritsar - 143001, near ebony khurana jewellars"
"MEHAK FOOD PLAZA","+ 91  7508877077","Amritsar - 143006, OPP. STATE BANK OF INDIA"
"Dazzle","+ 91  183 5061111","C/O BEST Western Merrion, 45, District Shopping Complex, Amritsar - 143002, Ranjit Avenue, B Block"
"New quality veg & non-veg bar","+ 91  9814049213","New Quality Building, Batala Road, Amritsar - 143001, Near Prem RAI Hospital"
"The Pizza Studio & The Brew Be...","+ 91  9780090314","SCO 116,1st Floor, B-Block Ranjit Avenue, Ranjit Avenue, Amritsar - 143001, Near Cafe Coffee Day"
"A One Snacks Corner","+ 91  9988940037","Booth Number 65 B Block, Ranjit Avenue, Amritsar - 143001, Opposite M .K Hotel"
"Dana Pani","+ 91  7508889519","Plot No 101, Ranjeet Avenue Block B, Amritsar - 143001, Opposite M K Hotel"
"Ziva All Day Dining","+ 91  183 5088888","C/O Holiday Inn, Ranjit Avenue, Amritsar - 143001, Near MK Hotel, District Shopping Centre"
"rohan HELLO CHICKEN POINT","+ 91  8146181277","opposite Celebration Mall, Batala Road, Amritsar - 143001, near Celebration Mall"
"Sahil food junction","+ 91  8284020209","main bazar, batala road, Amritsar - 143006, Near celebration mall"
"Manga chicken bar","+ 91  7508551724","Guru ram dass market, Amritsar Bus Stand, Amritsar - 143001, Opp.ghee mandi"
"Roger - The Taste Of Lahore","+ 91  9855032312","shop no.100-101, Ranjit Avenue C Block, Ranjit Avenue, Amritsar - 143001, Near Bukhara"
"Masala 910","+ 91  9815097945","660, Circular Road, Basant Avenue, Amritsar - 143001, Near Trillium Mall"
"The Khansama Restaurant","+ 91  183 6500003","sco.35, ranjit avenues, Ranjit Avenue, Amritsar - 143001, c block market,near royal arms gym"
"Apple Restaurant","+ 91  183 5050599","Batala Road, Amritsar - 143001"
"Day and Night Restaurant","+ 91  7508786600","main batala road, Amritsar - 143001, Near Rishabh Autos"
"Star Barrels","+ 91  8725031500","Shop no 4,5, Alpha One Mall, 2nd floor, Amritsar - 143002, Near hyatt hotel"
"Krishna Sagar Foods","+ 91  183 5015757","Gt Road, Amritsar - 143001, Opposite Khalsa College Public School"
"Grand Sons Chaman Chicken Hut","+ 91  8566911457","Shop Number 11 Main Kachari Chownk, Amritsar - 143002, Opposite Sharma Dabha"
"Punjabi nature","+ 91  8968886700","70,Kabir park, Gt Road, Amritsar - 143001, Opp GNDU"
"Gautam food corner","+ 91  9988807703","opst,, medical college 3,, ground floor ,, circular road, Amritsar - 143101"
