"Name","Phone","Address"

"Seabird Education & Immigratio...","+ 91  9915155111","Govt. College Road, Hoshiarpur - 146001, Near Parbhat Chowk"
"Rudra Education & Immigration ...","+ 91  1882 520082","Tanda Chowk,Bus Stand Road, Hoshiarpur - 146001, Near Rampa Auto"
"Humpal Travel And Immigrati...","+ 91  1884 250073","Main Bazar, Phagwara Road, Kotfathui, Hoshiarpur - 144519, Opposite Cooperative Bank"
"Healthyway Immigration Consult...","+ 91  1882 326234","2nd Floors,, Above Aggarwal Clinic,, Hoshiarpur - 146001, Opp Water Tank, Committee Bazar,"
"Sunny Immigration Consultant","+ 91  1882 220058","Court Road, Hoshiarpur - 146001, Near Mahalpur Adda"
"Minaar Immigration Consultants...","+ 91  9815389911","S No-3, Hoshiarpur - 146001, Nr Modi Nursing Home, Ramgarhia Chowk"
"WD Immigration Consultants","+ 91  1882 258135","Opposite SD city School, Chintpurni Road, Adamwal, Hoshiarpur - 146001"
"Green Immigration Consultants","+ 91  1882 502582","1st floor, Sangeeta Tower, Phagwara Road, Hoshiarpur - 146001, Near Essy Day"
"Morgan Immigration Consultants","+ 91  9041532359","Opp Sbop, Tanda, HOSHIARPUR - 144204, Tanda"
"JS Education & Imigration Cons...","+ 91  9876040084","Old Jalandhar Road Nr Tanda Pulli, Tanda, HOSHIARPUR - 144204, Tanda"
"British Oxford Education Pv...","+ 91  1882 502556","Level 1, Mall Road, Hoshiarpur - 146001, Above Syndicate Bank"
"Paradise Overseas Education...","+ 91  1884 246200","Second Floor Manila Tower, Chandigarh Road, Mahilpur, Hoshiarpur - 146105, Near Harry Gerry Palace"
"Nids Computer Education","+ 91  1884 250120","Phagwara Road, Kotfathui, Hoshiarpur - 144519, Near Canara Bank And Telephone Exchange"
"Rayat Bahra Education City","+ 91  1882 275500","Hoshiarpur - 146001, Village Bohan"
"Sant Baba Bhag Singh Education...","+ 91  8146620137","Shop No 52/1, Hoshiarpur - 146001, Opp Pt Jagat Ram"
"Karvy Consultants Limited","+ 91  1882 503201","1st Floor, The Mall, Sutheri Road, Hoshiarpur - 146001"
"Bhagat Immigration And Educati...","+ 91  1882 500013","S.No 2, Prishad Market, Hoshiarpur - 146001, Session Chowk"
"D A V College Of Education","+ 91  1882 222016","Arya Samaj Road, Hoshiarpur - 146001"
"Pankaj Suri Accountant & Tax C...","+ 91  9888700566","H. No. 294, Hoshiarpur - 146001, Moh. Ohrian, Bahadurpur"
"Aisect Education Center Pno299","+ 91  9465577655","Budhbar Adda, Near Hajipur Tehsil Mukerian, Hoshiarpur - 146001, Hajipur"
"Rajdeep Enterprises Manpower C...","+ 91  1882 251308","Dashmesh Nagar, Dagana Road, Hoshiarpur - 146001"
"Tulec Computer Education","+ 91  1882 235200","Sutehri Road, Hoshiarpur, Hoshiarpur - 146001"
"Computer Education","+ 91  1882 246398","Kit India, Near Bus Stand, Hoshiarpur, 2nd Floor, Hoshiarpur - 146001, Near Bus Stand Hoshiarpur"
"S.G.N. Medical Education And S...","+ 91  1882 239485","Main Road, Hoshiarpur - 146001, Opp Talwara Township"
"Overseas Career Consultant","+ 91  9855156176","Opposite Cooperative Bank, Gt Road, Mukerian, Hoshiarpur - 146001"
"Global Institute And Consultants","+ 91  9876894533","Sant Market, Chabbewal, Main Bazar, Hoshiarpur - 146001"
"Lemieux Education Group","+ 91  9716861898","Hoshiarpur - 146001"
"HEIGHTS OVERSEAS CONSULTANTS P...","+ 91  1882 253544","Hoshiarpur - 146001"
"C/O Aisect Computer Education","+ 91  9872661218","Guru TEJ Bahadur Colony, Hoshiarpur - 146001, Mukerian Tehsil"
"E N M Stock Consultant","+ 91  1882 232455","No.374, Khanpuri Gate,, Hoshiarpur - 146001"
"Gagan Immigration & Educationa...","+ 91  1882 245937","Guru Gobind Singh Nagar Behind New Sabzi Mandi Phagwara Road, Hoshiarpur - 146001"
"Health Way Immigration Comopany","+ 91  9988011536","2nd Floor, Parkash Tower, Phagwara Road,, Hoshiarpur - 146001"
"Naviguer Education Pvt. Ltd.","+ 91  1882 505506","SCO - 2, FIRST FLOOR, ABOVE SBI, COURT ROAD, Hoshiarpur - 146001, OPPOSITE GREEN VIEW PARK"
"AISECT Computer Education","+ 91  1882 245300","2nd Floor,Narang House, Hoshiarpur - 146001, Sutheri Road,Back Side Kapila Hospital"
"Victor Immigration & Study Abroad","+ 91  1882 500336","SCO 18F, City Centre, Model Town, Hoshiarpur - 146001, Near Bus Stand"
"Supreme Education Services","+ 91  8699513314","Krishna Tower, Govt. college Road, Hoshiarpur - 146001"
"Right Step Education","+ 91  1882 503286","1st Floor, S.s. Complex,, Phagwara Road,, Hoshiarpur - 146001"
"Aptech Computer Education","+ 91  1882 310410","No.204-L, Model Town, Hoshiarpur - 146001"
"Aryan Stay & Study Abroad Cons...","+ 91  9915780504","235/8a, Hoshiarpur - 146001, Jagatpura,Nr Clock Tower"
"TEJ Bhagat Financial Consultants","+ 91  1882 502502","1st, Floor,, Laxmi Building, Hoshiarpur - 146001, Shimla Pahari Chowk,,"
"Study World Consultants","+ 91  1882 502949","Opp Govt College,, Hoshiarpur - 146001"
"A P Consultants","+ 91  1882 244644","Court Rd, Hoshiarpur - 146001, Saini Mkt"
"Trivedi Overseas Education Ser...","+ 91  1882 243817","Shimla Pahari Chowk, Una Road, Hoshiarpur - 146001"
"N-Tech Computer Education","+ 91  1882 271600","Sant Market, Adda Chabbewal, Hoshiarpur - 146001"
"Laxmi Consultant","+ 91  9815171371","Near Gali No:- 6, Una Road, Hoshiarpur - 146001, Gautam Nagar"
"International Immigration Serv...","+ 91  9316461300","Level-2, Above Spyker,, Old Radha Swami Satsang Bhawan,, Hoshiarpur - 146001, Roshan Road,"
