"Name","Phone","Address"

"Golden Oak","+ 91  80 33724824","Lamarvella Hotel, No.1,1st Floor, 14th Cross, South End Circle, Jayanagar 2nd Block, Bangalore - 560011, Opposite Bangalore Hospital"
"Capital Club Resort","+ 91  80 33080378","No 5/9, 80 Feet Road,Amruthnagar Main Road, Jp Nagar 9th Phase, Bangalore - 560062, Near Anjanapura Last Bus Stop"
"Kadamba K27 The Pub","+ 91  80 33762562","No. 27, 27th Cross, Banashankari 2nd Stage, Bangalore - 560070, Near Mono Type Bus Stop"
"Nesara Grand Restaurant","+ 91  80 39558158","Satya Heritage, 13th Main,E Block,8th Cross,Parallel Kodigehalli Main Road, Sahakara Nagar, Bangalore - 560092, Opposite Bbmp Park"
"The Burgundy","+ 91  80 33910464","Royal Orchid Suites Hotel, Annexe Of Vaswani Pinnacle, White Field Main Road, Whitefield, Bangalore - 560066, Opposite Bore Well Road"
"Vaishali Deluxe hotel","+ 91  9845833092","No.20, 100 Feet Road,1st A Cross,5th Main, Banashankari 3rd Stage, Bangalore - 560085, Opposite Kamakya Theatre"
"Bhagini Restaurant","+ 91  80 25427999","No.1253, Outer Ring Road, Banaswadi, Bangalore - 560043, Near Horamavu Signal"
"Havelli Restaurant","+ 91  80 33562992","No.14/1, Kodigehalli Main Road, Sahakara Nagar, Bangalore - 560092, Near Sterling Apartments And Twin Towers"
"Ritz Restaurant","+ 91  80 33056545","No.52 And 56,C/O Gardeenia Comfortes Suites, Hosur Main Road, Bommasandra Industrial Area, Bangalore - 560099, Opposite Shetron And Canara Bank"
"Zaica Dine And Wine","+ 91  80 41201745",""
"Ujwal Family Restaurant","+ 91  80 33491848","No 204/A, 4/2 Cross,Millers Road, Vasanth Nagar, Bangalore - 560052, Opposite Mahaveer Jain Hospital"
"Zaica Dine And Wine","+ 91  80 33531669","No.141, Nagawara Junction,Thanisandra Main Road, Nagawara, Bangalore - 560045, Near Manyta Tech Park, Above A2b Hotel"
"Absolute Barbecue","+ 91  80 33644500","CPR tower,2nd Floor, 1st Phase,2nd Street,2nd Stage,100 Feet Ring Road, BTM Layout, Bangalore - 560076, Near Jayadeva Flyover"
"Icon Club","+ 91  80 33674319","No.1A/35/1,3rd Floor, Tumkur Road, Yeshwanthpur, Bangalore - 560022, Opposite Rns Motors"
"RBP Greens Garden","+ 91  80 30145341","29th Main Road, Lake Road, Btm Layout 2nd Stage, Bangalore - 560076"
"3bs Buddies Bar And Barbecues","+ 91  8880422301","Rooftop 90/4, Outer Ring Road, Marathahalli, Bangalore - 560037, Above ABS And Near Park Plaza Hotel"
"Ruh Restaurant","+ 91  80 33054577","4th Floor,Ganapa Tower, Sarjapur Outer Ring Road, Bellandur, Bangalore - 560103, Near Bellandur Junction And Central Mall"
"Bhagini Residency Lumbini G...","+ 91  80 46665999","No.4, Hebbal Outer Ring Road,Veeranna Palya,Service Road, Arabic College, Bangalore - 560045, Opposite Lumbini Park"
"Eden Park Restaurants","+ 91  8880845845","No.722/22, 10th Main,36th Cross, Jayanagar 4th Block, Bangalore - 560011, Opposite Limelite Salon,Near Jayanagar 5th Block Telephone Exchange"
"Zaica Dine And Wine","+ 91  80 39629148",""
"Young Island Comforts","+ 91  80 33724393","No.44, Millers Road, Millers Road, Bangalore - 560051, Opposite To Millers Point Complex"
"BlueOlive","+ 91  80 33531775","No.74/2, 4th Floor, Sanjana Plaza, Elephant Rock Road, Jayanagar 3rd Block, Bangalore - 560011, Above R R Gold Palace"
"Troika","+ 91  80 39559202","No 2010, 100 Feet Road,Hal 2nd Stage, Indiranagar, Bangalore - 560038, Above Staples"
"South Point Pub Bar and Res...","+ 91  80 26563642","No.7, Lakshmi Tower, Building, No.200, R V Road, South End Circle, Basavanagudi, Bangalore - 560004, Next To Bangalore Hospital"
