"Name","Phone","Address"

"Eazy Air Travels","+ 91  11 45679336",""
"Froottrip.Com","+ 91  124 7170012",""
"Affordable Travel","+ 91  124 4898789",""
"Travel On Call","+ 91  124 6515554",""
"Alternative Holidays & Travels","+ 91  120 4225539",""
"Travel Xperts.Co","+ 91  11 45752763",""
"Happy Vacations","+ 91  11 46508086",""
"World Box Tours","+ 91  11 47590422",""
"Okk Travels","+ 91  11 65378181",""
"Kingsbury Travel Leaders","+ 91  11 45706660",""
"Travel IQ Services Private ...","+ 91  124 4205544",""
"Bird Travels.Co.In","+ 91  11 65007737",""
"Emirates Tours And Travels","+ 91  11 41660442",""
"A R Travels & Transport","+ 91  124 2578022",""
"Holiday Konsepts Pvt Ltd","+ 91  120 4575027",""
"Paradise Tours And Travels","+ 91  11 23582130",""
"Almondz Tours & Travels","+ 91  11 47061990",""
"Farepayer Pvt Ltd","+ 91  11 45661507",""
"Northern Exposures","+ 91  11 27611982",""
"Hiretrips","+ 91  11 41704220",""
"ASR Tour & Travels","+ 91  11 40551442",""
"Daksh Networking Pvt Ltd","+ 91  11 43561611",""
"K P Travels","+ 91  11 47047211",""
"Metropolitan Travels","+ 91  11 42436666",""
"AAINA TRAVEL","+ 91  11 41420224",""
"Fun Seasonal Tour & Travels","+ 91  129 6519377",""
"My Dream Point","+ 91  129 4009575",""
"A R Travels","+ 91  11 41573446",""
"P R International Services","+ 91  11 26304071",""
"FlightOworld","+ 91  11 22482138",""
"Amar Holidays Pvt Ltd","+ 91  11 49004500",""
"Monarch Holiday","+ 91  11 47065732",""
"Travel Expertz","+ 91  11 45452888",""
"Triplords.Com","+ 91  11 45109956",""
"Indian Trip Zone","+ 91  120 2821479",""
"Destination Point","+ 91  11 45095733",""
"Fastrip India Pvt Ltd","+ 91  11 41717108",""
"Make You Travel","+ 91  11 40360000",""
"Platinum Tours","+ 91  11 41519737",""
"Narang Travels","+ 91  11 45390338",""
"Musafir Holidays","+ 91  11 22526569",""
"Tanish Travels","+ 91  11 46067446",""
"Incredible Getaways","+ 91  120 4123529",""
"Express Air Travels","+ 91  120 4274003",""
"Sky Planners Pvt Ltd","+ 91  11 27011734",""
"Journey Ease","+ 91  120 4223848",""
"Rishab Travels","+ 91  11 27345827",""
"Magnet Hospitality","+ 91  11 27040034",""
"Indian Global Tours","+ 91  11 27673625",""
"Mannu Forex Pvt Ltd","+ 91  11 40542823",""
"NSV Travel And Tour","+ 91  11 47761133",""
"Fiesta Travels Pvt Ltd","+ 91  11 42482078",""
"Lum Destination","+ 91  11 45523537",""
"Global Trips","+ 91  124 4144565",""
"Dream Earth Holidays Pvt Ltd","+ 91  11 46828230",""
"R S Services","+ 91  11 42441212",""
"Airways Travels","+ 91  11 45563939",""
"Trip Point","+ 91  11 41003962",""
"AMM Holidays Pvt Ltd","+ 91  11 25554191",""
"IDH Destination Pvt Ltd","+ 91  11 26476853",""
"Pigeonsky Travel & Trekking...","+ 91  11 25072928",""
"Haritimas travels & forex","+ 91  11 46013564",""
"Tourism India Corporation","+ 91  11 42664199",""
"Deep Adventures & Tours","+ 91  11 47021997",""
"N V Travel Services","+ 91  11 65292920",""
"C S Plaza","+ 91  11 41013392",""
"The Great Western Holidays","+ 91  11 25806300",""
"Priyadarshini Airwings Pvt Ltd","+ 91  124 4040400",""
"Groupfarez.com ( A unit of ...","+ 91  124 4271313",""
"SKYWINGS","+ 91  124 4309521",""
"Cox & Kings","+ 91  120 4154424",""
"Balaji Travels","+ 91  120 2535430",""
"Travel solution","+ 91  9555336048",""
"Travel Time Holidaz","+ 91  11 65280652",""
"Hinam Communications","+ 91  11 45011437",""
