"Name","Phone","Address"

"Jolly Pharma","+ 91  9855776711","Amritsar - 143001"
"Cutwell Machine India","+ 91  183 2230624","Head Water Works Rd, Amritsar - 143001"
"Indian Overseas Bank Empanelle...","+ 91  183 2540420","Mahajan Market,, Amritsar - 143001, Hall Bazaar"
"Approach Pharma","+ 91  9217728400","39, Chaudhary Plaza, Amritsar - 143001, Nr Nandan Cinema"
"Sri Guru Ram Dass Polymers","+ 91  9914387759","G T Road, Amritsar - 143001, Freedom Nagar"
"Globe Machines Engg. Works","+ 91  9780587575","140-A,, East Mohan Nagar,, Amritsar - 143001"
"Amritsar Surgical","+ 91  183 2542799","Karan Building, 1st Floor, Amritsar - 143001, Near Kulfiwala"
"D K Mktg Amritsar H O","+ 91  9356002714","Amritsar - 143001"
"Tata Machines & Services","+ 91  9855052400","180-A, Shivala Road, Amritsar Bus Stand, Amritsar - 143001, Gramin Bank"
"Amritsar Electro Care","+ 91  9217895693","30 A Ff A Block Mkt, Ranjit Avenue, Amritsar - 143001"
"Amritsar Bottling Co","+ 91  183 2258530","G T Rd, Amritsar - 143001, Chheharta,P O Rayon & Silk Mills"
"Amritsar Computer Hut","+ 91  183 5053909","Showroom 4 5 Lawrance Plaza, Lawrence Road, Amritsar - 143001, Nr Pizza Hut"
"Amritsar Taxi Booking","+ 91  183 2221408","Amritsar - 143001, Near Durgiana Temple, Hathi Gate, Corporation Market"
"KHANNA MACHINE TOOLS INDUSTRIES","","Rani Ka Bagh, AMRITSAR - 143001"
"R S Polymers","+ 91  183 2573279","Plot No. 24/25, Amritsar,Majitha Road, AMRITSAR - 143001, Near Alpine Public School"
"Garg Pharma","+ 91  183 2556875","Amritsar - 143001"
"Amritsar Ivory Works","+ 91  183 2508820","501, Amritsar - 143001, Maqbool Rd"
"Amritsar Heartcentre","+ 91  183 2400567","255, Race Cource Rd, Amritsar - 143001, Basant Avenue"
"Community Care Center For Peop...","+ 91  183 2572401","Majitha Road Amritsar, Amritsar - 143001, Near De-Addiction Centre,"
"Mahaveer Pharma","+ 91  9814802314","No-60-B, Rani Ka Bagh, Rani Ka Bagh, Amritsar - 143001, Amritsar"
"Amritsar Financial Service And...","+ 91  9915544464","Office No 2 Sharma Cmplx Ff, Amritsar - 143001"
"District Amritsar Business Ass...","+ 91  183 2541475","151, Amritsar - 143001, Idh Mkt"
"Amritsar Woollen Mills","+ 91  183 2554973","1, Katra Sher Singh, Telephone Exchange Road, Amiritsar, AMRITSAR - 143001, Amritsar"
"Sudarshan Weaving Factory Amri...","+ 91  183 2556936","Chowkbabaphowriwala, Amristar, Amritsar - 143001"
"SR Sec School Amritsar","+ 91  183 2490666","Taran Road Kot Mit Singh,, Amristar, Amritsar - 143001"
"Canara Bank, Amritsar, Punjab","+ 91  183 2222020","Tarn Taran Amritsar-, Amritsar - 143001"
"Canara Bank, Amritsar, Punjab","+ 91  183 2222049","Rayya Mandi Amritsar- 143 112, Amritsar - 143001"
"Bengal To Amritsar Tour & Travel","+ 91  9357682320","K D Plaza, Chowk Mahan Singh Gate, Amritsar, Amritsar - 143001"
"Amritsar Pulp & Board Mills PV...","+ 91  183 2503666","Jagdev Kalan Road, Gumtala,, Amristar, Amritsar - 143001"
"Amritsar Engg Works","+ 91  183 2585229","G T Rd, Amritsar - 143001, Four Fields, Nr New Amritsar Colony"
"United Sikh of Amritsar","+ 91  8566853630","S-3, Ground Floor, Amritsar Bus Stand, AMRITSAR - 143001, Opposite Sangam Cinema"
"Sachdeva Travels Amritsar","+ 91  9888732694","Opp. Sangam Cinema, Near Pingalwara, Amritsar Bus Stand, Amritsar - 143001, G.T. Road"
"Best print amritsar","+ 91  9815431034","hide market, indra palace, Amritsar - 143001, City Castle Hotel"
"Feco Paper And Machines Pvt Ltd","+ 91  183 5094680","Mehta Road, Maqbool Pura, Amritsar - 143001"
"J S Machine Repair Works","+ 91  7508780369","Mehta Road, Vallah, Amritsar - 143001"
"Hotel Amritsar Residency By Ce...","","G T Road, Amritsar - 143001, Opposite International Bus Terminal, Bamrah Service Station"
"Amritsar Car Rental","+ 91  9316492888","3, Deep Complex, 2nd Floor, Court Rd, Amritsar, Amritsar - 143001"
"Sunlight Machines","+ 91  9216116161","Plot Number- 61, G T Road, Amritsar - 143001, Near Cannel"
"Amritsar Fruit Agency","+ 91  9815034032","Stall No - 20, 21, 22, Mewa Mandi, Amritsar - 143001"
"amritsar hydraulics","+ 91  9193561329","Amritsar - 143001"
"MAHENDRA INSTITUTE AMRITSAR","+ 91  9646606160","2nd and 3rd Floor, 62, City Centre, GT Road (J.K.Orchid), Amritsar, Amritsar - 143001"
"SH Car Land - Second Hand (Use...","+ 91  9815360580","National Complex, Amritsar Bus Stand, Amritsar - 143001, Amritsar"
"Makhan Fish - Non Veg Restaura...","+ 91  9988275261","662, Old Jail Road, Basant Avenue, Amritsar - 143001, Trillium Mall"
"SHIVA PHARMA","+ 91  9872815928","Jinda wala chowk, Amritsar - 143001, I/s Hakima gate"
"forever livining prouduct in a...","+ 91  9888171301","goal maszid sharifpura sho 22, Amritsar - 143001"
"Taxi Service Amritsar","+ 91  183 7889892","Amritsar - 143001"
"Lapox Polymers Ltd","+ 91  9855718657","F 11/328, Gali No 6, Amritsar - 143001, Vijanagar Paris Town"
"Amritsar Escorts co","+ 91  9872495586","Amritsar - 143001"
"Amritsar Copreative Labour & C...","+ 91  183 2564764","plot no.29-A, Ahata Manga Road, Albert Road, Amritsar - 143001, Opposite Irrigation Department, Near Kundan Dhaba"
"Jobs in Amritsar","+ 91  8591928952","Rani Ka Bagh, Amritsar - 143001, Hp Petrol pump"
"Amritsar Golden Textiles","+ 91  183 2532484","240/4, Laj Patrai street,, Durgiana Mandir, Amritsar - 143001, opp. goql bagh"
"astrologer in amritsar","+ 91  9876263101","Amritsar - 143001"
"Jagdambay knitting machine repair","+ 91  7508378490","Shop no :2, Paris town,, Amritsar - 143001, Vijay nagar,batala road"
"Amritsar Rexine Store","+ 91  183 2542106","House Number- 243, rexine store hazar chamre wala, Amritsar - 143001, Katra Kaniya Near Telephone Exchange, Chamda Bazar"
"KGR Machine","+ 91  183 2274995","295 Industrial Area, East Mohan Nagar, Amritsar, Amritsar - 143001, Opposite Mall Mandi"
"Extreme Machine","+ 91  9815525868","Shop No-5, bazar tungupai , New Pawan Nagar , batala road, Amritsar - 143001, Near Gurukul School"
"M/S Amritsar Traders","+ 91  183 2211164","House Number- 302, R B Parkash Chand Road, Amritsar - 143001, Opposite Dordershan Kendra"
"Amritsar studio","+ 91  7508282970","Ranjinder nagar, Amritsar - 143001, Near school"
"H.N.Polymers","+ 91  9915433770","84 AMRIK SINGH COLONY, 100 FT ROAD, G T ROAD, - 143001, NEAR SUJATA INDUSTRIES"
"Hotel Amritsar Inn","+ 91  8427202611","Main bazaar, Ram BAGH ROAD, Amritsar - 143001, OPP RAILWAY TAXI STAND"
"Amritsar Textile Finishing Mil...","+ 91  183 2581836","Amritsar - 143001, Outside Ghee Mandi Gate"
"Rajat Pharma","+ 91  183 2275883","Shop No 6a, Amritsar - 143001, Dhan Dhan Guru Ram Dass Market, Kucha Dal Khana, Katra Sher Singh"
"AMRITSAR GIFT HOUSE","+ 91  9815163911","19, Krishna Market, Amritsar - 143001, Near Golden Temple"
"Kalsi Machine Tools","","121, East Mohan Nagar, Indl. Area, Amritsar - 143006"
"New Empire Machines","+ 91  183 2582297","163, Mohan Nagar, Amritsar - 143006, East"
"Indo Poly Machines Corp","+ 91  183 5095174","298, Mohan Nagar, Amritsar - 143006, East,Opp Mall Mandi, Asr"
"New Amritsar Ornaments House","+ 91  183 2547093","Amiritsar, Amritsar - 143006"
"Sonu Pharma","+ 91  183 5063425","Katra Sher Singh, Amritsar - 143006"
"Shakti Pharma","+ 91  183 2542509","Katra Sher Singh, Amritsar - 143006"
"Amit Pharma","+ 91  183 5005168","Katra Sher Singh, Amritsar - 143006"
"Amritsar Time Centre","+ 91  9876198988","Hall Bazar, Gandhi Bazar, Amritsar - 143006, Opp Electric Centre"
"Arun Pharma","+ 91  183 3093763","Katra Sher Singh, Amritsar - 143006"
"Amritsar Engg Works East Mohan...","+ 91  183 2230524","21, Mohan Nagar, Amritsar - 143006, Goka Ka Bagh,East"
"New Amritsar Ornaments House","+ 91  183 2547093","Amritsar - 143001, Guru Bzr"
"Amritsar Marble House","+ 91  183 2220446","Shop No-10, Basant Avenue, Amritsar - 143001"
"Star Polymers Incorporation,","+ 91  9855200970","25 Basant Avenue, Near Maqbool Road, Amritsar- 143 001, Amritsar - 143001"
"Amritsar interiors","+ 91  9988829737","12 Tailor Rd, Amritsar - 143001"
"Royal Polymers","+ 91  9417355325","86-A Bhai Lalo Ji Nagar, G.t.road,, Amritsar - 143001, Amritsar Cantonment"
"Amritsar Jewellers","+ 91  183 2558605","Guru Bazar, AMRITSAR - 143001"
"Amritsar Insurance Institute","+ 91  9814702582","C/O. National Insurance Co. Ltd ., D-26,, Court Road, Amritsar, Amritsar - 143001"
