"Name","Phone","Address"

"Rama Degree College","+ 91  522 6537190","Gaurav Vihar, Chinhat, Lucknow - 226028, Near Eldeco Tiraha"
"Indian Institute Of Paramed...","+ 91  522 2463304","C-4, Cinder Dump Complex, Kanpur Road, Alambagh, Lucknow - 226005, Opposite Mahana Petrol Pump"
"Ansal Technical Campus","+ 91  522 2998234","Sector C, Pocket 9, API Golf City, Sultanpur Road, Arjunganj, Lucknow - 226002, Near Shahid Path"
"I T M","+ 91  9984940001","NH24 Sitapur Road, Bakshi Ka Talab, Lucknow - 226201, Near-BKT police thana"
"S R Group Of Institutions","+ 91  9793000005","NH 24, Sitapur Road, Bakshi Ka Talab, Lucknow - 226201, Near BKT Railway Crossing"
"GCRG Group Of Institutions","+ 91  522 3076000","2nd Floor Saran Chambers - 2, Park Road, Hazratganj, Lucknow - 226001, Opposite Civil Hospital"
"T I M E Institute","+ 91  522 4065353","48b,Sringaar Nagar, Puran Nagar Dhalan,Manak Nagar Railway Station Road, Alambagh, Lucknow - 226005, Near Manak Nagar"
"IERT Institute Of Education...","+ 91  9935184301","S-60, Second Floor, Gole Market, Mahanagar, Lucknow - 226006"
"M G Institute Of Management...","+ 91  522 6570868","10th km From Amausi Airport, Kanpur Road, Lucknow - 226005, Opposite shiv shakti filling station"
"Lucknow Public College Of P...","+ 91  522 6569024","Vinamra Khand, Gomti Nagar, Lucknow - 226010, Near Kathauta Lake"
"Dr Ram Manohar Lohia Institute...","+ 91  522 4918504","Gomti Nagar, Lucknow - 226010, Vibhuti Khand"
"Babu Banarasi Das National Ins...","+ 91  522 3911222","Faizabad Road, Chinhat, Lucknow - 226028, Sector-I, Dr Akhilesh Das Nagar"
"Eras Lucknow Medical College","+ 91  522 3226777","Hardoi Road Bypass, Sarfarazganj, Lucknow - 226003, Near Mooss Bagh"
"U P State Medical Faculty","+ 91  522 2238846","5, Mall Avenue Road, Sarvapalli, Lucknow - 226001"
"Ram Swaroop Memorial Group Of ...","+ 91  522 2819028","Faizabad Road, Lucknow - 226010, Tiwariganj"
"La Martiniere College","","Council House, Martin Purwa, Lucknow - 226001, Next To Zoo"
"Lucknow University (Campus)","","Sitapur Road, Lucknow - 226002, Near Engineering College"
"Dr Shakuntala Misra National R...","+ 91  522 2998380","Mohan Road, Lucknow - 226017, Near Budheshwar Chauraha"
"National P G College","+ 91  522 2618312","2, Rana Pratap Marg, Kaisarbagh, Lucknow - 226001"
"Isabella Thoburn College For G...","+ 91  522 2333790","Faizabad Road, Lucknow - 226002, I T Crossing"
"Lucknow University Badshsh Bagh","+ 91  522 2330065","University Rd, Chandganj, Lucknow - 226007, Badsah Bagh"
"Lucknow Christian College","+ 91  522 2626958","Jagat Narayan Road, Golaganj, Lucknow - 226018, Inayat Bagh, Qaiserbagh"
"Babu Banarsi Das National Inst...","+ 91  522 3911070","Faizabad, Lucknow - 226007, Sector-1, Dr Akhilesh Das Nagar"
"DR M C Saxena College Of Engg ...","+ 91  522 4095700","171, Mall Rd,Dubagga-IIM Bypass,, Lucknow - 226001, Barawankala, Dubagga IIM Bye Pass"
"Babu Banarasidas National Inst...","+ 91  522 3911030","Sector 1, Akhileshdas Nagar, Faizabad Road, Lucknow - 226002, Main Road"
"Sherwood College Of Management","+ 91  522 2716630","Sherwood College Of Management, Lucknow, Sector - 25, Indira Nagar, Lucknow - 226 016 U.p ., India, Indira Nagar, Lucknow - 226016, Indira Nagar"
"Saraswati Dental College & Hos...","6536102 2315924","233, Faizabad Rd, Chinhat, Lucknow - 226028, Tiwari Ganj,Juggour,Via Chinhat"
"Central Institute Of Medicinal...","+ 91  522 2359623","Post Office Cimap, A P Sabha, Lucknow - 226015, Near Kukrail Picnic Spot Road"
"Montfort Inter College","+ 91  522 2321362","Mahanagar, Lucknow - 226006, Gole Mkt"
"Prasad Institute Of Management...","+ 91  522 2962607","Kanpur Road, Lucknow - 226012, Village & Post Banthara"
"Shia PG College","+ 91  522 6450005","Main Campus, Sitapur Road, Daliganj, Lucknow - 226020"
"JAI Narayan Degree College","+ 91  522 2452329","Station Rd, Lucknow - 226001"
"Bansal Institute Of Engineerin...","+ 91  522 2730090","Nh-24, Kamlabad, Kamla Nehru Marg, Lucknow - 226003, Near Sewa Hospital"
"Govt Jubilee Inter College","+ 91  522 2266652","City Station, Lucknow - 226001"
"CMS Degree College","+ 91  522 2435342","Industrial Area, Lucknow - 226012, Sec-D,Lda Clny"
"New Public Inter College","+ 91  522 2443782","Rbi Rd, Lucknow - 226001, Blk-D,South City"
"Rajkiya Balika Inter College","+ 91  522 2622123","Shahanajaf Road, Hazratganj, Lucknow - 226001"
"Mahila Vidyalaya P G College","+ 91  522 2624534","Ganga Prasad Road, Aminabad, Lucknow - 226018"
"City Group Of Colleges","+ 91  522 6555579","Building Number 1, Bharti Puram, Tiwari Ganj, Faizabad Road, Lucknow - 226010, Opposite Bbd University"
"Bright Career Public Inter Col...","+ 91  522 3248422","Thakurganj, Lucknow - 226003"
"Karamat Husain Muslim Girls De...","","Faizabad Road, Nishatganj, Lucknow - 226006, Karamat Market"
"Dr Rajendra Prasad Memo Digree...","+ 91  522 2411350","Rajaji Puram, Lucknow - 226017, Blk-E"
"Dr. Virendra Pratap Inter College","+ 91  9450423813","Kursi Road, Jankipuram, Lucknow - 226021, Depot Chauraha"
"Rameshwaram Institute Of Techn...","+ 91  522 2961116","Sitapur Rd, Lucknow - 226021, Near Sewa Hospital, Govindpuram, Main Highway , National Highway - 24"
"Ambalika Institute Of Manageme...","+ 91  522 2462665","13, Main Mohanlalganj, Mohanlalganj, Lucknow - 226301, Maurawan Road"
"Asia School Of Engineering & M...","+ 91  9621564051","12th Kilometer Milestone, Mahanagar Kursi Road, Lucknow - 226026"
"Avadh Girls Degree College","+ 91  522 2236291","20, Annexe Bhawan, Vikramaditya Mg, Lucknow - 226001"
"Lucknow Model Public Inter Col...","+ 91  522 2244348","Lucknow - 226001, Bala Ganj,Azad Ngr"
"St Joseph Inter College Thakur...","+ 91  522 3297380","A P Sabha, Lucknow - 226001"
"B N College Of Engineering & T...","+ 91  9919990716","Nh-24, Sitapur Road, Bakshi Ka Talab, Lucknow - 226201, Near Sahara Art & Management"
"A P Sen Memorial Girls College","+ 91  522 2635578","Charbagh, Lucknow - 226001, Adjacent To Bsnv College, Station Area"
"National Homeopathic College","+ 91  522 2301411","Gomti Nagar, Viraj Khand, Lucknow - 226001"
"Nepal Ganj Medical College","+ 91  522 2216822","Ff-8,ABC Cplx, Kaisarbagh, Lucknow - 226001, Opp Shubham Cinema"
"Boys Ango Bengali Inter College","+ 91  522 2638273","Charbagh, Lucknow - 226001, Sunder Bagh,Station Rd"
"Avadh Collegiate Inter College","+ 91  522 2436090","Kanpur Rd, Industrial Area, Lucknow - 226012, Daroga Khera"
"Amiruddaula Islamia Degree Col...","","B N Road, Kaisarbagh, Lucknow - 226001, Lalbagh"
"Chhatrapati Shahuji Maharaj Me...","+ 91  522 2257540","Lucknow, Lucknow - 226001"
"Kkv Degree College","+ 91  522 2635513","Charbagh, Lucknow - 226001, Station Area"
"Maharishi Vidya Mandir","+ 91  522 2361859","Sitapur Road, Lucknow - 226002"
"ST John Bosco College","+ 91  522 4021578","Vivek Khand, Gomti Nagar, Gomti Nagar, Lucknow - 226002"
"Rajat Girls Degree College Luc...","+ 91  522 2354943","587/611/614, Faizabad Rd, Chinhat Industrial Area, Lucknow - 226002, Nr Chinhat Tiraha Panchwati Kamta"
"King George Inter College Lucknow","+ 91  522 2964841","Lucknow - 226001, Bh Chinhat Cold Store"
"R R Institute Of Modern Techno...","+ 91  9161888853","Sitapur Road, Bakshi Ka Talab, Lucknow - 226201, National Highway 24"
"Spring Dale College","+ 91  512 2341384","A -1224, Indira Nagar, Indira Nagar Lucknow, Lucknow - 208026"
"Annie Besant College","+ 91  522 2396575","1, Gomti Nagar, Lucknow - 226010, Near Malik Timber Chouraha,Near Mallick Timber Chauraha"
"Khurram Nagar Girls Inter College","+ 91  522 2329785","Picnic Spot Rd, Khurram Nagar, Lucknow - 226022, Post Vikas Ngr"
"Govt Blind Inter College","+ 91  522 2413821","Mohan Rd, Rajaji Puram, Lucknow - 226017, Alam Ngr"
"Azad Institute Of Engineering ...","+ 91  522 2817606","Azadpuram, Post Chandrawal, Bijnor Road,, Lucknow - 226001"
"State Ayurvedic College","+ 91  522 2264030","Tulsidas Marg, Lucknow - 226003"
"Awadh Academy Inter College","+ 91  522 2815643","Faizabad Road, Chinhat, Lucknow - 226028"
"Gyan Institute Of Management &...","+ 91  522 6590796","Garhi Crossing, 2 Km Ahead Of Sports College, Kursi Road., Daliganj, Lucknow - 226020"
"St Joseph Girls Inter College","+ 91  522 2416973","2006, Rajaji Puram, Lucknow - 226017, Sec-6"
"Queens Anglo Sanskrit Inter Co...","+ 91  522 2222892","Quinton Rd, Lalbagh, Lucknow - 226001"
"LA Martiner Girls College","","A P Sabha, Lucknow - 226001, Kaiserbagh"
"Dayanand Kanya Inter College","+ 91  522 2321765","C-547/103, Mahanagar, Lucknow - 226006, Sec-C"
"Unity College","+ 91  522 2253547","P B-6, Hussainabad, Lucknow - 226003"
"Swatantra Girls Degree College","+ 91  522 2460779","Alambagh, Lucknow - 226005"
"Gsrm Memorial Degree College","+ 91  522 3250194","D-6, Kanpur Road, Sarojini Nagar, Lucknow - 226008, Industrial Area"
"New Public Inter College","+ 91  522 2471658","54,Krishna Nagar, Krishna Nagar, Krishna Nagar, Lucknow - 226005"
"JP Institute of Technology and...","+ 91  9811883696","Gomti Nagar , Lucknow, Gomti Nagar, Gomti Nagar, Lucknow - 226001, Near Railway Crossing"
"G C R G Group of Institutions","+ 91  522 3076000","Chandrika Devi Road, Lucknow - 226004, Bakshi Ka Talab"
"Swami Vivekanand Law College","+ 91  9453175002","Sitapur Road, Lucknow - 226002, Bakshi Ka Talab"
"Shri Mahavir Prasad Mahila Mah...","+ 91  9415835522","College Building, Rajaji Puram, Surya Nagar, Lucknow - 226011"
"Lucknow City College","+ 91  522 2246933","15/16, Campbell Rd, Campbell Lines, Lucknow - 226002, Ekta Ngr"
"King George Inter College","+ 91  522 2964848","Sector-8 Faizabad Road, Faizabad Road, Lucknow - 226002"
"Aeronautical Training Institute","+ 91  522 2436344","1, Amausi Airport Lucknow, Amausi, Lucknow - 226009, Main Road"
"Techno Group Of Institutions","+ 91  522 3295245","331, Faizabad Road, Anaura Kalan, Lucknow - 226028, Near Indira Canal"
"Fi Nursing College","+ 91  522 4013051","F I Institute Of Paramedical Sciences, 37, Cantt Road Burlington Crossing Husainganj, Lucknow - 226001"
"Rashtra Bharti Public Inter Co...","+ 91  522 2751083","91 Sri J LAL Colony, Kalyanpur, Lucknow - 226001"
"Ram Kishor Convent Inter College","+ 91  9838098271","Near University Abhishek Puram Colony. Jankipuram, Lucknow - 226001"
"Dr Rajendra Prasad Memo Digree...","+ 91  9412411350","Rajaji Puram,, Lucknow - 226001"
"Sri Jai Narain P G College","+ 91  522 2635563","Charbagh, Lucknow - 226001, Station Area"
"Town Hall Public Inter College","+ 91  522 6458061","Sector K, Aliganj, Lucknow - 226024, Aliganj Lucknow"
"Lucknow Montessori Inter College","+ 91  522 2211007","Lucknow - 226001, Purana Qilla"
"Shashi Bhushan Balika Vidhyala...","","Charbagh, Lucknow - 226001, LAL Kuan"
"Lucknow University Account Office","+ 91  522 2740481","Central Account Office, Lucknow - 226001"
"Surabhi Public College","+ 91  522 2758957","Sitapur Rd, A P Sabha, Lucknow - 226001, Keshav Ngr"
"Mumtaj Inter College","+ 91  522 2225434","Aminabad, Lucknow - 226018, Nawab Gunge,Kaiserbagh"
"Aminabad Inter College","","G P Rd, Aminabad, Lucknow - 226018"
"Aminabad Inter College","","G P Road, Aminabad, Lucknow - 226018"
"Navyug Kanya Degree College","+ 91  522 2693298","Rajendra Nagar, Lucknow - 226004"
"Janta Inter College","+ 91  522 2692482","18, Aishbagh, Lucknow - 226004, Rajendra Ngr"
"Mahanagar Girls College","+ 91  522 6539095","Faizabad Rd, Mahanagar, Lucknow - 226006, Nr Badshah Ngr Crossing"
"Mumtaz Post Graduate College","+ 91  522 2743402","Daliganj, Lucknow - 226020, Iradat Nagar, Khandra"
"Agrasen Inter College","+ 91  522 2269419","Chowk, Lucknow - 226003"
"Rajkiya Hussainabad Inter College","+ 91  522 2267105","Chowk, Chowk, Lucknow - 226003"
"Kali Charan Inter College","","Hardoi Rd, Chowk, Lucknow - 226003"
