"Name","Phone","Address"

"Friends Cache","+ 91  80 33292727",""
"Varianz","+ 91  80 33100625",""
"Kids International","+ 91  80 33056345",""
"Shaa Export","+ 91  80 30924544",""
"Labamba","+ 91  80 25511849",""
"Ss Garments","+ 91  9845078060",""
"Trade Winds","+ 91  80 33059544",""
"99 Brands Inc","+ 91  80 33057477",""
"Power Jeans & Casuals","+ 91  9980157656",""
"Bls Shop","+ 91  9900281903",""
"Black Bird","+ 91  80 33724118",""
"Tricky Barter Pvt Ltd","+ 91  80 33640397",""
"Vara Marketing","+ 91  80 39628345",""
"Kens Trading Co","+ 91  80 33566171",""
"Axios Clothing Pvt Ltd","+ 91  80 33083604",""
"A One Fashion","+ 91  80 33293603",""
"C To C Sourcing Servicess","+ 91  80 33051880",""
"S Fashion Garment City","+ 91  80 33640845",""
"ANR Fashion Studio","+ 91  80 22221885",""
"The Dresser","+ 91  80 33569288",""
"Lisha Boutique","+ 91  80 33057501",""
"Sri Gayathri Fashions","+ 91  80 65700238",""
"Bhavna Fashions","+ 91  80 33673826",""
"Krishna Apparels","+ 91  80 33057002",""
"Indu fashion","+ 91  80 33789656",""
"Sunehri Boutique","+ 91  80 33642774",""
"Nascent Sourcing Solutions ...","+ 91  80 33641329",""
"T A Netgables Pvt Ltd","+ 91  9650881382",""
"R R Creations","+ 91  11 64564140",""
"Men Made Clothing","+ 91  7208513552",""
"Cosmic Eagle Brands Pvt Ltd","+ 91  11 33495235",""
"G K Garments","+ 91  11 33427207",""
"Kodas Group","+ 91  261 2893888",""
"Fashion Liberty","+ 91  9711444205",""
"Rabiya Clothing Company","+ 91  44 23781861",""
"Top Stich Appreal","+ 91  80 23120278",""
"Reha Creation","+ 91  9320564387",""
"Rectus Clothing","+ 91  22 38596498",""
"Kayra","+ 91  8460005673",""
"R S Garments","+ 91  33 33027250",""
"Maurya Garments","+ 91  9322866765",""
"Vivid Bharti","+ 91  161 5059126",""
"Vijay Hosiery","+ 91  9810602439",""
"Oliva Knits","+ 91  8288015852",""
"Fable","+ 91  22 28899600",""
"UniformGuru.com","+ 91  9888540408",""
"Fable","+ 91  22 28899600",""
"Pehchan","+ 91  265 2412412",""
"Vasaainthu Garments","+ 91  4294 250909",""
"J Jamuna Garments","+ 91  9836534941",""
"SR Kids Wear","+ 91  8220274499",""
"Jini Nimi Design Studio Pvt...","+ 91  22 30505205",""
"Shree Siddhi Vinayak Sarees","+ 91  261 2344123",""
"Sukh Samraddhi Creation","+ 91  141 3382382",""
"Her Complete Women","+ 91  22 28787417",""
"Daves Apparel","+ 91  9843111200",""
"Sanskar The Sure Boutiques","+ 91  22 39863104",""
"Saiful Embroidery","+ 91  33 64531927",""
"Lala House","+ 91  22 26461231",""
"Picasso Shirts","+ 91  8080338461",""
"Miami Apparels","+ 91  9250796000",""
"Maah Garment","+ 91  79 33013372",""
"Mumtaz Arts","+ 91  9501665727",""
"Echo Enterprises","+ 91  4175 235061",""
"Be Noizee","+ 91  22 38596472",""
"Prancy Garment","+ 91  9920381587",""
"Jay Gurudev Garment","+ 91  7045888756",""
"Meha Incorp","+ 91  9894606477",""
"Creazioni By Ranak","+ 91  171 2556047",""
"Kamal Supers Ltd","+ 91  22 30725640",""
"Vishwam Fabrics Private Lim...","+ 91  261 2331348",""
"Raise Garments","+ 91  9566818444",""
"Heena Dresses","+ 91  22 38572565",""
"Activa Enterprises","+ 91  9964575132",""
"Priyaam Fashions","+ 91  9443325913",""
"Sha J Kapurchand And Sons","+ 91  8192 231398",""
"Meragu Garments","+ 91  9175583915",""
"Raj Rajeswari Enterprises","+ 91  8015025701",""
"Dress Code Clothing Pvt Ltd","+ 91  9214340999",""
"Makon","+ 91  9892070619",""
"Little Earth Commercial Pvt...","+ 91  33 65330095",""
"Axios Clothing Pvt Ltd","+ 91  9980924244",""
"Soham Creation","+ 91  22 38529022",""
"Anjali Textile","+ 91  79 25857450",""
"Pooja International","+ 91  9915443113",""
"Dcl Fashion World","+ 91  79 30234006",""
"A B Stiching","+ 91  731 3382822",""
"Jumbo Reach","+ 91  731 3382200",""
"Super Garment","+ 91  8982220225",""
"Likhith Groups","+ 91  9980222889",""
"I Marrt","+ 91  421 4340035",""
"Satyam Dresses","+ 91  8769556677",""
"Lollipop Fashion","+ 91  9944441551",""
"Maha Arjun Textiles","+ 91  9942756450",""
"Rvm Industries","+ 91  9443499000",""
"Galaxy Garments","+ 91  9842059642",""
"Mukasski Garments","+ 91  9597573970",""
"Yuva Sports Garment","+ 91  9049259801",""
"Ashish Apparels Rude Jeans","+ 91  79 33016852",""
"H K Garments","+ 91  79 30491209",""
"Black Shadow Designers","+ 91  80 41161948",""
"Fashion Creation","+ 91  33 22215445",""
"ADNS Women Court","+ 91  22 24360188",""
"Priyanka Collectiions","+ 91  44 25383894",""
"Www.Rishabhsafa.Com","+ 91  291 2633045",""
"Shiva Sports Garment","+ 91  9021023265",""
"Ambey Fashion","+ 91  8955642880",""
"Pogo Fashions","+ 91  217 2377586",""
"S.S.S Garments","+ 91  427 3194422",""
"Agaram Knitters","+ 91  9965299938",""
"Lifestyle International Pvt Lt...","+ 91  80 41796565",""
"Kanva Group Of Co","+ 91  80 40300222",""
"Shoppers Stop","+ 91  80 43627636",""
"Kanva Mart","+ 91  80 23394405",""
"Lifestyle International Pvt Ltd","+ 91  80 22658934",""
"Adarsh Opus","18002082444",""
"Westside Store","+ 91  80 22067930",""
"Westside","+ 91  80 25550861",""
"Westside","+ 91  80 22682023",""
"Arvind Lifestyle Brands Limite...","+ 91  80 41550601",""
"Alma Mater","+ 91  80 40858709",""
"Wills Lifestyle","+ 91  80 40937784",""
"Apeksha Clothing","+ 91  9538873238",""
"Lifestyle","+ 91  80 22658921",""
"Max","+ 91  80 67266071",""
"Go Go International Pvt Ltd","+ 91  80 28461902",""
"Shahi Exports Pvt Ltd","+ 91  80 40171000",""
"Bombay Dyeing Showroom","+ 91  80 41489667",""
"Madura Garments Ltd","+ 91  80 67272600",""
"Van Heusen Exclusive Showroom","+ 91  80 41627077",""
"Show Off","+ 91  80 26752535",""
"Show Off","+ 91  80 41460266",""
"Shoppers Stop","+ 91  80 25190200",""
"Show Off","+ 91  80 42109675",""
"Arrow Exclusive Store","+ 91  80 41124791",""
"Aditya Birla Nuvo Ltd","+ 91  80 67272600",""
"Louis Philippe","+ 91  80 22682035",""
"John Players","+ 91  9620210000",""
"Tailorman","+ 91  9343240127",""
"Reliance Trends","+ 91  80 67080235",""
"Bombay Rayon Fashions Ltd","+ 91  80 30940200",""
"Exclusive Store Bandhej","+ 91  80 25253515",""
"Karle International Pvt Ltd","+ 91  80 23577460",""
"Texport Overseas PVT LTD","+ 91  80 23376652",""
"Fabindia","+ 91  80 25125011",""
"Marks & Spencer","+ 91  80 40414500",""
