"Name","Phone","Address"

"Welcome Communication","+ 91  9452274974","Shop No 2,Barrow Shopping Centre, Kanpur Road, Alambagh, Lucknow - 226005, Near Alambagh Bus Stand"
"RADHE BUSINESS CENTRE AND CYBE...","+ 91  9125698635","SHOP NO-11, FAIZABAD ROAD, Indira Nagar Lucknow, Lucknow - 226016, NEAR LEKHRAJ MARKET"
"Ganpati Mobile","+ 91  9807570985","Rattilal chauraha, Havett Road, Shivaji Marg, Lucknow - 226018, Opp. Axis bank"
"Soni Mobile Repairing & Downlo...","+ 91  522 3068536","Shop No- 2, Mahul Complex, Nishatganj, Lucknow - 226006, Near Railway Crossing"
"Gaurav Plastics","+ 91  9307412613","Nadan Mahal Rd, Lucknow - 226001, Yahiyaganj"
"CHANDR PRABHA ENTERPRISES.","+ 91  9389260799","104,ASHISH PALACE COMPLEX, SECTOR-E ROAD, Jankipuram, Lucknow - 226021, NEAR DOMINOS"
"Waves mobile","+ 91  9336153336","Shop no 6, Kanpur road, Alambagh, Lucknow - 226005, Near canara bank"
"A S ENTERPRISES","+ 91  8543030224","UGF- 12, KESHAV MARKET, Indira Nagar Lucknow, Lucknow - 226016, OPPOSITE. SAHARA SHOPPING CENTRE"
"BITS & BYTEZ","+ 91  9198747422","Sahara state gate, Sahara estate road, Jankipuram, Lucknow - 226021"
"Recharge Gallary","+ 91  9984921142","udaiganj road, Udaiganj, Lucknow - 226001, near Hazi Barati Maszid"
"Shahid mobile Recharge centre","+ 91  7398273866","Murlionagar, Murli Nagar, Lucknow - 226001, Opp Seva Chikan"
"Kamal","+ 91  9935998332","Hazratganj, Lucknow - 226001, Governed house"
"Rashid Electrostet","+ 91  9026199806","Vidhan sabha marg, Hazratganj, Lucknow - 226001, Near Vidhan Sabha gate no -10"
"Krishna Communication","+ 91  8090882077","50/143, Cantt road, Udaiganj, Lucknow - 226001, near hazi barati maszid"
"Sunny General Store","+ 91  9956589106","Jugal building, KKC Road, Hussainganj, Lucknow - 226001, Near Udaiganj Tiraha"
"FINE MOBILE Shop","+ 91  9616808441","Shop no- 12/81, Cantt Roaad, Cantt Road, Lucknow - 226001, Near Rupesh Opticals"
"Nawal Travels","+ 91  522 3034554","Cantt Road, Hussainganj, Lucknow - 226001, Opp. Jaiswal Electronic"
"Vinay Recharge Center","+ 91  9044207599","cant road, Udaiganj, Lucknow - 226001, near hussainganj kotwali"
"Vodafone Frenchicy","+ 91  9807786399","Lucknow - 226001"
"City Mobile & Buisssness Point","+ 91  9696450399","Burlington Market, main road, Burlington Chauraha, Lucknow - 226018, Behind cyber cafe"
"SINGH ENTERPRISES","+ 91  9125262644","SHOP NO.5, PARK ROAD, Hazratganj, Lucknow - 226001, Near Allahabad Bank"
"SAI Communication","+ 91  9839486664","8, Station Road, Hussainganj, Lucknow - 226001, Near Hotel Ganga Maiya"
"Sachin enterprises","+ 91  9839066354","C-46/34, TN ROAD, Lalbagh, Lucknow - 226001, Opp. Novelty cinema"
"Arvind Fast Business Centre","+ 91  9838581039","Shop Number- 73, Ganga Prasad Road, Maulviganj, Lucknow - 226001, Near Rajdani Market"
"Lakshya Infra","+ 91  9415329278","Hazratganj, Lucknow - 226001, Near Tulsi Cinema"
"Recharge Point","+ 91  8896564786","32, Station Road, Chitwapur, Lucknow - 226001, Opp PCF Building"
"SRI SAI BUSINESS POINT AND MOB...","+ 91  9026420999","11A, Ashok marg, Hazratganj, Lucknow - 226001, Near Sri ram tower"
"SAI MEDICALS","+ 91  9919109190","Shop No.- 5, Cantt Road, Kaisarbagh, Lucknow - 226001, Near Church"
"UTAM PALACE","+ 91  9935959679","Sapru Marg, Hazratganj, Lucknow - 226001, Near Parampara Sweet House"
"LUCKNOW DESIGNER","+ 91  9336304570","ANSAL BUILDING, Halwasiya Road, Lalbagh, Lucknow - 226001, China bazaar"
