"Name","Phone","Address"

"Ahuja Book Distributor","+ 91  9463828264","Opp HDFC Bank Hall Bazar, Hall Bazar, Amritsar - 143001"
"Ahuja Book Depot","+ 91  183 2548197","Hall Bazar, Amiritsar, AMRITSAR - 143001, Amritsar"
"Ahuja Automobiles","+ 91  9872205407","Batala Road, Amritsar - 143002"
"Ahuja Car Dealer","+ 91  9888437173","No.4, Avtar Nagar, Guru Nanak Pura, Amritsar - 143002"
"Ahuja Sweet & Bake","+ 91  183 2582011","Sw Rd.,,"
"Ahuja Sweets & Milk Bhandar","+ 91  183 2542308","Dhab Khatikan,, Hindu Sabha College, Amritsar - 143006"
"Ahujas Milk Products & Sweets","+ 91  183 2227655","Booth No- 12, Amritsar - 143001, Basant Avenue, Main Mkt"
"Ahuja Mandeep Singh","+ 91  9855549871","H.No.18 Krishan Garh,Inside Chatiwind Gate,Amritsar, Amritsar - 143001"
"Ahuja Tea","+ 91  183 2551719","Golden Temple Road, Amritsar - 143001"
"Ahuja STD PCO","+ 91  183 2565137","Lawrence Road,, Amritsar - 143001"
"Ahuja Travels","+ 91  183 2552424","Amritsar - 143001, Bazar Atta Mandi,Backside Golden Temple"
"Ahuja enterprises","+ 91  183 2001647","Shop No.2-a gagar mal road, katra sher singh, Gandhi Bazar, Amritsar - 143006, Opp. Regent Cinema"
"Ahuja Opticals","+ 91  183 2546148","Main Bazar, Inside Hall Bazar, Hall Bazar, Amritsar - 143001, Near Jamamasjid"
"AHUJA STORE","+ 91  183 2503992","12 B, Green Avenue market, Green Avenue, Amritsar - 143001, Near sakhi house"
"Ahuja Diamond Jewellery","+ 91  183 2551437","Guru Bazar, Amritsar - 143006"
"Ahuja Impex","+ 91  183 5098300","57, Grd Flr B-Blk, Amritsar - 143001, Ranjit Avenue"
"Ahuja Property Advisor","+ 91  183 5024567","12, Sunjay Avenue, Chudiya Rd, Amritsar - 143001, Fatehgarh"
"Ahuja Lassi","","Amritsar - 143001, Near Hindu Maharashtra College"
"Ahuja & Co","+ 91  9872755657","KATRA BHAI SANT SINGH, Beri Gate, Amritsar - 143006, NEAR HINDU COLLEGE"
"Ahuja Traders","+ 91  9217782868","Chowk Amrit Talkies, Gandhi Bazar Amritsar, Amritsar - 143006"
"Ahuja Tea Exports","+ 91  183 2558515","Patel Building, 2nd Floor, Golden Temple Road, Amritsar - 143001, Chowk Katra Ahluwalia"
"Ahuja chemist shop","+ 91  8196922672","islamabad, Amritsar - 143001, near manohar dairy"
"Ahuja Paint Hardware Sanitary ...","+ 91  183 2401879","Shop No-4, Basant Avenue, Amritsar - 143001, Near Mental Hospital"
"Ahuja Electronics","+ 91  9356019355","Shop Number-44, G T Road, Amritsar - 143001, Opposite Baba Deep Singh Guruduwara"
"Ahuja Traders","+ 91  8872951955","Shop No 78, Amritsar Cantt, Amritsar - 143001, Bus Stand, Idh Market"
"Ahuja Toy Shop","+ 91  9803526928","Main Bazaar Krishna Nagar, Amritsar - 143002, Near Jaura Fatak"
"ahuja Agencies","+ 91  183 2500078","Shop 1st Floor, Main bazar, Amritsar - 143001, guru Nanak Market, Gurjan Wala , Majith Mandi"
"Ahuja and Company","+ 91  9872755657","shop no. 597, beri gate market, katara bhai ,sant singh, Amritsar - 143006, Near post office"
"Ahuja Sethi & Associates","+ 91  183 2552105","New S.bhagat S. Mkt,,"
"Ahuja Seth Vinsal & Co","+ 91  183 2222644","2/175, Tarn Taran Rd,,"
"Ahuja Traders","+ 91  183 2541280","78, Idh Mkt.,"
"National Book Distributors","+ 91  183 2213948","House Number - 856, Jawahar Lane, Amritsar - 143002, Bara Makaan, Near Desh Bhagat Gas Agency, Islamabad"
"C D Mehra Book Depot","+ 91  9815339988","Hall Bazar, Amritsar - 143001"
"Harbans Book Depot","+ 91  183 2523517","Shop Number- 910/9, Street Number- 3, Amritsar - 143001, Katra Khazana, Near Punjab Gas Agency, Oppsosite Sai Ram Mandir"
"Nanda Book Depot","+ 91  183 2227328","Shop Number- 3, Arya Samaj Building, Lawrence Road, Lawrence Road, Amritsar - 143001, Opposite Bbk Dav College of Women"
"Kapoor Book Seller","+ 91  183 2224315","Gopal Nagar,"
"City Book Shop","+ 91  183 2571591","Shop No 2,First Floor,Opp.govt.ent Hospital,Majitha Road, Amritsar - 143001, Near Petrol Pump"
"honey distributor aircel","+ 91  183 5057276","honey telecom, Jandiala Guru, Amritsar - 143115, Government school of girls"
"Refresher Book Depot","+ 91  183 2550962","Amritsar - 143001, Hall Bazar, Ahead R S Tower"
"Pappu Book Depo","+ 91  183 2272609","Shop Number 13, Amritsar - 143001, Opposite Union Bank Of India,Near Shivala Bhiya"
"AZAD BOOK DEPOT","+ 91  183 2292513","HALL BAZAAR, Hall Bazar, Amritsar - 143001, NEAR PUNJAB AND SIND BANK"
"Rajat Book Corner","+ 91  183 2223055","Circular Road, Amritsar - 143001, Opposite Medical College"
"Ajit Book Binder","+ 91  183 2540456","Nai Gali, Katra Sher Singh, Amritsar - 143006, Hall Bazar, Furniture Market"
"Mahajan Book Binder","+ 91  7837707505","Gali No:12, H.No 8, Pawan Nagar, Amritsar - 143001, Celebration Mall"
