"Name","Phone","Address"

"Tejpal immigration","+ 91  183 5007517","Sco-6 2nd floor, Distt shopping cimplex, Ranjit Avenue, Amritsar - 143001, Uppar la pizeria"
"Kats immigration","+ 91  9988603928","Sco 6,forth floor,b-block, District shopping complex,ranjit avenue, Amritsar - 143001, Near punjab kesri office"
"WIfi broad band solutions","+ 91  7087857777","District shopping complex, Old Jail Road, Basant Avenue, Amritsar - 143001, ranjit avenue"
"Rebsec solution","+ 91  9217027006","57, B block market,ranjit avenue, Amritsar - 143001, Opp.parvati devi hospital"
"KHAIRA IMMIGRATION","+ 91  9872285159","SCO 122, 2nd Floor, B-Block, Amritsar - 143001, Vishal Mega Mart"
"R R Infotech Solutions","+ 91  9041858068","Khazana Gate, Amritsar - 143001, Inside Khazana Gate, Opposite New Shoor Hospital"
"Pest Control Solution","+ 91  183 5017003","Majitha Road, Medical Enclave, Amritsar - 143001"
"Lotus Immigration & Financial ...","+ 91  183 5062157","Scf-3, A Block Market, Ranjit Avenue, Amritsar - 143001"
"poly plast digital solution","+ 91  9216101725","i-tower 116_c, Ranjit Avenue, Amritsar - 143001"
"Overseas Education And Immigra...","+ 91  9779057776","Sco 42 Disst Shopp Cmplx, Amritsar - 143001, Nr Mk Hotel"
"Freelance Anchoring & Events S...","+ 91  9988950090","House Number 90, Street Number 3, Batala Road, Vijay Nagar, Amritsar - 143001"
"Obsession Solution","+ 91  183 5014391","G T Road, Amritsar - 143001, Near Putlighar Chowk"
"Supreme Education & Immigratio...","+ 91  183 5030202","Sco-4, 3rd Floor, Distt. Shopping Complex, Ranjeet Avenue Block B, Amritsar - 143001"
"Krishna Vastu Solution","+ 91  9465981324","20 house number, New Golden Avenue, Golden Avenue, Amritsar - 143001, opp park"
"ChawlaIT Solution","+ 91  9781112529","Sh.no 1, Opp Hari mandhir, Amritsar - 143001, Friends colony , goyal mandhir road"
"Computer solutions","+ 91  9988737196","Rattan singh chowk, Ranjit Avenue, Amritsar - 143001, Near temptations"
"Chawlas IT Solutions","+ 91  9814512529","Shop Number 1, Friends Colony, Majitha Road, Amritsar - 143001, Opposite Hari Mandir"
"Get Global Immigration","+ 91  8556911911","SCO 8 Aneja Tower, B Block, Ranjit Avenue, Amritsar - 143001, Near Akash Academy"
"Navigator Visa Immigration","+ 91  183 5064196","Preet Tower, Amritsar - 143001, Near Navpreet Hospital Putlighar"
"deepak Vastu Solution","+ 91  183 5096402","diamond Palace Building, Shop Number- 3, 100 Feet Road, Azad Nagar, Amritsar - 143001, near Shree Sita Ram Mandir"
"Copier Solutions","+ 91  9815266897","Sco 6 District Shopping Center, Ranjit Avenue, Amritsar - 143001"
"Dolphin Immigration Consultant","+ 91  183 5008850","House No 2016/14, 2nd Floor, Putligarh, Amritsar - 143002, Above SBI Bank"
"Globe Money Solutions Service","+ 91  9781767888","Majitha Road, Hall Bazar, Amritsar - 143001, Opposite Sukhmani Hospital"
"Globe Money Solution","+ 91  9815251754","Sh no 1 mini building no 5-6, Majitha road, Amritsar - 143001, Opp. Sukhmani hospital"
"S S S S Immigration Services","+ 91  183 5018295","Number 280 Partap Avenue Phase 2 G T Road, Amritsar - 143001, Opposite Alpha One Mall"
"Kwik Finance Solution","+ 91  9896805545","Near P And T Godown, Preet Nagar, Amritsar - 143110, Opp. D.a.v. River Side School"
"Hilton Water & Power Solution","+ 91  7837074719","Ram Tirath Road, Amritsar - 143001, Opposite Manekshaw Enclave"
"A M Solutions","+ 91  183 2273999","Batala Road, Amritsar - 143001"
"Canreach Immigration Consultin...","+ 91  183 5015233","Batala Road, Amritsar - 143001"
"peer web solutions","+ 91  9814743734","Shop No-1, Hargobind Avenue, Majitha Road, Amritsar - 143001"
"Peer Web Solutions","+ 91  9779223962","Sco-2 , Hargobind Avenue, Majitha Rd, Amritsar - 143001, Nr Reliance Fresh"
"Seven Technical Solutions","+ 91  9878279898","Hm-199, Circular Rd, Amritsar - 143002, Aman Avenue, Outside Gate Hakimawala"
"Bhandari computer solutions","+ 91  7508807654","New shaheed udham Singh, Sultanwind Roaad, Amritsar - 143001, Near pratap clinic"
"Expert Educare Solutions","+ 91  8559044081","1, basant avenue, Amritsar - 143001, near nayer hospital"
"Mobile Solution","+ 91  183 2579103","Shop no 3, Street no 2, Batala Road, Amritsar - 143001, Guru Nanak Market, Vijay Nagar"
"G Next Marketing Solutions","+ 91  183 5003509","Number 6, Loharka Road, Amritsar - 143001, Opposite Punjab National Bank"
"Global Immigration Consulta...","+ 91  183 5015277","Sco 6 Second Floor District Shopping Complex, Ranjeet Avenue Block B, Amritsar - 143001, Near Connect Office"
"Make It For Me Creative Sol...","+ 91  9780839862","2814, Moni Chowk, Amritsar - 143006, Inside Chatiwind Gate"
"Sekhri Academy & Immigration Ltd.","+ 91  9569101112","Sco-37, 1st Floor, Dist. Shopping Complex, Block-B, Ranjit Avenue, Amritsar - 143001"
"DW SERVING SOLUTIONS","+ 91  9780038619","Ranjit Avenue C Block, Ranjit Avenue, Amritsar - 143001, Near Hug Ice Cream Parlour"
"Smc Investment Solution","+ 91  183 2534566","Pal Plaza Ranjit Avenue, Amritsar - 143001"
"Mohini solutions pvt.ltd","+ 91  183 5025500","Sco 36,2nd floor, B block district shopping complex, ranjit avenue, Amritsar - 143001, Near astoria resturant"
"Sethi Insurance And Investmen...","+ 91  9872222551","497-C, Basant Avenue, Amritsar - 143001, Near PNB, Near Lawrence Road"
"Infotel Business Solution","+ 91  183 5022429","Dsc Ranjit Avenue, Amritsar - 143001"
"Business Software Solutions","+ 91  9815204025","Shop No-168-B,Basant Avenue, Amritsar - 143001, Nr Main Mkt"
"Global migration & education s...","+ 91  183 2508020","Sco-6 2nd floor, B block market distt,shopping complex, Ranjit Avenue, Amritsar - 143001, Ranjit avenue"
"Fly Dreams Immigration Consult...","+ 91  183 5002444","SCO 33, 2nd Floor District Shopping Complex, Amritsar - 143001, B-Block, Ranjit Avenue"
"Svs Global Immigration & Edu S...","+ 91  183 5007728","Amritsar - 143001"
"HIGH TEK COMPUTER SOLUTIONS","+ 91  9814492094","#345, satguru ramdass avenue, Amritsar - 143001, Near KHALSA COLLEGE"
"Orango Solutions","+ 91  9872222222","No. 107, Lawrence Road, Amritsar - 143001"
"MAP Solutions","+ 91  9803823823","Amritsar - 143001"
"Micron Solar Solutions","+ 91  9814103256","47, Hide Market, Hide Market, Amritsar - 143001, Hussainpura Chowk"
"MSB Immigration & Visa Services","+ 91  183 5057786","1st Floor, Durga Ice Cream, Lawrence Road, Amritsar - 143001"
"Kamodo Web Solutions","+ 91  183 5013954","E-10, Malviya Eclave, Old Citi Cable Office, Lawrence Road, Amritsar - 143001, No Exit Office"
"Healthway Immigration Consulta...","+ 91  183 2505965","deep complex, Amritsar - 143001, Ranjit Avenue"
"Cartridge xpress printer solution","+ 91  9888483966","Shop no 88 1st floor, Lawrence road, Lawrence Road, Amritsar - 143001, Opposite novelty"
"Interior Solutions","+ 91  9815455859","Cheel mandi, Mahan singh gate, Amritsar - 143001, near bus stand"
"Perfect Solutions","+ 91  9888497291","Sabharwal Market, Sabharwal Street, Hall Bazar, Amritsar - 143001, Opp. Jama Masjid"
"Computer solution","+ 91  9356166556","59, Chand avenue circular road, Amritsar - 143001, Near Medicaid hospital"
"S.B solutions","+ 91  183 5003683","13, Amritsar - 143001, near daveser college"
"WIfi solutions","+ 91  8427897777","Amritsar - 143001"
"guru it solutions","+ 91  9814972420","kirpal colony, majitha road, Amritsar - 143001"
"M.i computer solution","+ 91  183 5063480","Shop no 43gf, Nehru shopping complex, Lawrence Road, Amritsar - 143001, Near bhabha photostudio"
"Gulf Immigration Services","+ 91  8528945383","Sco-8, 3rd Floor, District Shopping Complex, B-Block, Ranjit Avenue, Amritsar - 143001"
"Golden Square Ultimate Realy S...","+ 91  9814898684","Amritsar - 143002, Near Millennium Gate G T Road"
"Elite Immigration Consultants ...","+ 91  9023284463","Amritsar - 143002"
