"Name","Phone","Address"

"A One Store","+ 91  9803683405","22 Number Railway Fatak Road, Amritsar - 143001, Opposite Dashmesh Academy"
"Healthway Immigration Consulta...","+ 91  183 2505965","deep complex, Amritsar - 143001, Ranjit Avenue"
"A-One Kulfa","+ 91  9872101109","Queens Road, Amritsar - 143001"
"Computer solution","+ 91  9356166556","59, Chand avenue circular road, Amritsar - 143001, Near Medicaid hospital"
"Perfect Solutions","+ 91  9888497291","Sabharwal Market, Sabharwal Street, Hall Bazar, Amritsar - 143001, Opp. Jama Masjid"
"STOP N SHOP","+ 91  9779234527","S C G , D- 20, D block ranjit avenue, Ranjit Avenue, Amritsar - 143001, Near Danik bhaskar office"
"S.B solutions","+ 91  183 5003683","13, Amritsar - 143001, near daveser college"
"WIfi solutions","+ 91  8427897777","Amritsar - 143001"
"guru it solutions","+ 91  9814972420","kirpal colony, majitha road, Amritsar - 143001"
"HIGH TEK COMPUTER SOLUTIONS","+ 91  9814492094","#345, satguru ramdass avenue, Amritsar - 143001, Near KHALSA COLLEGE"
"M.i computer solution","+ 91  183 5063480","Shop no 43gf, Nehru shopping complex, Lawrence Road, Amritsar - 143001, Near bhabha photostudio"
"Gulf Immigration Services","+ 91  8528945383","Sco-8, 3rd Floor, District Shopping Complex, B-Block, Ranjit Avenue, Amritsar - 143001"
"Murria Immigration Consultant ...","+ 91  183 2227327","18, Cool Rd, Amritsar - 143001, Modern Clny,Nr BMC Chowk"
"Hcm Solutions","+ 91  183 5015408","Adjoining Union Bank Of India, Gumtala, Airport Road, airport road, gumtala, Amritsar - 143001, near petrol pumb"
"Micron Solar Solutions","+ 91  9814103256","47, Hide Market, Hide Market, Amritsar - 143001, Hussainpura Chowk"
"I Kare Tech Solutions","+ 91  9872489090","Kothi No 16 A, Circular Road, Amritsar - 143001, Ekta Avenue"
"Orango Solutions","+ 91  9872222222","No. 107, Lawrence Road, Amritsar - 143001"
"Expert Educare Solutions","+ 91  8559044081","1, basant avenue, Amritsar - 143001, near nayer hospital"
"Totaltrans solutions pvt ltd","+ 91  9872903268","2986/44, I/s shera wala gate, Amritsar Bus Stand, Amritsar - 143001, Back side daljit singh eye hospital"
"A One Snacks Corner","+ 91  9988940037","Booth Number 65 B Block, Ranjit Avenue, Amritsar - 143001, Opposite M .K Hotel"
"Sixth Sense Astro & Vastu Solu...","+ 91  8437372211","Amritsar Plywood Place, Chowk Islamabad, Amritsar - 143001, Opp Punjab & Sind Bank"
"Jasbir Singh And Sons Interior...","+ 91  9815455859","Amritsar - 143001, Cheel Mandi, Near Bus Stand, Maha Singh Gate"
"Tranceserve IT Solutions","+ 91  9815145656","Kachehri Chowk, Kichloo Chowk,, Amritsar - 143001"
"Sps Solution Pvt Ltd","+ 91  9814825227","Shop No: 1, 1050 Friends Colony, 88 Ft. Road, Amritsar - 143001, B/S. Sacered Heart School, Majitha Road"
"Achiever Point Immigration Con...","+ 91  9855114042","Gill Complex, Gali Janta Place Wali, Amritsar - 143001, Taran Taran"
"A One Chaamp","+ 91  9217967915","Amritsar - 143001, Lohgarh Gate, Opposte Graduate Gas Agency"
"Diagnostics Solution Point","+ 91  183 5098222","Shop No-1390, Amritsar - 143001, Sharifpura,Rani Bazar, Near Kamal Tailor"
"Mohini Solution Pvt Ltd","+ 91  183 3502550","Number 36 B Block Second Floor District Shopping Complex, Amritsar - 143001"
"Biomatics Office Solutions","+ 91  9814374757","8 East Mohan Nagar,, 100 Feet Road ,Amritsar Ho,, Amritsar - 143001, Near Railway Station"
"Stop & Look Restaurant","+ 91  9814503001","2,, Gt Road, Nh1 ,Amritsar,, Amritsar - 143001, Near New Amritsar"
"Biotap Info Solutions Pvt. Ltd.","+ 91  183 2505547","124b, Ranjit Avenue, Amritsar - 143001"
"Karra World Wide Immigration C...","+ 91  183 4612212","Amritsar - 143001, Nr. Bus Stand"
"Pacific Power Solution","+ 91  183 5068813","149 Guru Ramdas Mkt. O/S Ghee Mandi Chk Nr. Petrol Pump, Amritsar - 143001"
"Smartway Immigration Consultant","+ 91  9417066504","Amritsar - 143001, Nr. Friend Cinema"
"A-One Travels","+ 91  183 2548988","Amritsar - 143001, Suraj Chanda Cinema"
"A-One Diagnostic Lab","+ 91  9855350982","New Adda Raja Sansi, Airport Road, Amritsar - 143001"
"Codified Solutions","+ 91  9855021977","2, Rattan Chand Rd, Amritsar - 143001, The Mall,Nr Ebony"
"Secure Solutions","+ 91  183 5005953","Mall Road, Joshi Nagar, Amritsar - 143001, Opp. Ritz Plaza"
"SR SOFTWARE SOLUTIONS AVNEET S...","+ 91  183 5065966","ISO 9001:2008, 313 second floor ,Link plaza market, Hall Bazar, Amritsar - 143001, I/s sarai sant ram"
"Roshni Immigration & Education...","+ 91  183 2560926","Super Plaza, Cooper Road,, Amritsar - 143001, Cristal Chowk Toward Bridge Left Side."
"Kemflo Water Solutions","+ 91  9316677544","Ranjit Avenue, Amritsar Head Office,, Amritsar - 143001"
"Web World Solutions Inc","+ 91  9646946016","Amritsar, Amritsar - 143001"
"A one telecom","+ 91  9814324114","Fatehgarh Churian Road, Amritsar - 143001, Near Life Kare hospital"
"Vivah Solutions","+ 91  183 2583316","Katra Jaimal Singh, Amritsar - 143001"
"Gravitas Security Solutions","+ 91  9888263309","SS Towers 2nd Flr Building No 59, Majitha Rd, Amritsar - 143001, Opp ENT Hospital, Nr Pertrol Pump,Doctors Cplx"
"Computer Multivision Solution","+ 91  183 2255495","10, 1st Floor, Bhaita Market, Amritsar - 143001, Bus Stand"
"Multi Vision Computer Solution","","1st Floor, Bhatia Market, Opp- All India Women Conference, Bus Stand, Amritsar, Amritsar - 143001"
"First Alert Security Solutions","+ 91  9914136855","Gurnam Nagar, Peera Wala Bazar, Amritsar - 143001, Near Park, Swr"
"Smartway Solutions Pvt Ltd","+ 91  9023311116","SF-19, Sant Ishar Singh Nagar, Pakhowal Road, Amritsar - 143001"
"A-One Transfarmer","+ 91  9892091977","Hall Bazaar Congress Bhawan, Amritsar - 143001"
"Kunal Water Solutions","+ 91  9815114592","Near Railway Station Chowk, Amritsar - 143001"
"Beas Software Solutions","+ 91  183 2504883","Rbkc Towers, Mcleod Road, Amritsar - 143001, Rani Ka Bagh"
"SN IT Solutions","+ 91  8437007785","Amritsar - 143001, Raghunath Mandir Chowk, Near AP Electronic, Islamabad"
"Ahuja Financial Solutions","+ 91  9814049871","18, Amritsar - 143001, Krishan Garh, Inside Chattiwind Gate"
"SAI Immigration","+ 91  7508983007","Amritsar - 143001"
"Danish Immigration Consultants","+ 91  183 5014005","Shop No 88-89 Kabir Market, Opp HDFC Bank, Amritsar - 143001, Near King Palace"
"A K Investment Solution","+ 91  9915434872","H No 1331, Gali Jand Wali Teh, Amritsar - 143001"
"Sidhjogi Totall IT Solution","+ 91  9257048277","Amritsar - 143001, Nawan Kot Main Bzar, Opposite Sharma Hospital"
"Guru Kirpa Jyotish & Vastu Sol...","+ 91  9217718455","Shop No.11, Amritsar - 143001, Johar Market,Pratap Avenue"
