"Name","Phone","Address"

"Trimurti Marriage Hall & Tr...","+ 91  9696820254",""
"Myriad","+ 91  9161617555",""
"Fresh Foods Caterers","+ 91  7860300000",""
"Inferno Wedding Planners","+ 91  8400014383",""
"Dazzle Event & Wedding House","+ 91  9919332238",""
"Shaam E Awadh Caterers","+ 91  9839536000",""
"Avadh Foodies Catering Service","+ 91  9935869727",""
"Sonapati Caterers","+ 91  7607507886",""
"A 1 Catters Services","+ 91  8423377869",""
"Super Craft Events","+ 91  522 2440684",""
"Richi Rich","+ 91  522 6452545",""
"B K Fast Food","+ 91  9451145282",""
"Premium Restaurant & Caterers","+ 91  9936470025",""
"Youth Eve","+ 91  7388888815",""
"Talwar Tent House","+ 91  9415089673",""
"Khushi events","+ 91  9670000030",""
"Bablu Tent and light Caters","+ 91  7499587435",""
"Swapnil Arrengers","+ 91  9919020726",""
"Dhoom Caterers","+ 91  9335908066",""
"LAXMI CATERERS","+ 91  8874407476",""
"Akhil Caterers","+ 91  9415003789",""
"Sagun Tent & Caterers","+ 91  9335840958",""
"Alpha Events & Promotions","+ 91  8418042719",""
"The Chilli 4 Chill","+ 91  522 4011116",""
"O P Lawn","+ 91  9628170700",""
"Heera Caterers & Event Orga...","+ 91  9839139010",""
"Shri Balaji Wedding Services","+ 91  8726116495",""
"Swastik Caterers & Decorators","+ 91  9616376543",""
"Santosh caterers and light ...","+ 91  8115721615",""
"Mishras Events & Caterers","+ 91  9839295002",""
"Gayatri Tent House & Grand ...","+ 91  9651002828",""
"Didis Food","+ 91  522 4007895",""
"Awadh Catering Service","+ 91  9335059689",""
"Rishtey Restaurant","+ 91  522 2320600",""
"Pind Balluchi","+ 91  522 6888855",""
"Basantkunj Lawns","+ 91  9335166600",""
"R C Awasthi Caterers","+ 91  9453337899",""
"Vindhyavasini Guest House","+ 91  9415015650",""
"Chandra Banquet & Lawn","+ 91  8960477477",""
"RICH VYANJAN CATERERS","+ 91  9839318021",""
"Classic Tent & Light House","+ 91  522 2638230",""
"Narain Caterers","+ 91  522 4027306",""
"Kool Break Restaurant & Cateri...","+ 91  522 2287900",""
"Mughal Dastarkhwan Restaurant","+ 91  8948758310",""
"Wah Ji Wah","+ 91  8188833344",""
"Kabila Restro","+ 91  8188008822",""
"C 2 C FINE DINE RESTAURANT","+ 91  522 2305781",""
"Babian Restaurant","+ 91  522 2348104",""
"Crazy Balls Restaurant & Caterers","+ 91  522 2206417",""
"Krazy Kitchen","+ 91  9335085346",""
"Coffee Culture","+ 91  522 4070444",""
"Taste Of China","+ 91  522 4106212",""
"The Ritz Restaurant","+ 91  522 4025566",""
"Indrani sweets","+ 91  522 4048333",""
"Chilli For Chill And Caterers","+ 91  9415759405",""
"CAPPUCCINO BLAST","+ 91  522 2662789",""
"Hot Spoons","+ 91  522 4002220",""
"Chahat Biryani","+ 91  9161225522",""
"Eat N Eat","+ 91  9795420123",""
"Droolys Catering Service Pvt Ltd","+ 91  522 2328594",""
"Shri Durgma Restaurant","+ 91  522 2622047",""
