"Name","Phone","Address"

"Jai Resort","+ 91  8427798982",""
"Olive Garden Hotel","+ 91  183 2111441",""
"Rainbow Resorts","+ 91  183 2221308",""
"Heaven Blu","+ 91  183 5097935",""
"Shalimar Resorts","",""
"S G Resorts","+ 91  183 2263700",""
"Golden View Hotel & Resorts","+ 91  183 3293737",""
"Haweli Resorts","+ 91  183 6570568",""
"Green Acres Haveli & Retreat","+ 91  9781983828",""
"The Windmills Resort","+ 91  183 2590644",""
"Sterling Holiday Resorts India...","+ 91  183 2402325",""
"B R Resorts","+ 91  9814121675",""
"Bawa Resorts Pvt Ltd","+ 91  183 2556933",""
"Sartaj Resort","+ 91  9417959585",""
"The Greens Resort","+ 91  9872654445",""
"OYO Rooms","+ 91  9953350145",""
"Baileez resort","+ 91  9815934548",""
"Gill Palace","+ 91  9815024220",""
"The Brother Resort","+ 91  9814681289",""
"Four Miles Resorts","+ 91  183 2263371",""
"Canadian Resorts","+ 91  9814363230",""
"Lal Mahal Resort","+ 91  8427892233",""
"C Zon Resorts","+ 91  9814611013",""
"Sun Star Resort","+ 91  9988946061",""
"Narang Palace","+ 91  9888625354",""
"THE SIGNATURE HOTELS AND RESORTS","+ 91  9872477778",""
"Simran Resort","+ 91  9914143233",""
"GS Resorts","+ 91  9815224505",""
"Golden View Hotel & Resorts","+ 91  183 2212414",""
