"Name","Phone","Address"

"Hyderabadi Bawarchi","+ 91  80 33294746","No 960, Prithvi Arcade, Vidyaranyapura Main Road, Vidyaranyapura, Bangalore - 560097, Next To Adigas"
"Hyderabadi Bawarchi","+ 91  80 33054732","No.1012, Ground Floor, Dasarahalli Main Road, Kempegowda Circle,, Dasarahalli, Bangalore - 560024, Near Shoba Moon Apartments, Near Maruthi Temple"
"The Nawab Speciality Restau...","+ 91  9741780015","The Solitaire Hotel,No.3, Madhavnagar, Kumara Krupa Road, Bangalore - 560001, Near Race Course"
"Have More Punjabi Restaurant","+ 91  80 33293665","No 306, Hennur Main Road,HRBR 3rd Block, Kammanahalli, Bangalore - 560043, Opposite Teachers Academy"
"4 Seasons Multicuisine Rest...","+ 91  80 33531246","1st Floor, Inorbit Mall, ITPL Road, Whitefield, Bangalore - 560066, Beside Marriott 5 Star Hotel, EPIP Area"
"Banashankari Restaurant","+ 91  80 33619439","No 60/3, Nanjappa Layout,New BEL Road, Vidyaranyapura Block 4, Bangalore - 560097, Below Metro Sprit Wine Shop"
"Bhagini Restaurant","+ 91  80 25427999","No.1253, Outer Ring Road, Banaswadi, Bangalore - 560043, Near Horamavu Signal"
"Hyderabad Biryaani House","+ 91  80 33539337","No.19/1,Classic Aura, Panathur Junction, Kadubeesanahalli, Bangalore - 560087, Adjacent Arihant Technologies"
"Spice Root","+ 91  80 33091451","No.12, Byrasandra Main Road,G M Palya, C V Raman Nagar, Bangalore - 560093, Behind Bagmane Tech Park Back Gate"
"Arabian Mehek","+ 91  80 41208888","No.46, MIG CHS 707, 4th Phase, Yelahanka New Town, Bangalore - 560064, Near Government School"
"Biriyani Paradise","+ 91  80 33640435","No.309,1st Floor,VMR Complex, Kundalahalli Gate, Kundalhalli-Whitefield, Bangalore - 560066, Opposite SRK Kalyana Mantapa"
"Zam Zam Darbar","+ 91  80 26686262","No.57, 8th A Main, Btm Layout 1st Stage, Bangalore - 560029, Near Food Palace"
"Biryani Wala","+ 91  7795999404","No 39/2 3 And 4,1st Floor,N S Complex, Kundanahalli Gate,Itpl Main Road, Marathahalli, Bangalore - 560037, Opposite Hyper City"
"Kritunga Restaurant","+ 91  80 65625665","Plat No 95, EPIP ITPL Road, Whitefield, Bangalore - 560066, Opposite Vydehi Hospital"
"Gowdara Mudde Mane","+ 91  80 33536852","No.24, 1st Main,1st Cross, Manjunath Nagar, Ragunalli, Kanakapura Road, Bangalore - 560062, Behind Adigas Hotel"
"Adithya Biriyanis","+ 91  80 33562107","No 17,B,13,14,1st Floor, A Sector,Doddaballapur Main Road, Yelahanka, Bangalore - 560064, Opposite Rail Wheel Factory"
"New Biryani Mane","+ 91  80 33531003","No 2, Uttarahalli Main Road,Chikkalasandra, Uttarahalli, Bangalore - 560061, Next Dominos Pizza"
"Namane Oota","+ 91  80 33642183","No 522/G, Opposite Nammura Thindi Service Road, Nagarbhavi, Bangalore - 560072, Near Thirige Bavana"
"Shanmukha Restaurant","+ 91  80 33724420","No 1313, 25th Main, Jayanagar 9th Block, Bangalore - 560069, Near Bangalore Central"
"Dandes Hyderabad Biryani","+ 91  80 33491826","7 Main,10 Cross,Mico Layout, BTM Layout 2nd Stage, Bangalore - 560076"
"Cauvery Hyderabadi Biryani","+ 91  80 33083700","#1, 6 Th cross, Akshaya nagar , T C PALYA main road, Ejipura, Bangalore - 560016, Above Canara bank atm , near Ideal mart supermarket"
"Kritunga Restaurant","+ 91  80 65625111","Sriven Square,2nd Floor, Kundalahalli Gate, Kundalahalli, Bangalore - 560037, Opposite Sankara Eye Hospital And Beside Star Bazaar"
"Biriyani Adda","+ 91  80 33619932","No.52/S, 2nd Main, Chandra Layout, Bangalore - 560040, Behind Prasanna Ganapathi Temple ,Near Chandra Layout Police Station"
"Ruh Restaurant","+ 91  80 33054577","4th Floor,Ganapa Tower, Sarjapur Outer Ring Road, Bellandur, Bangalore - 560103, Near Bellandur Junction And Central Mall"
"Hyderabad Biryaani House","+ 91  80 33057651","No.7/1,, Victoria Layout, Bangalore - 560047, Near Life Style, opp to SBH bank,"
"Pavithra Deluxe","+ 91  80 39827773","No 118,1st Floor, Hormavu Main Road, Banaswadi, Bangalore - 560043, Near ICICI Bank Atm"
"Zabi","+ 91  80 40910604","No.208/E, H S Complex, 80 Feet Road, 1st Stage, 2nd Block, Hbr Layout, Bangalore - 560043, Next To Samsung Show Room"
"Meghana Foods","+ 91  80 33532644","No.124, 1st Main,Khb Colony,5th Block, Koramangala, Bangalore - 560095, Near Jyothi Nivas College"
"Roll N Biryani","+ 91  80 33538385","No 9, Pipeline road, Vijayanagar, Bangalore - 560040"
"Kerala Mess","+ 91  80 33536526","No 6, 1st Cross,Model Colony, Yeshwanthpur, Bangalore - 560022, Opposite Bescom Office"
"Samruddhi Family Restaurant","+ 91  80 33640797","No 540/A, 8th Main Vijayanagar, Vijayanagar, Bangalore - 560040, Behind Vijayanagar Traffic Police Station"
"The Yellow Chilli","+ 91  80 33724693","No.3, 2nd Floor, MSR West Park, Brigade Road, Church Street, Bangalore - 560001, Opposite To Metro Station"
"Meghana Foods","+ 91  80 41308080","No.57/1,Jayalaxmi Chambers, Residency Road, Bangalore - 560025, Opposite Old Galaxy Theather"
"Olive Garden Restaurant","+ 91  80 33052615","No.414, Hrbr Layout,4th Cross,Cmrc Road, Kalyan Nagar, Bangalore - 560043, Opposite BSNL Office"
"R V International Lodging A...","+ 91  80 33642955","No.K 7, 100 Feet Ring Road,1st Phase,Kiadb Industrial Area,Anekal Taluk, Jigani, Bangalore - 560105, Near APC Circle"
"R V International Lodging A...","+ 91  80 33518437","No.K 7, 100 Feet Ring Road, 1st Phase, Kiadb Industrial Area, Anekal Taluk, Jigani, Bangalore - 560105, Near APC Circle"
"4 Seasons Multicuisine Rest...","+ 91  80 33013467","No.5,A C/402,Lamcy Plaza,1st Floor, HRBR 2nd Block ,Kammanahalli Cross, Kalyan Nagar, Bangalore - 560043, Opposite To Tanishq"
"Ma-Arya","+ 91  80 33563260","No.186, Gandhi Bazar Main Road, Basavanagudi, Bangalore - 560004, Opposite Roti Ghar"
"Aalishan Restaurant And Cat...","+ 91  80 33530588","No.158, Koramangala 7th Block, Bangalore - 560095, Near SAI Baba Temple Road"
"Hyderabad Biryaani House","+ 91  80 65659696","No 46, Varthur Main Road,Kundalahalli,, Ramagondanahalli, Bangalore - 560066, Near Forum Mall"
"Kritunga Restaurant","+ 91  80 65625444","No 2750, NNS Plaza, 4th Floor, Bellary Service Road, E Block,, Sahakara Nagar, Bangalore - 560092, Near Swati Gardenia Hotel"
"Nile Garden Restaurant","+ 91  80 33569991","No 13, 4th Main,1st Cross, Madivala, Bangalore - 560068, Behind Ayyappa Temple"
"NAATI PARK RESTAURANT","+ 91  80 30145047","14, RR Layout, Nagadevanahalli-Gnanabharathi, Bangalore - 560056, Near HP Petrol Bunk"
"Hyderabadi Biryani","+ 91  80 33618859","No.98, Sky Lark Plazzo, Old Airport Road, Murugeshpalya, Bangalore - 560017, Near Total Mall"
"Have More North Indian Fami...","+ 91  80 23516768","No.1,3rd Floor, 80 Feet Road, New Bel Road, Bangalore - 560054, Opposite M S Ramaiah Hospital And 2nd Building After Pizza Hut"
"Amrutha Grand Restaurant","+ 91  80 30145349","No 9/1A,Ground Floor,Sidda Reddy Ellite, Off Sarjapura Road, Kasavanahalli, Bangalore - 560035, Near Andhra Bank"
"Ambur Star Biryani","+ 91  80 26689973","No.38, 1st Stage,1st Phase, BTM Layout, Bangalore - 560076, Opposite Central Silk Board"
"New Hyderabad House","+ 91  80 33083295","No.528,Ground Floor, Ambalipura Bellandur Gate, Sarjapur Road, Bangalore - 560034, Opposite Total Mall"
"Kabab Hut","+ 91  80 33056638","No.740, 6th Block, Rajajinagar, Bangalore - 560010, Beside St Anns School"
"Kaayal Restaurant","+ 91  80 33092587","No. 1647/1, 2nd Floor, Jeevan Bima Nagar, Bangalore - 560075, Opposite Miranda College"
"Oye Amritsar Restaurant","+ 91  80 39627829","No.54, Canara Bank Road, Koramangala 6th Block, Bangalore - 560095, Near To Vijaya Bank & Diagonal Opp To Nilgiris"
"Ambur Star Biryani","+ 91  80 33511645","No.5,Ground Floor, Dairy Circle Road, Hosur Road, Bangalore - 560029, Opposite Forum Mall"
"Relish Restaurant","+ 91  80 23513513","No.79, Rmv 2nd Stage, New Bel Road, Bangalore - 560054, Opposite MS Ramaiah Hospital"
