"Name","Phone","Address"

"Via .Com","+ 91  80 41431000","Corporate Office, Manyata Embassy Business Park, Outer Ring Road, Nagawara, Bangalore - 560045"
"Flight Raj Travels PVT LTD","+ 91  9900274161","Magnolia, Manyatha Embassy Business Park, 3rd Floor,Outer Ring Road, Hebal Bang Kar 560027 In, Outer Ring Road, Hebbal, Bangalore - 560024, Main Road"
"Flight shop","+ 91  80 45338800","2003/1-1, Arihant, 100 Feet Road, Hal 2nd Stage, Indira Nagar 1st Stage, Bangalore - 560038, Opposite To Reliance Digital"
"Flight way","+ 91  9632049110","Shop number 25, sharada lodge building, Kg road, Gandhi Nagar, Bangalore - 560009, Near geeta complex"
"Flight Carriers Of India","+ 91  80 28473988","Venkateshwara Rice Mill, Katamnallur Gate, Virgonagar, Bangalore - 560049, Virgo Nagar"
"Skylark Express Couriers","+ 91  80 33083655","No: 4, 1ST Main, 7TH Cross, Sampangiramnagar, Bangalore - 560027, Behind Ramanashree Hotel"
"Flight 4 Fantasy","+ 91  80 22067977","No.21, The Forum Mall, 4th Floor, Hosur Road, Koramangala, Bangalore - 560095"
"Flight Shop","+ 91  80 40471700","No.8/12, Honnam Complex, South Cross Road, Basavanagudi, Bangalore - 560004, Near South Indies Hotel"
"Flight Pnr Tours & Travels","+ 91  80 27803050","No.203, Hb-5, Khb Surya City, Chandapura, Hosur Road, Bangalore - 560068, Near Anekal Road"
"Flight Carriers India","+ 91  80 23712182","C-36, Cmda Truck Terminal, Madavara, Bangalore - 562123, Complex"
"Flight Career Of India","0811329889",""
"First Flight Couriers Ltd","+ 91  80 32010242","No.135/1, 1st Floor, SVN Complex, Thanisandra Main Road, Nagawara, Bangalore - 560045, Next To Indian Oil Petrol Bunk"
"Babitha Tours & Travels","+ 91  9632220726","Kalyan Nagar Post, Hbr Layout, Bangalore - 560043, Near Nagawara Keb Office"
"Nithin Tours & Travels","+ 91  80 25456827","No.6, 3rd Cross, 2nd Block, Kammanahalli, Hbr Layout, Bangalore - 560043"
"A R S tours and travels","+ 91  80 65651201","152, Nagawara main road, Nagawara, Bangalore - 560045, Near fly over"
"M. Tours and Travels","+ 91  80 65650074","No.9/B, Nagwara Main Road, Nagawara, Bangalore - 560045, Near to Nagawara fly Over, Opp to Tata Docomo Office"
"Leo Tours & Travels","+ 91  9900859798","No.52, Anjanappa, Amarjyothi Layout, Thanisandra Main Road, Nagawara, Bangalore - 560045, Manyata Embassy, Nagwara Signal"
"Sathya Tours And Travels","+ 91  80 25438833","NO,76/1,, Veeranna Palya, Nagawara, Bangalore - 560045, Near To Manyatha Tech Park,Opposite To Manpo"
"Supreme Travels","+ 91  80 25473332","No.738, 9th Main, 3rd Stage, Arabic College, Bangalore - 560045, Nr.Pillanna Garden"
"Vishal Tours & Travels","+ 91  8904005007","Ashwath Nagar, Bangalore, Main Road, Ashwath Nagar, Bangalore - 560045"
"ss travel world","+ 91  80 41178605","next toi axis bank atm, near ganapathi temple, Nagawara, Bangalore - 560045, nagawara back gate"
"Bismilla Zeeba Travels","+ 91  9360642870","Shop No 50,, Nagavara Main Road, Arabic College, Bangalore - 560045, P&T Bus Stop"
