"Name","Phone","Address"

"Bajaj Finserv Lending","18002094151","2nd Floor, G R Tower, Amritsar - 143001, Near Smile Center, Opposite Dr Daljit Singh Eye Hospital"
"Mahindra & Mahindra Financial ...","+ 91  183 6575167","Shop No 85 City Centre 1st Floor, G T Road, Main Road, Amritsar - 143001, B/S Sangam Cinema"
"Hdfc Bank","+ 91  183 5010512","Sco-25, District Shopping Cmplx, Amritsar - 143001, Ranjit Avenue"
"MUTHOOT FINANCE PVT LTD","+ 91  183 5069814","first floor hall gate, hall bazar near goal hathi chowk, Amritsar - 143001, opp congrass bhawan"
"Fullerton India Credit Company...","+ 91  183 6576981","Pl No A-1, Court Rd Crossing, Amritsar - 143001, Green Avenue"
"Rajat Finance & Investments","+ 91  183 2501680","B-329, Ranjit Avenue, Opp. BEST Western Merrion Hotel, Amritsar - 143001"
"GE Money Financial Services LTD","+ 91  183 39022000","107/1,Hall Bzr,Lower Grd Flr,R S Tower, R S Tower, Amritsar - 143001"
"Mankawal Singh","+ 91  9888824569","House No 361, Gali No 2, Amritsar - 143001"
"Ws Associates","+ 91  183 5098111","Shop No-4, Amritsar - 143001, Preet Randhawa Market"
"Om Financial Services","+ 91  9988507009","36-A, 2nd Floor, Amritsar - 143001, Opposite Shiva Park Rani Ka Bagh"
"Financial Hub","+ 91  9814043481","1-a Basement Aangan Resturant ,, Queens Road, Amritsar - 143001, Opposite Alexandra School"
"sukhwant dental clinic","+ 91  183 5052330","shop no 6, sandhu market , opp, sultanwind gate, Amritsar - 143001, opp electricity board"
"Galaxy Financial Services","+ 91  9814016607","HOUSE 128 GALI NO 1, TARAN TARN ROAD SAHID UDAM SINGH NAGAR, Amritsar - 143001, Near bus stand Amritsar"
"A Muthoot M George ENT","+ 91  183 4012011","2nd Flr,Sco-26, Amritsar - 143001, Distt Shopping Centre,Ranjit Avenue"
"Bheviya Enterprises","+ 91  9876818785","Batala Rd, Amritsar - 143001"
"ARORA INVESTMENT & HIRE PURCHA...","+ 91  183 5061945","Shop No-56, ghee mandi, Amritsar - 143001, Akali Baba Pholla Singh Mkt,Opp Shera Wala Gate"
"Raghav Seth and Associates","+ 91  9888050052","148 shastri nagar, opps Pushpa market, Amritsar - 143001, Near lawns road"
"Tamanna Enterprises","+ 91  183 5062651","16,Kapoor Plaza, 1st Floor Queens Road, Opp. PNB National Bank, Amritsar - 143001, near crystal chownk"
"Perfect Money Planners","+ 91  9653862179","Shop No 211,Sun Rise Palaza, Cooper Road, Amritsar - 143001, Near Crystal Restaurant"
"Shri Herb Asia Biotech","+ 91  183 6555177","Batala Road Post Office, Amritsar - 143001, Khanna Nagar"
"Chadha Consultant","+ 91  8556962625","Ghee Mandi, 1518/13, Amritsar - 143001, Opp Bhai Veer Singh Shivala Mandir"
"Nikhil Enterprises","+ 91  9646356550","Near Celebration Mall, Batala Road, Krishna Square, Amritsar - 143001, Opposite Pabby Banquet"
"SBI LOAN SPECIALIST","+ 91  9501632695","ISLAMABAD, Amritsar - 143001, opp anandpur sahib kutia"
"Satguru Autos","+ 91  9417057042","majitha road, Amritsar - 143001, Opposite Oven Fresh"
"STAR TELECOM","+ 91  9888469300","MAIN BAZAR, SULTANWIND ROAD, Sultanwind, Amritsar - 143006, NEAR KAKA RAM SWEETS"
"Lucky finance","+ 91  9814450450","main road, new kot atma ram, Amritsar - 143002, gurdwara toot sahib"
"Sai Advertiser","+ 91  9517521123","New surender chaudhary market, Shimla market putlighar bazaar, PUTLIGHAR BAZAAR, Amritsar - 143002, near Bedi school govt school"
"ASWANI FINANCIAL","+ 91  183 5050506","Shop no 21, Main bazar, Amritsar - 143001, anand Avene, Housing Board Colony, Nr Police Flat"
"shivam computers","+ 91  9779705081","Amritsar - 143002"
"Nirman Financial Services","+ 91  9814412277","Plot-1, Court Road, Amritsar - 143002, Mall Road"
"Himanshu loan consultant AXIX ...","+ 91  8558992332","Ranjit avenue, Amritsar - 143002, near passport office"
"Ca Manjot Singh","+ 91  9872268846","Ranjit Enclave, Amritsar - 143002"
"JAY Kay Financial Service","+ 91  9855549381","Opp Dara Building, Verka Fatak Road, Shastri Nagar, Amritsar - 143001"
"National Financial Services","+ 91  9888453014","Amritsar Road, Tarn Taran - 143416, Kamal Hospital
(Also serves AMRITSAR)"
