"Name","Phone","Address"

"Azad Taxi Stand","+ 91  9888877543","Hoshiarpur - 146001, Near Navyug Palace, Opposite Bus Stand"
"Azad Traders","+ 91  9815461284","Hoshiarpur - 146001"
"Modren Taxi Stand","+ 91  9815720212","Model Town, Hoshiarpur - 146001, Bhagwan Valmiki Inter State Bus Terminal Near Bus Stand Opposite Navyug Marriage Palace"
"Dashmesh Taxi Stand","+ 91  9464782996","Hoshiarpur - 146001, Village Mehmowal"
"Parmar Car Bazar & Taxi services","+ 91  1882 276811","Roshan Ground Road, Hoshiarpur - 146001, Near Goel Hospital, Car Bazar,Bus Stand, Uddam Singh Park"
"Vicka and Ajay Taxi Services","+ 91  1882 284026","Roshan Road, Model Town, Hoshiarpur - 146001, Opp. Udham Park"
"Hari SAR Taxi Stand","+ 91  9646347961","Hoshiarpur - 146001, Easpur"
"Punjab Roadways","+ 91  1882 255313","HOSHIARPUR - 146001"
"Manns Taxi Service","+ 91  1882 225919","Office Cum Resident, Bank Colony Road, Hoshiarpur - 146001, Opposite Hotel Shiraz Regency,"
"Kaushal Azad Transport","+ 91  1882 231868","Tower Road, Hoshiarpur - 146001, Adda Saran"
"Lyal Taxi Stand","+ 91  9814398992","Adda Gondpur, Mahilpur, Hoshiarpur - 146105"
"Gaurav Taxi Services","+ 91  1886 226049","Jaja Bye Pass Chowk, Tanda, Hoshiarpur - 144204, Near Bye Pass Opposite State Bank Of India"
"Harmesh LAL Azad","+ 91  1882 284455","Vill.& Post Office Badesron, Badesron, HOSHIARPUR - 144528"
