"Name","Phone","Address"

"Parmar Car Bazar & Taxi services","+ 91  1882 276811","Roshan Ground Road, Hoshiarpur - 146001, Near Goel Hospital, Car Bazar,Bus Stand, Uddam Singh Park"
"Parmar Confectionery","+ 91  9417648670","hoshiarpur, Dagana Road, Hoshiarpur - 146001, jassa singh ramgarhia chowk"
"Parmar Fertilizer Service","+ 91  9876770614","2, Main Road, Hoshiarpur - 146001, ESIC Hospital"
"Parmar Seed Store","+ 91  9872727519","2, Mandir Ke Pas, Hoshiarpur - 146001, ESIC Hospital"
"Parmar Jaswinder Singh Advocate","+ 91  1882 230117","209, Vasant Vihar Hoshiarpurhoshiarpur, 146001, Hoshiarpur - 146001"
"Parmar tractors","+ 91  9463774448","Shop no 48, JAIJON Road, Mahilpur, Hoshiarpur - 146105, OPP CHAUHAN DRY CLEANER"
"Parmar Auto","+ 91  1885 221735","Garhshankar Rd, Balachaur, Hoshiarpur - 144521"
"Gaurav Taxi Services","+ 91  1886 226049","Jaja Bye Pass Chowk, Tanda, Hoshiarpur - 144204, Near Bye Pass Opposite State Bank Of India"
"Big TV DTH Services Hoshiarpur","18002009001","Jalandar Ghantaghar Rd,Jalandhar Rd, Hoshiarpur - 146001, Mohalla Bassi Khuaja,Opp Khalsa Cloth House"
"Chaudhary Car Bazar","+ 91  1882 229074","Bus Stand, Hoshiarpur - 146001, Backside Government College, Khera Market"
