"Name","Phone","Address"

"Mohini Tour & Travel","+ 91  183 2258071",""
"Travelin","+ 91  183 5012544",""
"Shiva Tour & Travels","+ 91  183 5099333",""
"Delhi Travels","+ 91  9417867694",""
"SHRI SAI BABA TRAVELS","+ 91  9815985668",""
"Distance Travels","+ 91  183 6535831",""
"Jindal Travels","+ 91  8427679893",""
"Shri triloki Nath tour and travel","+ 91  9478590696",""
"Amritsar Yellow Plate Taxi Ser...","+ 91  183 5053045",""
"Taxi Service Amritsar","+ 91  9855028504",""
"Diya Tour & Travels","+ 91  1853 500730",""
