"Name","Phone","Address"

"Satguru tyre house","+ 91  9888285890","Sh no 48 a, New kabari market, Amritsar - 143001, Ram talai"
"Gupta tractor parts","+ 91  9815947609","Sh no 89, Kabari market jahaj garh, Amritsar - 143001, G . T road"
"Raju tyre house","+ 91  8054664808","Sh no 86, Jahaj garh, Amritsar - 143001, G. T road"
"Arora tyre works","+ 91  9878681261","Shop no : 19, Krishna Square, Amritsar - 143001, Opp Vidya Bhawan school"
"Kashmir tyre","+ 91  7837699413","Baba phulla singh market, Amritsar Bus Stand, Amritsar - 143001, Opp.shera wala gate"
"RAGHU TYRE HOUSE","+ 91  9417014957","SHOP NO c-6,c-7, opposite IDH market, Amritsar Bus Stand, Amritsar - 143001"
"SHAM TYRE HOUSE","+ 91  9914369701","SHOP NO 31-32, OLD TYRE MARKET, Amritsar Bus Stand, Amritsar - 143001, MAHAN SINGH GATE"
"Bhullar rim style","+ 91  8557840471","Bypass, Mjitha Verka highway, Amritsar - 143001, Near dharam kanda"
"Jasbir tyre house","+ 91  9988083985","Shop no 21, Tyre market, Amritsar Bus Stand, Amritsar - 143001, Opp.idh market"
"SATKARTAR ENRERPRISES","+ 91  183 3093766","9-B, O/s Hall gate, Amritsar - 143001, Near Bhandari Bridge"
"Gurbachan Tyre Works","+ 91  9988678251","Shop No 24-25-26, Mahan singh gate, Amritsar Bus Stand, Amritsar - 143001, Opp.idh market"
"Tinku Tyre House","+ 91  9814175696","Shop 10, Mahan singh gate, Amritsar Bus Stand, Amritsar - 143001, Bus stand road"
"Yamha Sharma Brother","+ 91  9888548736",""
"Satjot Wheel Care","+ 91  9872857499","Vijay Nagar , Main Batala Road, Amritsar - 143001, Near HDFC Bank"
"Baba Deep Singh Tyre House","+ 91  9803132128","Shop no,154, RAM TALAI ,JAHAi GARH, Amritsar - 143001, GT ROAD"
"NATIONAL AUTOS","+ 91  9779880002",""
"Khalsa Tyre Centre","+ 91  183 5007513","Scf-42, G T Road, Amritsar - 143002, Transport Nagar"
"Aulakh tyres","+ 91  9781378788","Shop no.143, Truck stand, Amritsar - 143001, G.t. Road"
"Gobind motor store","+ 91  9815196830",""
"G D MOTORS","+ 91  9646429125","Kabir park market, Amritsar - 143001, Opp.sandhu colony"
"Guru Nanak Tyres","+ 91  9876644394","Shop No 10,12, OUTSIDE HALL GATE, Amritsar - 143001, Opp. Sagar Hotel"
"National tyre","+ 91  9988774880",""
"Gurbindra Tyre House","+ 91  1851 272295","Khem Karan Road, Bhikhiwind, Amritsar - 143303"
"K D Tyre Shopee","+ 91  7508811313","Shop Number 3-10, Batala Road, Krishna Square, Amritsar - 143001, Near Celebration Mall"
"Khurana Motors","+ 91  9888213327","15, Court Road, Amritsar - 143001, Near Uco bank"
"City Car Center","+ 91  9988425257","Shop No 6 Mission Shop, Court Road, Amritsar Cantt, Amritsar - 143001, Opp.Uco bank"
