"Name","Phone","Address"

"Jewels Era Pvt Ltd","+ 91  261 2553481","1, Ground Floor, Tapovan, Varachha Road, Surat - 395006"
"Jewel Zoomer Shop","+ 91  261 2505590","U 10 Sahjanand Cplx, Varachha Road, Surat - 395006"
"Jewel Goldi India","+ 91  261 4060555","22, 2nd Floor, Shree Ram Krishna Complex, Katargram Road, Katargam, Surat - 395004, Near Peoples Bank, Nishal Falia"
"jewels valley","+ 91  261 2422524","tulsi building, somnath mahadev sheri, Mahidharpura, Surat - 395003, mahidharpura,haripura"
"Jewel Art","+ 91  261 6458231","10/708, Hawadiya Chakla, Gopipura, Ambaji Road, Surat - 395003"
"Jewel Art Designing","+ 91  9537567113","407, 4th Floor, Rampura Main Road, Rampura, Surat - 395003, Opposite Jalaram Dairy"
"Jewel Stars","+ 91  9825295487","Gidc, Ak Road, Katargam, Surat - 395004"
"Jewel Star","+ 91  261 2486563","Plot No 102/A, Asarawala Compound, Katargam, Surat - 395004, Opposite Bambavadi"
"Jewel Care Motor","","11, Param Hans Society, Katargam, Surat - 395004, Opposite Abalone Shopping Mall"
"Jewel Star Diamond Scaife","+ 91  9924271000","Kohinoor Society, Opp. Crystel Chambers, Mota Varachha, Surat - 394101"
"jewel modal makers & designer","+ 91  9275121112","Surat - 395004"
"Jewels Star","+ 91  9909146442","104, Gokulam Arcade, Nr. Rise On Plaza, Sarthana, Surat - 395006, Sarthana Jakatnaka"
"Jewel Springs Design Centre","+ 91  261 3250400","Shop Number 43/44, Pooja Abhishek Shopping Complex, Athwa Lane, Parle Point, Surat - 395001, Near Icici Bank"
"Jewel FAB Exports Limited","+ 91  2629 231394","M M Mangrol, Surat - 394410, S No 686 Tarasad"
"Mk Jewels & Designs","+ 91  9924688989","Office No 212 New DTC Building, Ghee Kanta Road, Mahidharpura, Surat - 395003, Opposite Jay Jalaram Dairy Near Bhavani Mandir"
"JK Jewels","+ 91  9099689984","6, Agan Recidancy, Varachha Road, Surat - 395006, Opppsite Water Tank, Yogi Chowk"
"Maahir Jewels","+ 91  9924688989","Shop No 1, Ramkrushna Society, L H Road, Matawadi, Surat - 395006, Near Jain Derasar, Opposite Smc Party Plot"
"Golden Jewels Pvt Ltd","+ 91  261 2555959","A/12, Ashapuri Society, Khodiyar Nagar Road, Varachha Road, Surat - 395006, Near Tejendra Society Gate"
"Cosmos Jewels","+ 91  9099152524","F 15 Princess Plaza, Varachha Road, Surat - 395006, Minibazar"
"7 - Star Jewels","+ 91  9426887024","103, Rajhans Shoppind, Varachha Road, Surat - 395006, Near Baroda Prestige"
"SAI Jewels","+ 91  9327575790","1st,Floor, Sardar Shopping Centre, Baroda Prestige,, Surat - 395006, Opp Ravi Dress Matiriyals,"
"MS Jewels & Manufacturing Inst...","+ 91  261 6888885","B-53, 1st Floor, Harirambapa Nagar, Varachha Main Road, Varachha Road, Surat - 395006, Near Surat Super Store"
"7 Star Jewels","+ 91  261 3263515","Shantaba Complex, Varachha Road, Surat - 395006, Nr Golden Rest"
"Bhavani Jewels","+ 91  261 2550857","5 Bhagu Estate, Lambe Hanuman Road, Varachha Road, Surat - 395006, B/H Hans Scoiety"
"Sukhas Jewels","+ 91  261 2546539","1/fioor jevandeep complex, heerabag sarcel, Varachha Road, Surat - 395006, Matawadi"
"Abhinandan Jewels","+ 91  9377699079","Lambe Hanuman Road, Varachha Road, Surat - 395006"
"Omkar Jewels","+ 91  261 2565640","Shop No 5, Plot No 8, Ramakrishna Society, Lambe Hanuman Road, Varachha Road, Surat - 395006, Jain Derasar"
"Jay Gopal Jewels","+ 91  9879007936","107, 1st Floor Maya Complex, L h road ,, Matawadi, Surat - 395006, Near Bajarang Apartment"
"Kails Jewels","+ 91  9376252525","G-8/9/10, Opera House, Varachha Road, Surat - 395006, Mini Bazaar"
"Dhani Jewels","+ 91  9726100666","G/5, Opera House, Varachha Road, Surat - 395006, Mini Bazar"
"Jenu Jewels","+ 91  9925084124","LG 25 Rajhansh Height, Mini Bazar, Surat - 395006, Behind M D Tower"
"Shree Gajanan Jewels","+ 91  9586266466","37, Ram Nagar, Khodiyar Nagar Road, Ankur Cross Road, Varachha Road, Surat - 395006"
"Torra Jewels","+ 91  261 2553493","A/602, Diamond World, Main Road, Varachha Road, Surat - 395006, Near Mini Bazaar"
"Creative Jewel","+ 91  261 2567722","93, Ishwarkrupa-3, L.h. Road, Surat - 395006, Near Trikamnagar-2"
"Unique Jewels","+ 91  9227103003","B-22 Trikamnagar 1, L H Road, Varachha Road, Surat - 395006"
"Dharm Jewel","+ 91  261 4041054","LG-27, Rajhans Heights, Chocksi Bazaar, Varachha Road, Surat, Gujarat, Varachha Road, Surat - 395006"
"M P Jewels","+ 91  9376302924","61/ Dtc Bldg Dalagiya Mahalla, Mahindhar Pura, Surat - 395006"
"K Jewels","+ 91  9920861293","A Tower 65 Gf Diamond World,, Mini Bazar, Varachha Road, SURAT - 395006"
"D N Jewels","+ 91  261 4022261","B 507 Diamond World Mini Bazaar, Kohinoor Road, Varachha Road, Surat - 395006"
"Mansi Jewels","+ 91  261 2544244","Shop No.3-4, 284, Kshama Society, Dharam Nagar Road, Varachha Road, Surat - 395006, Nr. Dharamnagar Chowk"
"KP Sanghvi Jewels Private Limited","+ 91  261 6567892","A K Road, Surat - 395008, Umiya Chowk"
"Marine Jewels","+ 91  9374719466","Ug 24 Panchratna Tower, Varachha Road, Surat - 395006, Lambe Hanuman Road"
"Jeny Jewels","+ 91  261 2429152","Rughnathpura Diamond Market, Rustampura, Surat - 395002"
"SHREE HARI JEWELS","","15,G.k Chambers, Kohinoor Road, Varachha Road, SURAT - 395006, Minibazar"
"Facets Jewels","+ 91  9723796911","24, Upper Ground, Panchratna Tower, Lambe Hanuman Road, Varachha Road, Surat - 395006, Opposite Eiffel Tower"
"Aakar Jewels","+ 91  9998586700","110, Ankur Society, A K Road, Surat - 395008"
"New Era Copper Pvt Ltd","+ 91  261 3073030","403 Poddar Arcade, Varachha Road, Surat - 395006, Nr Railway Station"
"Sankalp Jewels","+ 91  9033903056","Shop no. A-227, 2nd Floor, D.R. World, Main Road, Parvat Patia, Surat - 395010, Near Aai Mata Temple"
"S R Jewels","+ 91  9033452921","C-6, Akshardham Society, Varachha Road, Surat - 395006, Kapodra"
"Mn Jewels","+ 91  261 2434000","410 To 418, Shree Hari, Mahidharpura, Surat - 395003, Jada Khadi"
"Arihant Jewels","+ 91  261 3008442","302, 303, Nilay Chembers, Mahidharpura, Surat - 395003, Daliya Sheri"
"Durva Jewels & Gemstone","+ 91  9825885544","Thoba Sheri Road, Naka, Mahidharpura, Surat - 395003, Opp Radha Restorent"
"Beautiful Jewel","+ 91  261 2455088","Block No 4 1st Floor Swami Narayan Building, Opp Manmohak Ice cream, Lal Darwaja, Surat - 395003, In Swaminarayan Wadi"
"Shashvat Jewels Pvt Ltd","+ 91  261 2440164","6/1468, Shashvat House, Kansara Street, Mahidharpura, Surat - 395003"
"Hotel Jewels","+ 91  261 2413563","Lal Darwaja, Surat - 395003, Behind Resham Bhavan"
"Venus Jewel","+ 91  261 2539000","The Venus Estate, Sumul Dairy Road, Surat - 395003, Near Shantiniketan Society"
"Leela Jewels","+ 91  261 2608992","302 And 303, New Dtc Building, Hathfalia Street, Mahidharpura, Surat - 395003, Hathfalia"
"DBS Jewels","+ 91  8905733585","6 2355, First Floor, Harikunj Appartment, Mahidharpura, Surat - 395003, Kajini Wadi"
"Ruta Jewels","+ 91  7801849412","Ring Road, Surat - 395002"
"Bhajan Jewel","+ 91  261 2538899","G-2, Sukhdev Complex, Vasta Devdi Road, Katargam, Surat - 395004, Opposite Torrent Power"
