"Name","Phone","Address"

"Rohin Tuition Centre","",""
"New Hope India","+ 91  183 5098230",""
"Global Tech Career Institute S...","+ 91  183 5062593",""
"ONS IAS Academy","+ 91  183 6571198",""
"Toppers Academy","+ 91  183 5067569",""
"Merchant Navy Centre","+ 91  9023253577",""
"IAS ACADEMY","+ 91  183 5015246",""
"Gurpal Singh Tutorial","+ 91  9888479332",""
"Puri Institute","+ 91  9855368746",""
"nitepeie institute","+ 91  9876912431",""
"Enrich Education & Training So...","+ 91  7696005014",""
"Easy Learning","+ 91  9855352293",""
"IBEST INSTITUTE OF BANKING AND...","+ 91  183 5002004",""
"Bsc Academy","+ 91  9814359495",""
"Prof Sodhis Academy Of Competi...","+ 91  8054920092",""
"Harpreet coaching centre","+ 91  9646345424",""
"Mahatma Barbaric Academy Of Co...","+ 91  9971688484",""
"3rd Axis","+ 91  9646673683",""
"IBT Institute","+ 91  183 5005250",""
"Tuli s The Academy","+ 91  9888808693",""
"Abhimanus IAS Study Group","+ 91  183 5051301",""
"TIME Institute","+ 91  183 2401818",""
"Need India Career Institute","+ 91  8437860605",""
