"Name","Phone","Address"

"Zywee.Com","+ 91  80 33644952","No 365,Balaji Arcade,1st Floor, 14th B Cross,Sector 6, HSR Layout, Bangalore - 560102, Above Cuppa Coffee"
"Rxpress Digimed Services Pr...","+ 91  9880297345","No.335, Vishnu 14th Main,25th Cross, Banashankari 2nd Stage, Bangalore - 560070, Near BDA Complex"
"Family Hospital","+ 91  80 33294656","No.432/2, 60 Feet Road,1st Main,1st Stage,1st Phase, Mathikere, Bangalore - 560054, Behind SBM Bank"
"Sri Vinayaka Medicals And G...","+ 91  80 39559215","No.1479/1,Metro Plaza Ground Floor, Neeladri Main Roadm,Electronic City, Electronic City Phase 1, Bangalore - 560100, Opposite Genesis Ecosphere Apartment"
"Siddaiah Multi Speciality C...","+ 91  80 33058934",""
"Satwik Surgicals","+ 91  80 39559813","No.244, Kanakapura Main Road,33rd Cross, Jayanagar 7th Block, Bangalore - 560082, Near Deepak Hospital"
"Jay Medicals","+ 91  80 25800456","No.61/2, Banasawadi Main Road,JAI Bharath Nagar,M S Nagar Post, Maruthi Sevanagar, Bangalore - 560033, Next Reliance Fresh"
"Sri Balaji Home Health Care...","+ 91  80 33057301","No.16, F Street, Shanthinagar, Bangalore - 560027, Near To Government High School"
"Lakshmi Medicals","+ 91  80 33530052","No.636/C, 7th Main Road,Mico Layout, Btm Layout 2nd Stage, Bangalore - 560076, Near Home Needs Super Market"
"The Cash Pharmacy","+ 91  80 33618456","No.74/5,Old No.2,Ground Floor,Prestige Delta, Residency Road, St Marks Road, Bangalore - 560001, Opposite Bishop Cotton Boys School"
"SRI NANJUNDESHWARA MEDICALS","+ 91  80 33531437",""
"The Family Doctor And The F...","+ 91  80 33700852","No.702, 4th A Cross,Hrbr 1st Block, Kalyan Nagar, Bangalore - 560043, Next Lawrence And Mayo, Opp Getanjali Jewellers"
"The Family Doctor And The F...","+ 91  80 33789845","No 361, DC Halli Main Road,Bilekahalli, Vijaya Bank Layout, Bangalore - 560076, Near Ayyappa Swamy Temple,Next Rite Fruits And Vegetables"
"Royal Medicals","+ 91  80 33792698","No.1, Subramanya Layout, Vijanapura, Ramamurthy Nagar, Bangalore - 560016, New Police Station Road"
"The Family Doctor And The F...","+ 91  80 41273019","No22, Ground Floor 01 And 02, Sunrise Chambers, Ulsoor Road, Ulsoor, Bangalore - 560008, Near Nilgiris Supermarket And Opposite Baby Shop"
"Shri Tirupati Medicals","+ 91  80 33538585","No.851, Shop No.2, C K Nagar,Hosa Road,Central Jail Road, Electronic City, Bangalore - 560100"
"Milan Pharma","+ 91  80 39628214","No.7, Vigna Nagar Mainn Road, Vignana Nagar, Bangalore - 560037, Next Fair Choice Super Market"
"Sri Manikanta Medicals And ...","+ 91  9901128079","No.145/B 4,Priyadarshini Service Station Complex, 3rd Cross,Hosur Road,Anekal Taluk, Bommasandra Industrial Area, Bangalore - 560099, Near Suchi Hotel"
"Bharath Medicals","+ 91  80 22862099",""
"Balaji Ayurvedic Center","+ 91  80 33618647","No.139,Old No.26, 9th Main, Jayanagar 3rd Block, Bangalore - 560011, Near 3rd Block Circle"
"Sri Sangmeshwar Medical And...","+ 91  80 33092276","No 2/59, 6th Cross, Raghunalli, Bangalore - 560062, Near YDIT College"
"Harihara Medicals","+ 91  80 23641124","No.136,Nagarajappa Building, Thindlu Main Road, Vidyaranyapura, Bangalore - 560097, Near Thindlu Circle"
"Shyamala Medicals","+ 91  80 33056527","No.252, 2nd Main, 8th Cross, Isro Layout-jp Nagar, Bangalore - 560078, Opposite Sri Vinayaka Temple"
"Sangam Medical And General ...","+ 91  80 33056219","No.52, 5th Main,Kothnur Dinne Main road, Jp Nagar, Bangalore - 560078, Near Ganesh Temple"
"Shanthi Medicos","+ 91  80 33640414","No.49, Bazaar Street Down, Neelasandra, Bangalore - 560047, Near Infant Jesus Church"
"Ramesh Medicals","+ 91  80 33762167","No.666, 6th Main, Isro Layout-jp Nagar, Bangalore - 560078, Near Bus Stop"
"Shantha Pharma","+ 91  80 33056566","No.30,Shop No.1,Ground Floor, Raghuvanahalli, Kanakapura Road, Bangalore - 560062, Opposite KSIT College"
"Shree Sai Medical and Gener...","+ 91  80 30119152","No 25 and 26, Poornapragna Layout,Arehalli Village, Uttarahalli, Bangalore - 560061"
"Bangalore Medicals","+ 91  80 33722868","No.57/1,Eshwar Tower, 8th Mn, 10th Crs, Vasanth Nagar, Bangalore - 560052, Opposite Venkateshwara Temple, Next To Mosque"
"Medentzz Poly Clinic And Di...","+ 91  80 33569208","No.400, Ranganatha Complex, Opp HMT Ground, R T Nagar, Bangalore - 560032, Near 108 'b' Bus Stop"
"Sri Vishwanath Pharma","+ 91  80 33059646","Shop No.1, B G Road Sagar Layout, Devarachikkana Halli, Bangalore - 560076, Opp.Slv Kalayan Mandapa"
"Fair Deal Pharma (Medkart)","+ 91  80 33640954","No.164, 1st Floor, Sultanpet Main Road, Sultanpet, Sultanpet, Bangalore - 560053, Near Rajkumar Papers"
"Sree Maruthi Medicals","+ 91  80 33724033","No. 259, 12th Cross, 1st C Main Road, Mahalakshmipuram Layout, Bangalore - 560086, Opposite Mahalakshmipuram Police Station"
"Ram Medical And General Store","+ 91  80 33082505","No 612/7, Shanboganahalli, Bannerghatta, Bangalore - 560083, Near Gigani post"
"Kumar Medicals And Generals...","+ 91  80 33511207","Shop No.10/11, 50 Feet Road,DG Layout,Ittamadu, Banashankari 3rd Stage, Bangalore - 560085, Near VV Barkey"
"Apollo Spectra Hospitals","+ 91  80 43485555","House No 143, 1st Cross, 5th Block, Koramangala, Bangalore - 560034, Near Jyothi Nivas College"
"Sri Namana Medicals","+ 91  80 33057135","No.2/4, R K Complex, Kanakapura Main Road, Raghunalli, Bangalore - 560062, Opposite KSIT College"
"Gururaja Medicals","+ 91  80 22256783","No.36, S C Road ,KG Circle, Gandhi Nagar, Bangalore - 560009, Opposite Realaince Trends"
"S V Medicals And General St...","+ 91  80 33030468","No 482, 100 Feet Ring Road,Bhavani Nagar, Banashankari 2nd Stage, Bangalore - 560070, Near Under Pass"
"The Family Doctor and The F...","+ 91  80 33563044","No.179, 5th Main,9th Cross, Indira Nagar 1st Stage, Bangalore - 560038, Near Imli Restaurant"
"Sree Lakshmi Venkateshwara ...","+ 91  80 33562405","No 3, 2nd Cross,Raja Ram Mohan Roy Extension, K H Road, Bangalore - 560027, Opposite Bangalore Institute Of Oncology"
"Bharat Medical","+ 91  80 33054015","No. 1, 40/2, Puttahaih Compound, 80 Feet Road,Ramaiah Road, Ashwath Nagar, Sanjay Nagar, Bangalore - 560094, Near 3M Car Services,Opposite Masjid"
"Shree Lakshmi Medicals","+ 91  80 33530469",""
"Ramdev Medicals","+ 91  7795403111","Shop No.1,Ground Floor, Varthur Main Road, Whitefield, Bangalore - 560066, Opposite Columbia Asia Hospital"
"Sri Venkateshwara Pharma","+ 91  80 33762500","No.647, Gavipuram Guttahalli,K G Nagar Main Road, Kempegowda Nagar, Bangalore - 560019, Opposite K G Nagar Police Station"
"Maruthi Medicals And Genera...","+ 91  80 33056865","No.5,KR Building, Sarjapur Main Road, Carmelram, Bangalore - 560035, Near Kudthi Gate Bus Stop"
"Maruthi Medicals","+ 91  80 23500029","No.13/14,Sri Mothi Building, Remco Layout, Service Road, Vijayanagar, Bangalore - 560040, Opposite To Bts Bus Depo"
"Shri Gowri Medicals","+ 91  80 33563229","No.03, Chikkanna layout,Maheshwaramma Temple Main Road, Mahadevapura, Bangalore - 560048, Front Of Aakruthi Homes"
"Vishwas Medicals","+ 91  80 33055342","No.90 & 91, Nagawara Main Road, Venkateshapuram, Bangalore - 560045, Opp G.K. Hardware"
"Omkar medical","+ 91  80 33090425","#850 ground floor, 3rd Cross, Hosa Road, Electronic City, Bangalore - 560100, C K nagar"
"Anvitha Kidney Stone And Ey...","+ 91  80 33058900","No.G-205, 10th Cross Sahakaranagar Main Road, Sahakara Nagar, Bangalore - 560092, Near Reliance Foot Prints"
"Medikare Pharma","+ 91  80 33644457","No.44, Vinayaka Layout, Nagadevanahalli-gnanabharathi, Bangalore - 560056, Opposite Chitrakoota School"
"Sri Bhaskar Medicals","+ 91  80 33562297","No 60/55, 3rd Block,2nd Cross, Thyagaraja Nagar, Bangalore - 560004, Near Gangamma Temple Road"
"Mathru Homoeo Medical","+ 91  80 25400618","No.69, 5th Cross,Outer Ring Road, Marathahalli, Bangalore - 560037, Behind Venus Bakery Opposite Kalamandir"
"The Family Doctor And The F...","+ 91  80 25316061","Bp Plaza No.91/10, Tc Palya Main Rdoa,Hoysala Nagar, Ramamurthy Nagar, Bangalore - 560016, Near RK Apartments"
"Varshini Medical","+ 91  80 33030383","No.2653, Kumaraswamy Layout 2nd Stage, Kumaraswamy Layout, Bangalore - 560078, Near 108 Ganesh Temple"
"New Kaveri Medical And Gene...","+ 91  80 33057656","No.3, 3rd Cross,Hosur Main Road, Madivala, Bangalore - 560068, Opposite Ayappa Temple"
"Vasavi Medicals","+ 91  80 33674511","No 28,Shop No 1, Subramanyapura Main Road, Uttarahalli, Bangalore - 560061, Near Hemavathi Water Supply"
"Jal Vayu Medicals","+ 91  80 33642327","No 214, CMR Road, HRBR Layout, Bangalore - 560043, Opposite To Vasan Eye Care"
"Ashraya Medicals","+ 91  80 33762641","No 958 G - 3, Vijaya Bank Layout,Bilekahalli, Bannerghatta Road, Bangalore - 560076"
"Prem Medical And General Store","+ 91  80 33056478","No.38, 24th Main Road,Ramanna Road, Jp Nagar, Bangalore - 560078, Near Grills And Rolls"
"Marudhar Medicals And Gener...","+ 91  80 33050574","No.48 Shop 1, Kalkere Main Road, Ramamurthy Nagar, Bangalore - 560016, Near More Super Market"
"Rasmita Medicals And Surgicals","+ 91  80 33082290","No.19, Meanee Avenue Tank Road, Ulsoor, Bangalore - 560008, Opposite Lake View Market"
"Shri Gowri Medicals & Gener...","+ 91  80 33080579","No.4,Manjunatha Complex, Udayanagar Entrance,Old Madras Road, Udayanagar, Bangalore - 560016, Opposite Tin factory"
"Tejas Pharma","+ 91  80 33057050","No 13, Kathriguppe Main Road, Banashankari 3rd Stage, Bangalore - 560085, Opposite PAI International Showroom"
"Frank Ross Pharmacy","+ 91  80 33082383","No.598/18,Supradeep, 11th Cross,3rd Main, Sadashivanagar, Bangalore - 560080, Near Mint Masala Restaurant"
"Sree Maruthi Medicals","+ 91  80 33762384","No 93, 8th Main, Jayanagar 2nd Block, Bangalore - 560011, Near Ashoka Pillar"
"Panchavati Pharma","+ 91  80 33539592","No.59, Ground Floor, Malleshpalya Main Road, Malleshpalya, Bangalore - 560075, Opposite Vignan Nagar Bus Stop"
"Medizinca Sudeeksha Healthc...","+ 91  80 33673380","No.7, 4th Cross East Line Road, Malleswaram, Bangalore - 560003, Near Big Bazar"
"Janapriya Medicals","+ 91  80 33673327","Gear School Road, Doddakannelli, Bangalore - 560035, Near Chaitanya College"
"Guru Pharma","+ 91  80 33761008","No.705, 39th Cross,16 A Main, Jayanagar 4th T Block, Bangalore - 560041, Opposite Sobha Opel"
"MDP Medical","+ 91  80 33724634","No.124/1, Hennur Main Road, Kacharakanahalli, Bangalore - 560084, Opposite Channakeshava Temple"
"Prabha Eye Clinic And Resea...","+ 91  80 33052344","No.504, 40th Cross, Jayanagar 8th Block, Bangalore - 560082, Next Adigas Hotel Or Brigade Home Stead"
"Lovin Medicals","+ 91  80 33762683","No.111/88/9,SAI Enclave, 1st Cross,3rd Main, Jp Nagar 8th Phase, Bangalore - 560076, Near M S Ramaiah City"
"Vishnupriya Medicals","+ 91  80 33054517","No.2/495, Maruthi Layout,Vasanthapura Main Road, Vasanthpura, Bangalore - 560061, Near Nrasimhaswami Temple"
"Sri Ganesh Medicals","+ 91  80 33051873","No 1/1/1,Shop No 3, Vinayaka Nagar, Hagadur-Whitefield, Bangalore - 560066, Near Shiva Temple"
"Prajna Medicals","+ 91  80 33056129","No.12/3, 14th A Main Road, Jayanagar 3rd Block, Bangalore - 560011, LIC Colony"
"Chamunda Medicals And Gener...","+ 91  80 33762984","No 10/9, Tc Palya Main Road, Krishnarajapuram, Bangalore - 560036, Near Christ Optical Palace"
"Ashwini Medi Sales","+ 91  80 33535721","No.44, Shop No.1,Malliyappa Building, Cauvery Nagar,Kanaka Nagar Main Road,R T Nagar Post, R T Nagar, Bangalore - 560032, Near Gowtham College, Near Pavithra Bar & Restaurant"
"Mahaveer Medical","+ 91  80 33673330",""
"Lavelle Pharma","+ 91  9343716051","No.56,Kamal Building,2nd Floor, Lavelle Road, Bangalore - 560001, Opposite Glass House Restaurant"
"Sevakshetra Hospital","+ 91  80 26715479","Sevakshetra Building, 27th Cross, Banashankari 2nd Stage, Bangalore - 560070, Near Monotype Bus Stop, Near Canara Bank"
"Excel Care Hospital","+ 91  80 26715818","No.3/2, 27th Cross, Banashankari 2nd Stage, Bangalore - 560070, Near Software Brigade Park"
"Balaji Medical Store","+ 91  80 22456926","Shop No.31/3, 9th Main Road, Jayanagar 3rd Block, Bangalore - 560011, Opposite To ING Vysya Bank"
"Arun Medicals","+ 91  80 25457103","No 96/3, 4th Cross, CMR Road, Kalyan Nagar, Bangalore - 560043, Opposite To Health Globe, Hrbr Signal"
"Sridhar Medicals","+ 91  9886794323","No.1055, 2nd Cross, 2nd Stage, 5th Main, D Block, Rajajinagar, Bangalore - 560010, Near DCB Bank"
"Dooravani Medicals","+ 91  80 42103923","No.7, Ground Floor, B M Plaza, Ramamurthy Nagar, Bangalore - 560016, Near Holy Family Church"
"Shreya Hospital","+ 91  80 28482958","No.73, 3rd Main, 6th Cross, Kengeri Satelite Town, Kengeri, Bangalore - 560060, Near Syndicate Bank"
"Balaji Medicals","+ 91  80 41203868","#21/83, Ramachandra Arcade, South End Road, Basavanagudi, Bangalore - 560004, Near Ntt Data"
"RAGHU MEDICALS","+ 91  80 23574505","No.6/1, 1st Main Road, Mathikere, Bangalore - 560054, Opposite To Adiyar Anand Bhavan"
"Lakshmi Medical Centre And Ayu...","+ 91  80 22443509","No.283, New No.20, 17th Main, 36th Cross, Jayanagar 4th T Block, Bangalore - 560041, Near Canara Bank"
"Apollo Pharmacy","+ 91  9100023991","No. 956, 1st Cross, 5th A Main, 1st Block, Koramangala, Bangalore - 560034, Near Wipro Park"
"Manipal Clinics","","No.744, Commercial Complex, 80 Feet Road, Koramangala 4th Block, Bangalore - 560034, Near Maharaja Hotel"
"Mahaveer Medicals","+ 91  80 23315077","No.85/5, 11th Cross, Malleswaram, Bangalore - 560003, Near Canara Bank"
"M S Ramaiah Pharmacy","+ 91  80 22183057","MS Ramaiah Nagar, Mathikere, Bangalore - 560054"
"Apollo Pharmacy","+ 91  9100023991","Shop No.1, No.37, Arekere, Mico Layout Main Road, Omkar Nagar, Bannerghatta Road, Bangalore - 560076, Beside Reliance Mart"
"Janhavi Medicals","+ 91  80 23446342","No.42, 2nd Main Road, Sadashiva Nagar, Vyalikaval, Bangalore - 560003, Opposite To Rajesh Hotel"
"Medplus","+ 91  80 22957613","#33/B, no.1, P & T colony, R T Nagar, Bangalore - 560032, Opp Florence school"
"Patanjali Chikitsalaya Pharma","+ 91  80 42021045","No.12 & 13, Jalaram Industrial Area, Bannerghatta Road, Bangalore - 560076, Opposite To Reliance Mart, Arekere Gate, Next To Hotel Mastkalander"
"Medplus Pharmacy","+ 91  80 22957594","#1/2, 18th cross, Malleswaram West, Bangalore - 560055, Opposite to PU Board"
"Apollo Pharmacy","+ 91  9100023991","No.2, G116/3, 60 Feet Road, Sahakara Nagar, Bangalore - 560092, Opposite Reliance Digital"
"Medplus Pharmacy","+ 91  80 22957509","# 1177/70, 2nd Block 10th main 2nd stage, Rajajinagar, Bangalore - 560010, Near Vijaya Bank"
"MEDPLUS","+ 91  80 33292444","Shop No 1 Ground Floor, 17th E Cross 2nd Stage, Indiranagar, Bangalore - 560038, Opposite To Shiva Temple"
"Apollo Pharmacy","+ 91  9100023991","No.134, K N Complex, 11th Cross, Temple Road, Malleswaram, Bangalore - 560003"
"Apollo Pharmacy","+ 91  9100023991","No.58/6, 56/1, 49/6, Ground Floor, Shop No.3, Doddathogur, Electronic City, Bangalore - 560100, Near Patelamma Temple"
"Residency Pharmacy","+ 91  80 22292357","No.15,No.B4,Bishop Cotton Complex, Residency Road, Bangalore - 560025, Next To Bangalore Club"
"Apollo Pharmacy","+ 91  9100023991","No. 11/3, Shop No.G F-2, Ground Floor, Pentagam Complex, Mosque Road, Frazer Town, Bangalore - 560005, Next To KFC"
"Medplus","+ 91  80 22960747","No.44, 33rd Cross, 11th Main, Jayanagar 4th T Block, Bangalore - 560041, Near PAI Vijay Hall"
"Apollo Pharmacy","+ 91  9100023991","No.2, Ground Floor, Kothanur Main Road, Jp Nagar 7th Phase, Bangalore - 560078, Opposite To Brigade Millennium Traffic Signal"
"Kasi Medicals","+ 91  80 23131464","266/B, 1st N Block, Rajajinagar, Bangalore - 560010, Opp. Vidyavardaka Sangha"
"Surana Medicals","+ 91  80 25483708","No.164/10, M M Road, Cox Town, Bangalore - 560005, Near Cox Town Market"
"Manipal Cure & Care Clinic","+ 91  80 41663618","No.13/A, Wilson Garden Housing Society, Kothanur Main Road, Jp Nagar, Bangalore - 560078, Opposite To Rbi Layout 7th Phase"
"Sudhir Medicals","+ 91  80 22444382","265/B, 36th B Cross, Kanakapura Main Road, Jayanagar 7th Block, Bangalore - 560082, Near Food World"
"Med plus","+ 91  8095244090","363, 5th main, Ramamurthy Nagar, Bangalore - 560016"
"Maruti Medical & Surgicals","+ 91  80 23500029","No.1, Hampinagar, 5th Main, RPC Layout, Vijayanagar, Bangalore - 560040"
"MedPlus","+ 91  80 22960755","No 01 & 278, Vidyapeeta Circle,9 Th Main, Banashankari 3rd Stage, Bangalore - 560085, Near OM Shakthi temple"
"Manjushree Medicals","+ 91  80 23329992","No. 2941/5, 7th Main D Block 2nd STG, Rajajinagar, Bangalore - 560010, Near Navarang Theater"
"Apollo Pharmacy","+ 91  9100023991","No.119, Ground Floor, 1st Stage, 5th Cross, Indiranagar, Bangalore - 560038, Opposite To Kairali School"
"Fortis Health world chemists","+ 91  80 41107583","No 934/1/33/514/1, Bilekanahalli Road, Bannerghatta Road, Bangalore - 560076, Opposite Honda Showroom, Near Bilekahalli Bus Stop"
