"Name","Phone","Address"

"Paradise Overseas Education...","+ 91  1884 246200",""
"Varis Ielts Point","+ 91  1884 280490",""
"ACPL","+ 91  8800447899",""
"A V Career Vision Overseas ...","+ 91  9940669932",""
"Touchstone Educationals","+ 91  172 5000060",""
"Estero New Zealand Ltd","+ 91  11 25552414",""
"Emerge Education USA","+ 91  9999411991",""
"A V Immigration And Careers...","+ 91  20 41504110",""
"M K Education & Immigration...","+ 91  181 2236293",""
"Bright Future Abroad Studies","+ 91  7206671815",""
"NMC The Intellect Consultancy","+ 91  9530065111",""
"Broadway Immigration Services","+ 91  9041038410",""
"Make My Future Career Guida...","+ 91  8963897045",""
"Alpha Mary International Ad...","+ 91  471 2341111",""
"Global Consultancy","+ 91  294 2494050",""
"FUTURE CAREER","+ 91  8811005068",""
"Balaji Educational Society","+ 91  326 6555509",""
"Dronacharya Group","+ 91  9001099110",""
"Valmiki Foreign Education","+ 91  9373705454",""
"Kanasu Groups","+ 91  8884793959",""
"Rusasia Pvt. Ltd.","+ 91  657 2422216",""
