"Name","Phone","Address"

"Premier Institute","+ 91  183 6548444",""
"CAREER OVERSEAS","+ 91  183 5093252",""
"Sigma Institute of Mathematics","+ 91  9872019464",""
"VETA","+ 91  183 3221024",""
"The Toppers Academy","+ 91  9780234705",""
"Sai institute","+ 91  9814554901",""
"Global Tech Career Institute S...","+ 91  183 5062593",""
"Saraswati College","+ 91  183 2566888",""
"Aitm","+ 91  9988212412",""
"Nifa National Institute Of Fin...","+ 91  183 2566748",""
"Alpha Academy","+ 91  183 5068011",""
"Swami Satyanand College Of Mgm...","+ 91  183 5023633",""
"Arjun Academy","+ 91  9779197780",""
"Aims Global Education","+ 91  183 2542355",""
"Zeroplus Consultant Pvt Ltd","+ 91  8800447899",""
"Flying Cats","+ 91  183 2505011",""
"SIMPLUS","+ 91  183 5051996",""
"Chemiz Ins Of Education And Co...","+ 91  9815411206",""
"Institute For The Blind","+ 91  183 2555244",""
"Institute For Training Ideolog...","+ 91  9872272004",""
"B And B Institute","+ 91  9888424740",""
"SAI Educational Society","+ 91  183 2212200",""
"S G A D College","+ 91  183 2102058",""
"Ett","+ 91  183 2521953",""
"Tace Institute Of IT And Manag...","+ 91  183 2422872",""
"VK Institutes","+ 91  8872768888",""
"Bharat Computers And Education...","+ 91  1859 5014720",""
"ace school for professional st...","+ 91  9815203808",""
"Itct Education Computer","+ 91  9855660976",""
"Competition Coaching Institute...","+ 91  183 2212666",""
"Aiwwa Group Of Education","+ 91  9517600945",""
"Behl Academy Of Chemistry","+ 91  183 2229957",""
"DR Sushil Kumar","+ 91  183 2270232",""
"Perfect House Of Biology","+ 91  9815124341",""
"Government Institute Of Garmen...","+ 91  183 2421763",""
"IBC Computers","+ 91  183 5061081",""
"Creative I Technologies","+ 91  183 5060488",""
"Rds Vidyamandir","+ 91  8289091519",""
"Apex Ielts Experts","+ 91  9417703115",""
"Aryan Studies","+ 91  183 2220017",""
"Institute Of Commerce & Maths","+ 91  183 2225149",""
"Raj Group Of Education","+ 91  183 5050921",""
"Shri Krishna Institute","+ 91  7837225272",""
"NEXT GENERATION ACADEMY","+ 91  9646204356",""
"Amritsar College Of Engg & Tech","+ 91  183 2440675",""
"Real Infotech","+ 91  9417146610",""
"Emu Student Services","+ 91  183 6050004",""
"Mak Institute","+ 91  183 6555516",""
"Career Point","+ 91  183 5027528",""
"Puri Institute","+ 91  9855368746",""
"DCM Institute","+ 91  183 2275699",""
"The ICFAI University","+ 91  183 5005221",""
"Amritsar Institute Of English ...","+ 91  9216225060",""
"Scholars Study Circle","+ 91  9872657567",""
"Career Bridge Academy (Cba)","+ 91  183 5008156",""
"TES College Of Arts & Technology","+ 91  7508888080",""
"Shri Sai Academy","+ 91  183 2587843",""
"Masters Institute Of Fashion D...","+ 91  183 2500735",""
"Instituteof British And Americ...","+ 91  9876534353",""
"DARE EDUCATION GROUP","+ 91  183 5008250",""
"Nova Overseas Solution","+ 91  8195851666",""
"Govt Institute Of Textile Tech","+ 91  183 2263034",""
"Desh Bhagat Group Of Institutes","+ 91  1765 520521",""
"Global Institutes","+ 91  183 5029928",""
"Canadian Institute Of Vocation...","+ 91  183 2504466",""
"Ramiit Technologies Institute ...","+ 91  183 5057651",""
"SPS Institute","+ 91  183 2582059",""
"Fiitjee Ltd","+ 91  183 3203344",""
"OCA Education PVT LTD","+ 91  183 5079050",""
"A P Vidyamandir","+ 91  183 2211898",""
"Adarsh Institute","+ 91  9815636743",""
"Air Hostess Academy Lawrence Road","+ 91  183 5014700",""
"Ciis","+ 91  9914464153",""
"Systematic Computer Coaching C...","+ 91  9888578999",""
"STG Institute","+ 91  183 2570228",""
"Davesar College Of Sciences","+ 91  183 2275455",""
"Master Institute Of Fashion De...","+ 91  183 2500735",""
"Rohin Tuition Centre","",""
"Prism Infotech","+ 91  183 2210171",""
"Shri Guru Ram DAS Institute Of...","+ 91  183 2583388",""
"Batter Thik","+ 91  9872403151",""
"Kharbanda Academy","+ 91  9872853607",""
"ACE Axis","+ 91  183 2401900",""
"Punjab Institute Of Textile Tech","+ 91  183 2257799",""
"Amritsar Insurance Institute","+ 91  9814702582",""
"Zero Gravity Media","+ 91  183 5014730",""
"Arora College Of Mathematics","+ 91  183 2226919",""
"CKD INSTITUTE OF MANAGEMENT AN...","+ 91  183 2560148",""
"R S Computer","+ 91  183 5015246",""
"Nice Partnership Firm","+ 91  9876621663",""
"Bhasker College Of Mathematics","+ 91  183 2212454",""
"Mohan LAL Memorial Institute O...","+ 91  183 5095636",""
"D.R. Modern Sr. Sec. School & ...","+ 91  183 2258222",""
"Shri Guru Harkrishan Paramedic...","+ 91  9779322236",""
"Sareen Infotech Bharteeya V...","+ 91  183 2584238",""
"British English School Of Teac...","+ 91  183 2212105",""
"BDS Overseas","+ 91  9780202116",""
"Toris An Education Hub","+ 91  183 2228082",""
"Chugh Institute Of Chemistry","+ 91  183 2237337",""
"Elite Academy For Chemistry","+ 91  183 2501534",""
"Sterling Studies","+ 91  9815554371",""
"Forces Academy","+ 91  183 2500276",""
"Chandigarh exlence point","+ 91  9780875017",""
"Native English Planet","+ 91  183 5093123",""
"Issac Academy Of Mathematics","+ 91  183 2563175",""
"D.R.Institute","+ 91  7508034090",""
"Ajanta Institute","+ 91  183 5052899",""
"Mehra College Of Chemistry","+ 91  183 2401983",""
"WLC College India","+ 91  183 5014747",""
"RITS ( Rudhra Institute of ...","+ 91  9872863981",""
"Shokeenda Hardware & Networkin...","+ 91  183 6575099",""
"Sober Computers","+ 91  9417155855",""
"Need India Career Institute","+ 91  8437860605",""
"Career Future","+ 91  183 5019212",""
"Unique Achiever","+ 91  9417854149",""
"Fansix Technologies","+ 91  183 5005454",""
"Enn Emm Study Center","+ 91  9814683226",""
"Radical","+ 91  183 2563465",""
"Radical Institute","+ 91  183 2220708",""
"WE CAN IELTS CENTRE","+ 91  9878629807",""
"STRONG BASICS INSTITUTE","+ 91  8557063968",""
"Surya College Of Education","+ 91  9815257867",""
"Spectrum World Of Education","+ 91  9779412766",""
