"Name","Phone","Address"

"Sareen Infotech Bharteeya V...","+ 91  183 2584238",""
"RITS ( Rudhra Institute of ...","+ 91  9872863981",""
"Mata Charan Kaur College Of Pu...","+ 91  183 5060598",""
"Sood Sons","+ 91  183 2544044",""
"A S Medicose","+ 91  183 5096510",""
"S G A D College","+ 91  183 2102058",""
"Zeroplus Consultant Pvt Ltd","+ 91  8800447899",""
"Shri Sai Academy","+ 91  183 2587843",""
"Sbs Group Of Educational Insti...","+ 91  183 9878273488",""
"Shaheed Bhagat Singh Polytechn...","+ 91  1851 244618",""
"KCTs Sapkal Knowledge Hub","+ 91  253 2392450",""
"Sai Baba Consultancy","+ 91  9793059991",""
"GRD Institute Of Management...","+ 91  135 2734741",""
"Institute of Engineering & ...","+ 91  9649906019",""
"Maharaja Agrasen University","+ 91  9318029217",""
