"Name","Phone","Address"

"Badri Prasad Gopal Ji Jewel...","+ 91  522 4003023",""
"Khun Khun Ji Jewellers","+ 91  522 4102842",""
"T P Jewellers","+ 91  522 4017777",""
"Punjab Jewellers And Sons","+ 91  522 4108886",""
"Sahu Jewellers Pvt Ltd","+ 91  522 2202465",""
"SRI JAGDAMBA PEARLS AASHI...","+ 91  522 4027890",""
"Roshan Jewellers","+ 91  522 2452066",""
"Lachmi Narain Pannalal jewe...","+ 91  8896378093",""
"New Style Jewellery","+ 91  9918128211",""
"M & A Fashion","+ 91  9956851729",""
"Le Khanna Jewellers","+ 91  161 5052000",""
"Aurangabadkar Jewellers Mot...","+ 91  217 2626280",""
"Tanishq Showroom","+ 91  522 4922555",""
"Shoppers Stop","+ 91  522 4036800",""
"Tanishq Showroom","+ 91  522 4074323",""
"Big Bazaar","+ 91  522 3091317",""
"Tanishq Showroom","+ 91  522 6540139",""
"PC Jeweller Limited","+ 91  522 4109032",""
"Reliance Gems And Jewels Ltd","+ 91  522 2230965",""
"Jugal Kishore Jewellers","+ 91  522 3263383",""
"Gitanjali Jewels","+ 91  522 4043444",""
"Badri Sarraf Jewellers","+ 91  522 2329170",""
"Araceli Jewellers","+ 91  522 4045039",""
"Mohan Shyam Kalyan Das Jewellers","+ 91  522 4022495",""
"ORRA Jewellery","+ 91  522 3250036",""
"Lala Jugal Kishore (Jewellers)","+ 91  522 2380544",""
"Bhagatram Jainarain Jewellers ...","+ 91  522 3290393",""
"Gitanjali Jewels","+ 91  522 4022111",""
"Badri Jewellers","+ 91  8115555531",""
"Sahu Jewellers","+ 91  522 2202465",""
"Purshottam Dass & Sons Jewellers","+ 91  522 2624713",""
"Raj Jewellers Gomti Ngr","+ 91  9335232020",""
"Sardarji Bentex Walley","+ 91  522 4015523",""
"Puransingh Trilochansingh Jewe...","+ 91  522 2683777",""
"Mohan Shyam Kalyandas Jewellers","+ 91  522 2227271",""
"Agarwal Jewellers","+ 91  522 2611365",""
"Senco Gold","+ 91  522 4017614",""
"Lallu Lal Jugal Kishore Jewellers","+ 91  522 2333702",""
"Kashinath Seth Jewellers","+ 91  522 4004530",""
"Badri Prasad Vishwanath Jewels","+ 91  522 2337023",""
"Lala raj kishore jewellers","+ 91  522 3045887",""
"Rajas Jewellers","+ 91  522 4044622",""
"Khun Khun Ji","+ 91  522 2346488",""
"B K Saraf Jewellers","+ 91  522 3254849",""
"Gitanjali Jewellery Retail Ltd.","+ 91  9415436632",""
"Badri Prasad Kedar Nath","+ 91  522 3916425",""
"Jugal Kishore Jewellers","+ 91  9453568540",""
"Rahul Jewellers","+ 91  9335910960",""
"Jewel Palace","2627139",""
"Prakash Jewellers","+ 91  9415663719",""
"D Divas","+ 91  522 6591155",""
"Aishpra Jewellers Boutique","+ 91  8687686556",""
"Tara Jewels Ltd","+ 91  522 4072424",""
"Aashi Jewellers & Jagdamba Pearls","+ 91  522 2349639",""
"Kays Jewels","+ 91  522 2362599",""
"Jain Jewellers Khatri Mkt","+ 91  522 2255648",""
"Sona Chandi","+ 91  522 2620956",""
"Lallu Lal Jugal Kishore Jewellers","+ 91  522 2613817",""
"Gitanjali Jewels","+ 91  522 4049111",""
"Shri Laxmi Narayan Jewellers","+ 91  9336931166",""
"Badri Narayan Laxmi Narayan Je...","+ 91  522 2627162",""
"Brijwasi Sharaf","+ 91  522 2213419",""
"Zaveri Jewellers & Bankers","+ 91  9335225959",""
"Jewel Palace","+ 91  522 2386894",""
"Zewar The Jewellery House","+ 91  522 2341007",""
"Agarwal Jewels & Gems Pvt Ltd","+ 91  522 2352565",""
"Prakash Jewellers Gomti Ngr","+ 91  522 2393477",""
"Puran Singh Trilochan Singh Je...","+ 91  522 2331999",""
"Munna LAL Jewellers","+ 91  522 3916713",""
"Bharwani Jewellers","+ 91  522 2329995",""
"Badri Prasad Kedar Nath Saraf","+ 91  522 2450425",""
"BADRI SARRAF KAUSHAL KISHOR J...","+ 91  522 4035344",""
"G C Diamond & Gold Enterprises","+ 91  9839185169",""
"Verma Jewellers & Sons","+ 91  9415183360",""
"Shri Khun Khun Jewellers","+ 91  522 3236222",""
"Lachmi Narain Panna LAL Jewellers","+ 91  522 2254810",""
"Hariprasad Gopikrishna Jewelle...","+ 91  522 4113316",""
"Jewellers Munna","+ 91  9839046644",""
"Gehna Palace","+ 91  9415108039",""
"Gopal Jewellers","+ 91  522 2481170",""
"D Divas","+ 91  522 4012038",""
"Mehtabchand Aggarwal Jewellers","+ 91  9939456854",""
"Govindram Jewellers","+ 91  9935169189",""
"Raj Jewellers lko pvt ltd","+ 91  522 2214084",""
"Bharwani Jewellers","+ 91  522 2285292",""
"Chandrani Pearls","+ 91  522 6535307",""
"Art Centre","+ 91  522 3933537",""
"Aabhushan Kendra","+ 91  522 3510821",""
"Sardarji Bentex Walley","+ 91  522 4021453",""
"Shri Ji Jewellers","+ 91  9415177712",""
"Badri Prasad Mahavir Jewellers","+ 91  9453441447",""
"Alaska Info-Tech Marketing PVT...","+ 91  9389788885",""
"Gitanjali Jewellers","+ 91  9506824831",""
"Damas","+ 91  522 3018830",""
"Radha Rani Jewellers","+ 91  522 3050494",""
"Ramji Jewellers","+ 91  9415177719",""
"India Jewellers Ltd","+ 91  522 2612234",""
"Aqsa Jewellers","+ 91  522 2615327",""
"Sudama Jewellers","+ 91  9838566027",""
"Purushotam Das Ghanshyam Das J...","+ 91  522 2256136",""
"Punjab Jewellers","+ 91  522 2224529",""
"Lala Kashinath Seth Jewellers","+ 91  522 2222718",""
"Jugal Kishore Jewellers & Bankers","+ 91  522 2614430",""
"Shyam Jewellers","+ 91  9651983341",""
"Lala Jugal Kishore(Jewellers)","+ 91  522 2624077",""
"Hanuman Jewellers","+ 91  9335187170",""
"Agrawal Jewellers","+ 91  522 2211365",""
"L Jugal Kishore & Sons Jewellers","+ 91  522 2224077",""
"Sunder Shyam Giriraj Dharam Je...","+ 91  522 2626157",""
"Mohan Shyam Kalyan Jewellers &...","+ 91  522 2627271",""
"Sahu Jewellers","+ 91  522 2626120",""
"Badri Prasad Kedarnath Prasad","+ 91  9415102609",""
"Mehtab Chand Agarwal Jewellers","+ 91  522 3042637",""
"Shri Ram Kishore & Sons","+ 91  522 2458280",""
"Lachmi Narain Pannalal Jewellers","+ 91  522 4000061",""
"SIA Art Jewellery","+ 91  522 4047299",""
"Mahalaxmi Jewellers","+ 91  522 2255704",""
"Atul jewar ghar jewellers","+ 91  9935374337",""
"Muskan Bentex Jewellery","+ 91  9450643244",""
"Shree J P Jewellers","+ 91  522 4022395",""
"anil kumar jwellery","+ 91  8090504080",""
"Agrawal Jewel & Gems","+ 91  9628665511",""
"Bhagwan Jewellers","+ 91  522 2453526",""
"Bhoop Narayan Pawan Kumar Sarraf","+ 91  522 2451122",""
"Aryan Jewellers","+ 91  522 2562999",""
"Badri Prasad & Jewellers","+ 91  522 2385554",""
"Sri Badri Saraf - Singar Nagar...","+ 91  522 4043313",""
"24 Ct Jewels Ltd","+ 91  522 3950329",""
"Kritendra Exports Ltd","+ 91  522 2265018",""
