"Name","Phone","Address"

"Heena Artificial Jewellery & B...","+ 91  9815652316","Una Rd ,Chungi Rd, Hoshiarpur - 146001, Nr Fitness Club, Bahadurpur"
"Heena Boutique & Parlour","+ 91  9780664858","Dagana Road, Model Town, Hoshiarpur - 146001"
"Royal Look Beauty Parlour","+ 91  9814930638","Near Swarn Complex Main Bazaar Urmar, Tanda, Hoshiarpur - 144203, Opposite State Bank of India"
"Jasmeen Beauty Parlour","+ 91  9876256568","Kotfathui, Hoshiarpur - 144519, Near Bus Stand, Chandla Market, Kot Fatuhi"
"Femina Beauty Parlour","+ 91  1882 242188","Railway Rd, Hoshiarpur - 146001"
"Perfect Lady Boutique & Beauty...","+ 91  9463070657","Shop No 6 1st Flr, Hoshiarpur - 146001, Heera Mkt , Saila Khurd"
"Royal Beauty Parlour","+ 91  1882 235862","Committee Bazar Road,, Hoshiarpur - 146001"
"Kirti Beauty Parlour","+ 91  9915169956","Hoshiarpur - 146001, Kashmiri Bazar"
"Laxmi Beauty Parlour And Train...","+ 91  9465972918","Gali No 1,, Dashmesh Nagar, Dagana Road,, Hoshiarpur - 146001"
"Aman Gift House & Beauty Parlour","+ 91  1882 222315","Kotwali Bazar Road,, Hoshiarpur - 146001"
"Red Rose Beauty Parlour","+ 91  1882 225141","Vasant Vihar,, Hoshiarpur - 146001"
"Anilas AVON Beauty Parlour","+ 91  1882 228350","Katcha Toba Market,, Hoshiarpur - 146001"
"Monalisa Beauty Parlour","+ 91  1882 222567","Government College Road,, Hoshiarpur - 146001"
"Fame Beauty Parlour","+ 91  1882 230818","Kotwali Bazar,, Hoshiarpur - 146001"
"Nitin Boutique & Beauty Parlour","+ 91  7696841126","Sutehri Road, Hoshiarpur - 146001"
"Thakurs Payal Beauty Parlour","+ 91  9041900247","Bal Krishan Road, Hoshiarpur - 146001"
"Divya Beauty Parlour","+ 91  7696209748","Jalandhar Road, Hoshiarpur - 146001"
"Mehak Beauty Parlour","+ 91  1882 256361","Street No-21, Hoshiarpur - 146001, Opposit Govt. College,Kamalpur"
"Shabnum Beauty Parlour","+ 91  9872438434","Bassi Rd, Hoshiarpur - 146001, Chabbewal"
"Nice Boutique Beauty Parlour","+ 91  1882 224835","Fatehgarh Road, Hoshiarpur - 146001"
"Poonam Beauty Parlour","+ 91  9780365194","Fatehgarh Rd, Hoshiarpur - 146001, Nr Gurudwara"
"chahat beauty parlour","+ 91  9463674620","gautam nagar, street no. 10 shalimar nagar una road hoshiarpur, Hoshiarpur - 146001, india"
"Chandigarh Beauty Parlour & Bo...","+ 91  9417475762","Phagwara Rd, Purhiran, Hoshiarpur - 146111, Nr Dr.gill"
"Navi Beauty Parlour & Training...","+ 91  9780834339","Phagwara Rd, Mahilpur, Hoshiarpur - 146105, Ajit Mkt"
"Shina Beauty Parlour & Trainin...","+ 91  9592493942","Shahidan Rd, Mahilpur, Hoshiarpur - 146105, Mahilpur"
"Payal Beauty Parlour","+ 91  8528429633","Mahilpur, Hoshiarpur - 146105, Old Sabzi Mandi Nr R K Studio Wali Gali"
"Aman Beauty Parlour","+ 91  9646753313","Ahiyapur Rd, Urmar, Hoshiarpur - 144204, Garhi Mohalla"
"Sun Shine Beauty Parlour","+ 91  9463144040","Tanda, Hoshiarpur - 144204, Near Sub Tehsil"
"Sunita Beauty Parlour","+ 91  9592718502","G T Road, Khudda, Hoshiarpur - 144305"
