"Name","Phone","Address"

"Twinkle tyre house","+ 91  9888525395","Sh no 1, Jahaj ghar market, Amritsar - 143001, Ram talai"
"Quickfit Tyre Co","+ 91  183 2500022",""
"Green Tyres","+ 91  9876371030",""
"BUNTY AUTO WORKS","+ 91  7837009841","canal office majitha house, Rani Ka Bagh, Amritsar - 143001, Near Rani ka bagh"
"National tyre","+ 91  9914545781","Sh no 1 a, Jahaj garh, Amritsar - 143001, Ram talai g . t road"
"Khurana Motors","+ 91  183 2228103",""
"K D Tyre Shopee","+ 91  7508811313","Shop Number 3-10, Batala Road, Krishna Square, Amritsar - 143001, Near Celebration Mall"
"Vishal Tyre House","+ 91  9041151515",""
"Raju tyre house","+ 91  8054664808","Sh no 86, Jahaj garh, Amritsar - 143001, G. T road"
"Harsh Tyres","+ 91  183 5182518",""
"NATIONAL AUTOS","+ 91  9779880002","Hall Bazaar, Hall Bazar, Amritsar - 143001, Opp. Giani Dhaba"
"Shankar Tyre","+ 91  9988877707",""
"Guru Nanak Tyres","+ 91  9876644394","Shop No 10,12, OUTSIDE HALL GATE, Amritsar - 143001, Opp. Sagar Hotel"
"Apollo Tyres Ltd","+ 91  183 6451263",""
"Guru Nanak motor garage","+ 91  9988648238",""
"Romy Autos","+ 91  183 3952878","Opp Bank Of Baroda, Partap Nagar, Amritsar - 143001, Gt Road"
"Satguru tyre house","+ 91  9888285890","Sh no 48 a, New kabari market, Amritsar - 143001, Ram talai"
"Chahal Tyre World Pvt Ltd","+ 91  183 2702081",""
"Speed king tyres","+ 91  9815340440",""
"Arora tyre works","+ 91  9878681261","Shop no : 19, Krishna Square, Amritsar - 143001, Opp Vidya Bhawan school"
"Suresh Tyre Wala","+ 91  9888238594","Shop Number 71, G T Road, Amritsar - 143001, Ram Lalai Mandir, Jhahgarh, Kabari Market"
"Guru Ramdass Alignment And Whe...","+ 91  9855740201",""
"Punj Automobiles","+ 91  183 2541630",""
"Arora lubricants","+ 91  9878703243","44 s.c.f, Transport nagar, Amritsar - 143001, G.t.road"
"Baba Deep Singh Tyre House","+ 91  9803132128","Shop no,154, RAM TALAI ,JAHAi GARH, Amritsar - 143001, GT ROAD"
"Prakash Tyre World","+ 91  9814682929",""
"Satjot Wheel Care","+ 91  9872857499","Vijay Nagar , Main Batala Road, Amritsar - 143001, Near HDFC Bank"
