"Name","Phone","Address"

"SATKARTAR ENRERPRISES","+ 91  183 3093766","9-B, O/s Hall gate, Amritsar - 143001, Near Bhandari Bridge"
"Sachdeva tyre","+ 91  9217844514","GT road, Amritsar - 143001, Near bus stand"
"BUNTY AUTO WORKS","+ 91  7837009841","canal office majitha house, Rani Ka Bagh, Amritsar - 143001, Near Rani ka bagh"
"GURU RAM DAS MOTOR STORE","+ 91  8146752699","hall gate amritsar, Hall Bazar, Amritsar - 143001, TARKONI MARKET"
"K D Tyre Shopee","+ 91  7508811313","Shop Number 3-10, Batala Road, Krishna Square, Amritsar - 143001, Near Celebration Mall"
"K S TYRE","+ 91  9780779984","Shop no 19-20, Tyre market, Amritsar - 143001, Mahan singh gate"
"Jasbir tyre house","+ 91  9988083985","Shop no 21, Tyre market, Amritsar Bus Stand, Amritsar - 143001, Opp.idh market"
"Gurbachan Tyre Works","+ 91  9988678251","Shop No 24-25-26, Mahan singh gate, Amritsar Bus Stand, Amritsar - 143001, Opp.idh market"
"Tinku Tyre House","+ 91  9814175696","Shop 10, Mahan singh gate, Amritsar Bus Stand, Amritsar - 143001, Bus stand road"
"L K Tyres & Tubes","+ 91  183 5005551","Amritsar - 143001, Industrial Complex"
"Yamha Sharma Brother","+ 91  9888548736","Oustside Hall Gate, Amritsar - 143001, Opposite Hotel Revoli"
"Satkartar Enterprises","+ 91  8437767367","9- B, Link plaza market, Hall Bazar, Amritsar - 143001, Sarai sant ram, o/s hall gate"
"Dhawan Tyer Store","+ 91  183 2556181","Opp.petrol Pump Goal Bagh, Amritsar - 143001, goal"
"Bombay Tyre Center","+ 91  183 2234846","Sop No- 15, Bhai Kanhyia Market, Amritsar - 143001, Near Tehsil , G.T Road"
"RAGHU TYRE HOUSE","+ 91  9417014957","SHOP NO c-6,c-7, opposite IDH market, Amritsar Bus Stand, Amritsar - 143001"
"SHAM TYRE HOUSE","+ 91  9914369701","SHOP NO 31-32, OLD TYRE MARKET, Amritsar Bus Stand, Amritsar - 143001, MAHAN SINGH GATE"
"Green Tyres","+ 91  9876371030","Shop No 27, 28, Mahan Singh Gate, Amritsar - 143001, Tyre Market"
"NATIONAL AUTOS","+ 91  9779880002","Hall Bazaar, Hall Bazar, Amritsar - 143001, Opp. Giani Dhaba"
"Bhullar rim style","+ 91  8557840471","Bypass, Mjitha Verka highway, Amritsar - 143001, Near dharam kanda"
"City Car Center","+ 91  9988425257","Shop No 6 Mission Shop, Court Road, Amritsar Cantt, Amritsar - 143001, Opp.Uco bank"
"National tyre","+ 91  9988774880","Shop no 10 A, Court road, Amritsar - 143001, Omega tower"
"Khurana Motors","+ 91  9888213327","15, Court Road, Amritsar - 143001, Near Uco bank"
"G S Cycle Store","+ 91  9643225436","Shop no:, Railway Station, Amritsar - 143001, Cycle Market"
"Doaba Trading Company","+ 91  9872609933","Shop no 5, Amritsar - 143001, OPP. HOTEL SHEHNAZ"
"Apollo Tyres Ltd","+ 91  183 6451263","Shop Number-122, Amritsar Bus Stand, Amritsar - 143001, Jahajgarh ,Near Truck Stand Scheme"
"Speed king tyres","+ 91  9815340440","SHOP NO 29, RAM TALAI MARKET, Amritsar - 143001, near ram talai"
"City Care CEntre","+ 91  183 2565285","6,Mission SHop, Court Road, Amritsar - 143001, Main market"
"guru Nanak Tyre","+ 91  8054887669","SHOP Number-10, near gandhi market, Amritsar - 143001, sanjay Gandhi Market, Out Side Hall Gate, Bandari Bazar"
"Guru Nanak Tyres","+ 91  9876644394","Shop No 10,12, OUTSIDE HALL GATE, Amritsar - 143001, Opp. Sagar Hotel"
"Satjot Wheel Care","+ 91  9872857499","Vijay Nagar , Main Batala Road, Amritsar - 143001, Near HDFC Bank"
"ARORA TYRES","+ 91  9815479501","Main road, Railway ROAD, Amritsar - 143002, Opp RAILWAY STATION"
"G D MOTORS","+ 91  9646429125","Kabir park market, Amritsar - 143001, Opp.sandhu colony"
"Gurbindra Tyre House","+ 91  1851 272295","Khem Karan Road, Bhikhiwind, Amritsar - 143303"
"Kashmir tyre","+ 91  7837699413","Baba phulla singh market, Amritsar Bus Stand, Amritsar - 143001, Opp.shera wala gate"
"Gupta tractor parts","+ 91  9815947609","Sh no 89, Kabari market jahaj garh, Amritsar - 143001, G . T road"
"Raju tyre house","+ 91  8054664808","Sh no 86, Jahaj garh, Amritsar - 143001, G. T road"
"Arora tyre works","+ 91  9878681261","Shop no : 19, Krishna Square, Amritsar - 143001, Opp Vidya Bhawan school"
"arora tyre","+ 91  7508394762","shop no 139/7, citycentre, Amritsar Bus Stand, Amritsar - 143001, nr guru nanak bhawan"
