"Name","Phone","Address"

"bachan Exclusive","+ 91  183 2402068","Shop no 105, lawrence Road, Amritsar - 143001, opposite Nehru Shopping Complex"
"BEAUTY CORNER","+ 91  183 2222432","Lawrence road, Lawrence Road, Amritsar - 143001, Opposite sbi bank"
"Looks India","+ 91  183 5007907","Sh No. 93-94, I.D.H Market, Amritsar Bus Stand, Amritsar - 143001, Bus Stand"
"Arora beauty corner","+ 91  9803540796","Main bazaar, cemetry road, Amritsar - 143001, putlighar chownk"
"R.K BROTHERS","+ 91  183 2211671","8, Queens Road, Amritsar - 143001, Near Obc bank"
"Saveen cosmetics","+ 91  9988408585","Shop no : 11, Amritsar - 143001, Tehsilpura"
"Parbhat Jewellers","+ 91  9988855439","51c rani ka bagh modl town, Amritsar - 143001, mear mata ka mandir"
"parbhat jewellers","+ 91  8427100394","rani ka bagh, Amritsar - 143001, near rani ka bag"
"Make Up Centre","+ 91  7837531408","Shop no. 13, Lawrence road, Amritsar - 143001, Opp Nehru shopping complex"
"A-One Cosmetics","+ 91  9646466420","Lawrence Road, White Avenue, Amritsar - 143001, Near Nehru Shopping Complex"
"Satnam cosmetics","+ 91  7508162368","lawrence road, Lawrence Road, Amritsar - 143001, opp.Nehru shopping complex"
"CHAWLA GIFT","+ 91  8591955511","Gail number 2, MODEL TOWN, Amritsar - 143001, NEAR RANI KA BAGH"
"Cosmetica Centre","+ 91  183 2564279","Lawrence Road, Amritsar - 143001, Opposite Vodafone"
"Shingar","+ 91  9417980900","Lawrence road, Navi sarak, Lawrence Road, Amritsar - 143001, Near sanjha chulha"
"Manish cosmetic & garment store","+ 91  7837459703","Main bazar, Sunder nagar, Amritsar - 143001, Near railway lines"
"Jain corner","+ 91  9876531697","Shop no B,12, Green avenue market, Amritsar - 143001, Near indian overseas bank"
"modern bazar","+ 91  9814494452","shop no 23A, lawrence road, Lawrence Road, Amritsar - 143001, near nagi diamond jewellers"
"Prince corner","+ 91  9815061516","katra jaimal chowk,, Hall Bazar, Amritsar - 143001, Near Amrit talkies"
"Gee Gee Fancy Emporium","+ 91  183 5006244","Outside Karmon Gali, Katra Jaimal Singh, Amritsar - 143006, Near Telephone Exchange, Telephone Exchange Chowk"
"Tilak Di Hatti","+ 91  8528664980","shop no 15 C, New I.D.H market, Amritsar - 143001, near Bus stand"
"Arora novelty house","+ 91  9915882794","Shop no 26, I.dh market, Amritsar Bus Stand, Amritsar - 143001, Near bus stand"
"Shanti Di Hatti","+ 91  183 2544821","Shop No 49, Amritsar - 143001, Idh Market, Near Bus Stand"
"Beautico shopee","+ 91  183 2276040","188, Gt Road, Amritsar - 143001, shiwala mandir"
"WALK IN FOR","+ 91  9888460145","shop no 16, a block Ranjit Avenue, Ranjit Avenue, Amritsar - 143001, Opposite Tracer Showroom"
"jmd vijay cosmetics","+ 91  183 2562499","Shop no. 2601, Shimla Market,putlighar, Putligarh, Amritsar - 143001, Near Ashoka Cloth House"
"Mahajan Supplier","+ 91  9888875169","House 2460, Majitha Road,Gali No1, Amritsar - 143001, Near Papa High School"
"Shiva cosmetics","+ 91  9815455223","Raja house building, Nirankari building FGC road, Amritsar - 143001, Fategarh Churian road"
"Data General Store","+ 91  8427318840","Nawan kot road, Nawankot, Amritsar - 143001, Near Bularia Kothi"
"Arora General store","+ 91  9815318507","Chowk Chabutra, Amritsar - 143001, Soni health club"
"Gurnam General Store","+ 91  8558981095","1, putlighar main bazar, Putligarh, Amritsar - 143002, oppsite durg bhawani bakery"
"Monalisa Corner","+ 91  9855442905","Shop no. 1, Basant Avenue Market, Basant Avenue, Amritsar - 143001, Near Ajanta Public School, Basant Avenue"
"Tamanna cosmetics and beauty s...","","Main bazar, Putlighar main bazar, Amritsar - 143001, Cemetry road"
"Mahajan cosmetics &jewel centre","+ 91  8054552264","495,Basant Nagar, Mall Road, Joshi Nagar, Amritsar - 143001, Near sehaj enclave"
"Mahajan cosmetic & jewellery c...","+ 91  8566002264","Sh no 495, Basant nagar, Amritsar - 143001, Nr. Mahajan departmental store"
"Dabur enterprises","+ 91  183 5010301","Sh no 3, Celebration mall, Amritsar - 143001, Batala road"
"tilak gernal store","+ 91  9855782086","putlighar cemetry rd, Amritsar - 143001, near pipli sahib gurdwara"
"THE BEAUTY PARADISE","+ 91  9888466142","chownk putlighar GT ROAD, Amritsar - 143001, ad joining raju confectionary"
"Shri Radhey best price","+ 91  7508586107","Shop no. 8, Street no. 1 Pawan nagar, Amritsar - 143001, Behind celebration mall"
"Kawaljeet singh general store","+ 91  9888082622","new Market, Putligarh, Amritsar, gt road, Putligarh, Amritsar - 143002, Near pipli sahib gurdware"
"Muskan gift corner","+ 91  9888209808","Main bazar, sunder nagar, Amritsar - 143001, Nr. Durga mata mandir"
"Ashoka general store","+ 91  9888482282","plot no 10, Shakti nagar chowk, Shakti Nagar, Amritsar - 143006, Opp park"
"GURUKIRPA COSMETIC","+ 91  7837319696","shimla market gali no1, Amritsar - 143001, putlighar"
"ASHOKA GERNAL STORE","+ 91  9780714389","shimla market gali no1, Amritsar Kutchery, Amritsar - 143001, putlighar"
"DEEPAK GENERAL STORE","+ 91  8054288269","shop no. 2, Gopal nagar,majitha road, Amritsar - 143001, Near gopal mandir"
"FANCY ARTIFICIAL JEWELLERY","+ 91  9988019983","shop no5 chownk islamabad, Amritsar - 143001, opp ragunath mandir"
"Misheeta Cosmetics","+ 91  9876985076","shop no. 4, Bhawani nagar, Amritsar - 143001, Near Gurudwara Sahib"
"Jain store","+ 91  183 2423792","Na, Majitha road, Amritsar - 143001, Near dumble 88"
"kASHISH BEAUTY CORNER","+ 91  9464439820","Na, Ggopal mandir road, Amritsar - 143001, nR Gopal mandir"
"Honey Fashion Zone","+ 91  7307960001","Shop no. 2, Dilawari Street,putlighar, Amritsar - 143001, Opposite Asr. Gas agency"
"COLOURS GERNAL STORE","+ 91  7837619671","islamabad, Amritsar - 143001, near thana"
"Sandeep trading co.","+ 91  9855303898","Katra khazana chowk, Amritsar - 143001, Near mahajan hospital"
"U Like Corner","+ 91  9988016987","Shop Number- 69, Golden cloth market, Sultant Wind Gate, Amritsar - 143006, Sultanwind gate"
