"Name","Phone","Address"

"R S Holidays","+ 91  9888854151",""
"Azad Travels","+ 91  9814817474",""
"Route Tour & Travels","+ 91  183 5012788",""
"Dean Travel","+ 91  9653989848",""
"Delhi Travels","+ 91  9417867694",""
"One Way Car","+ 91  9464493347",""
"bon voyage tours & travel","+ 91  9592355055",""
"Happy Tour & Travels","+ 91  8196060389",""
"Aarav Tour & Travels","+ 91  8968829475",""
"Chhena Nagina Taxi Stand","+ 91  9914044344",""
"Bhinder Tour And Travels Amritsar","+ 91  9646098999",""
