"Name","Phone","Address"

"Gold Spot Limca Distributors","+ 91  183 2225749","Aanam Cinema,,"
"Golds Gym","+ 91  9988885251","35-B, Aventura Mall, The Mall, Amritsar - 143001"
"Gold Star Tour & Travels","+ 91  183 2227568","Shop No-3, Railway Road, Amritsar - 143001, Opposite Grand Hotel, Near Railway Station"
"GOLD AUTO ELECTRIC WORKS","+ 91  183 2228587","SHOP NO 89, QUEENS ROAD, Amritsar - 143001, OPP GRAND HOTEL"
"Gold Antik Jewellery","+ 91  8283090433","151, 4th Floor, Gali Panditan, Amritsar - 143001, Panj Peer Market, Backside Jasmal Saree House"
"Gold Supreme Electronics","+ 91  183 5095657","Amritsar - 143001"
"Gold unisex salon","+ 91  9988905903","Backside Sadar Thana, Macleod road, Amritsar - 143001, Wisdom classes"
"Gold Smith","+ 91  183 2552373","Shastri Market, Amritsar, Shastri Nagar, Amritsar - 143001"
"Gold Palace Jewellers","+ 91  183 2540088","Shop Number- 197/11, Golden Temple, Amritsar - 143006, Near Darshan Deori Chowk, Guru Bazar"
"Gold Star Traders","+ 91  9888878249","17-C,New I D H Market,Near Bus Stand, Amritsar - 143001"
"Gold Lights Gallery","+ 91  183 3291676","1-A, Ground Floor Complex, G T Road, Amritsar - 143001, Near Tara Wall Pull"
"Gold shine jewellers","+ 91  183 2485983","Shop no 12, Ajit nagar chowk, Amritsar - 143001, Near kalra hospital,sultanwind road"
"Gold pure bala ji","+ 91  9915321133","shop no 1, gali no 9 guru nanak pura, Amritsar - 143001"
"Gold Star Knitting Engineering","+ 91  183 2586745","339, Mehta Road, Amritsar - 143002, Focal Point"
"Gold & Silver Ornaments","+ 91  9888658610","shop no. 3, ram rakha market, Amritsar - 143002, Near golden temple"
"Gold Star Polymers","+ 91  183 2583753","Plot Number 279, Amritsar - 143001, Old Focal Point Near Water Tank"
"Gold Ornament House","+ 91  183 2558935","Patel Chowk Market, Doonga Shivala Bz, Attari, Amritsar - 143108, Chourishti"
"Pandit Ram Avtar Jyotishi G...","+ 91  9872037099","54 D, Number 3 Mata Ke Mandir Wali Gali G T Road, Model Town, Amritsar - 143002, Near Royal Enfield Agency"
"IIFL Gold Loan Finance Ltd","+ 91  183 2210007","First Floor, G T Road, AMRITSAR - 143001, Opposite Ganga Building, Putli Ghar"
"Sai gold india","+ 91  183 5050109","Sco 122, B block ranjit avenue, Amritsar - 143001, Opp. Improvement trust"
"Gitanjali Jewels Gold & Precious","+ 91  183 2224466","C/O The Mall, Shop No-4,LG Eminent Mall, Amritsar - 143001"
"IIFL Gold Loan","+ 91  183 2211255","111, Jewel Plaza, First Floor, Lawrence Road, Amritsar - 143001, Opp Ritu Wears"
"IIFL Gold Loan","+ 91  183 2500563","Sco 22, 1st Flr, Ranjeet Avenue, Amritsar - 143002"
"honey distributor aircel","+ 91  183 5057276","honey telecom, Jandiala Guru, Amritsar - 143115, Government school of girls"
"Creative Spot","+ 91  183 2212096","M M Malviya Road, Amritsar - 143001"
"Sita Ram Gold Smith","+ 91  183 2211795","Cementry Road, Putligarh, Amritsar - 143002"
"mOBILE SPOT","+ 91  8146720027","shop no 9 F F,NEHRU shopping complex, nehru shopping complex, Lawrence Road, Amritsar - 143001, near Novelty"
"Allen gold","+ 91  9872306957","Shop no 1, Lawrence plaza market, Lawrence Road, Amritsar - 143001, Near Pizza Hut"
"Shemrock Gold","+ 91  9463323746","D 162, Ranjit Avenue, Amritsar - 143001"
"fashion Spot","+ 91  9915100535","shop No 409, Lawrence road, Lawrence Road, Amritsar - 143001, near ritu wear"
"Marry Gold Hotel","+ 91  183 2225842","72-73 Railway Link Road ,Amritsar, 143001 , ,Civil Albert Road-,"
"Sb Gold Fabrics","+ 91  9501691119","Plot No. 1209, New Bharat Nagar, Gali Joharian Kothi, Batala Road, Amritsar - 143001"
"Shree Arjuna Gold Palace","+ 91  183 2558100","25-30, Shree Chamunda Complex, Bazar Tokrian, Amritsar - 143001"
"Vestige distributor","+ 91  9888476195","Shop no :3, Amritsar - 143001, Majitha road"
"Shre Arjuna Gold Price","+ 91  183 6538194","25-30, Shree Chamunda Complex, Amritsar - 143001, Bazar Tokerian"
"Somaay Pharmaceuticals & Distr...","+ 91  183 5053997","Shop No. 3, B.D. Market, Kucha Dai Khana,, Amritsar - 143001, Katra Sher Singh"
"sourav distributor","+ 91  9915819467","lal chowk, Amritsar - 143001, gurdwara"
"G S Distributors","+ 91  183 2533611","64-A, Amritsar - 143001, Katra Moti Ram,Inside Hatthi Gate"
"sayaji gold refining shop","+ 91  183 2530338","1st floor,amritsar plaza market, Guru Bazar, Amritsar - 143006, guru bazaar"
"Radhika Pharma Distributors","+ 91  183 2210213","379, Gali Number-2, Amritsar - 143001, Model Town Near Amandeep Hospital"
"Distributor In Amritsar","+ 91  183 5056254","C/O. K K Pharmaceuticals , B-14, Navi Gali, Katra Sher Singh, Amritsar - 143006, Katra Sher Singh, Hall Bazar"
"James Gold & Diamond World","+ 91  7837414435","386, Amritsar - 143001, Green Avenue, Near Bhai Veer Singh"
"Nagesh Deokar Gold Polishing","+ 91  183 2550771","Shop Number 1711, Amritsar Bus Stand, Amritsar - 143001, Haveli Jamadar. Guru Bazaar"
"Ahuja Book Distributor","+ 91  9463828264","Opp HDFC Bank Hall Bazar, Hall Bazar, Amritsar - 143001"
"IIFL Gold Loan","+ 91  9781117751","First Floor, RS Tower, Amritsar - 143001, Above HDFC Bank, Hall Bazar"
"S Gold Smith","+ 91  183 2548940","152,Rabinder Nath Buldg,Vijay Market Guru Bazar,2nd Floor Amritsar, Guru Bazar, Amritsar - 143006"
"Future Spot","+ 91  9878693725","Amritsar - 143001"
"Maharaja Gold Capsul","+ 91  9417047904","Amritsar - 143001"
"Ashwani Kumar Gold Ornament Mfrs","+ 91  183 5098255","Amritsar - 143001, Pushpa Wati Mkt,Patel Chowk"
"R N Silver & Gold Ornaments","+ 91  183 2556519","Amritsar - 143001, Bzr Kaserian"
"Solution Spot","+ 91  183 2586455","4166, 5th Lane , Kot Baba Deep Singh, Amritsar, Amritsar - 143001"
"Good Luck Distributors","+ 91  183 2291517","1811/12, Amritsar - 143001, Chowk Baba Sahib, Opposite Bhappi Di Hatti"
"Jashan Hot Spot","+ 91  9463469350","14, Tirth Nagar, Amritsar, Amritsar - 143001"
"Nice Gold Jewellery","+ 91  183 5006828","7, Azad Nagar, Amritsar - 143001, Azad Ngr Mkt"
"Modicare products distributor","+ 91  9888168405","Kala Mala chownk, Amritsar - 143001, Majitha road"
"beauty spot","+ 91  9803710767","back side of akem dhaba, Amritsar - 143001, airport road"
"Morri Gold Jeweller","+ 91  183 2544877","Nogi Mansion Ist Flr S-2,, Bazar Kesrian Wala, AMRITSAR - 143006"
"Sahni And Sahni Pharma Distrib...","","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Creative Spot","+ 91  183 5019096","G-388, Queens Rd, Amritsar - 143002, Bh Popular Bakery, Asr"
"National Book Distributors","+ 91  183 2213948","House Number - 856, Jawahar Lane, Amritsar - 143002, Bara Makaan, Near Desh Bhagat Gas Agency, Islamabad"
"Satyam Distributors","+ 91  183 2547666","397/1, SAI Sadan, Amritsar - 143002, Sabharwal Mkt, Hall Bazar"
"assam Gold company","+ 91  9872030195","krishan confsery, Amritsar - 143002, near amristar market"
"Malkit Singh Gold Sale Purchase","+ 91  183 2490229","Shop No.9, Green Market, Tali Wala Chowk, Sultanwind Road, Amritsar - 143002"
"sb gold fabric","+ 91  9872765734","plot no 1209 gali bank of india walia, new bharat nagar batala rd amrt, Amritsar - 143002"
"Bombay Gold Testing Lab","+ 91  7508887676","Gali No-4, Amritsar - 143002, Chowk Tahil Wala, Near Barsati Nala"
"Harnam Pharmacy Distributors","+ 91  183 2546309","B D Market, Kucha Dal Khan, Amritsar - 143002"
"HERBALIFE INDEPENDENT DISTRIBUTOR","+ 91  9592756050","Healthy Living, Pawan Nagar Chownk, Amritsar - 143002, Near Celebration Mall"
"Sanvi Gold Creation","+ 91  9988858889","Shop No -2, Shiv Shankar Markit, Near Golden Temple, Guru Bazar, Amritsar - 143006, Patel Chowk"
"Creative Spot","+ 91  183 6573096","8-A Queen Road, Amritsar - 143006"
"Nagesh Deokar Gold Refinery","+ 91  183 2550771","Amritsar - 143006, Guru Bazar, Near Haveli Jamadar Dass"
"Ishtaa Gold Jewellery Private ...","+ 91  9311112212","1st Floor Of 6ff,Ranjit Avenue, A Block, Raja Sansi, AMRITSAR - 143101, Amritsar"
"Sai Gold Diamonds Jewellers","+ 91  9779404041","advance education 1 majitha ,opp. ENT Hospital, 0, Majitha, Amritsar - 143601, opp ent hospital"
"Raju gold","+ 91  9517400006","tarn tran road, Bundala, Amritsar - 143413, Focal point, village bandala, jiydala"
"Joshan Gold Star Electronics","+ 91  9872525697","Mehta Road,, 15km , fatehpur rajputan, Fatehpur Rajputan, Amritsar - 143113, Opp. Bus Stand"
"Tarun Kumar Gold MA","+ 91  183 2292039","Shopno 14,3rd Floor,Shiv Shakti Bha, Patel Chowk, Attari, Amritsar - 143108, Nr Charasti"
"White Gold Filling Station Ksk","+ 91  9814353069","Majitha Road Wadala Bhooma, Warah, Amritsar - 143409"
"Chahal Paint Store & Distributor","+ 91  9803188752","Main Adda, Butala, Amritsar - 143203, Opp. HDFC Bank"
"A B D Publisher S Distributors","+ 91  183 2546478","Hall Bazar,"
