"Name","Phone","Address"

"Prof Tarsem Mahajans Height...","+ 91  1882 241242",""
"Aashadeep group of education","+ 91  1883 249171",""
"LPU Distance Education Centre","+ 91  1884 500130",""
"AISECT Computer Education","+ 91  1882 245300",""
"W D Professional Carrer Devlop...","+ 91  1882 294145",""
"Regional Institutes","+ 91  1882 252313",""
"Postnaukri Services Pvt Ltd","+ 91  836 2252252",""
"Sai Baba Consultancy","+ 91  9793059991",""
"Sanjivani Education","+ 91  9214343661",""
"Center For Life Long Learni...","+ 91  253 2317786",""
