"Name","Phone","Address"

"Bangalore Metropolitan Transpo...","+ 91  80 22952422","Shanthinagar, Bangalore - 560027"
"Bangalore Metropolitan Transpo...","+ 91  7760991269","Bangalore International Airport, Devanahalli, Bangalore - 562110"
"The Employment Exchange","+ 91  80 22261184","2nd Floor, Asiatic Building, Kempegowda Road, Bangalore - 560009, Near Janata Bazaar, Opposite To Alankar Plaza"
"Food & Civil Supplies Corporat...","+ 91  80 26613531","BBMP Compound, NR Colony, Bangalore - 560019, Near Government Maternity Hospital"
"Bangalore Metro Transport Corp...","+ 91  80 22952311","Kempegowda Road, Bangalore - 560009"
"Bangalore Metropolitan Transpo...","+ 91  80 22952321","Shivajinagar Bus Stop, Shivaji Nagar, Bangalore - 560051"
"Food & Civil Supplies Corporat...","","1st Floor, Mahveer Complex, Gandhi Nagar, Bangalore - 560009, Near To Mysore Bank, Opp To Old Taluk Office"
"Food & Civil Supplies Corporat...","+ 91  80 23153259","1st Floor, West Wing, Sahakari Building, 3rd Block, Rajajinagar, Bangalore - 560010"
"Food & Civil Supplies Corporat...","+ 91  80 25360750","No.3, Corporation Building, St Johns Road, Bangalore - 560042, Near Rbanms School"
"Bangalore Metropolitan Transpo...","+ 91  80 22952355","4th Floor Ttmc, Yeshwanthpur, Bangalore - 560022, Near Yeshwanthpur Circle"
"Food & Civil Supplies Corporat...","+ 91  80 23332550","No.101, Bellary Road, Ganganagar, Bangalore - 560032, Near HMT Bhavan"
"Foremen Training Institute","+ 91  80 23371209","Outer Ring Road, FTI Circle, Yeshwanthpur, Bangalore - 560022, Off Tumkur Road"
"Food & Civil Supplies Corporat...","+ 91  80 23445702","No. 3, 11th C Cross, Vyalikaval, Bangalore - 560003, Near Police Station"
"Government Ayurvedic Medical C...","+ 91  80 22872848","Dhanvantri Road, Gandhi Nagar, Bangalore - 560009"
"Government Tool Room & Trainin...","+ 91  80 23152262","Rajajinagar Industrial Estate, Bangalore - 560010"
"Bangalore Metropolitan Transpo...","","Depo.12, Kengeri, Bangalore - 560060"
"Bangalore Metropolitan Transpo...","+ 91  80 22952111","No.11, Puttenahalli, Yelahanka, Bangalore - 560064"
"Government First Grade College","+ 91  80 23302141","No.601, 7th Cross, 3rd Main, 2nd Stage, Rpc Layout, Vijayanagar, Bangalore - 560040"
"Karnataka Food & Civil Supplie...","+ 91  80 22260932","No. 16, Miller Tank Bed Area, Vasanth Nagar, Bangalore - 560001, Opposite Devaraj Urs Bhavan"
"Government Pre University College","+ 91  80 23360445","18th Cross, Malleswaram, Bangalore - 560003"
"Government Veterinary Hospital","","Queens Road Circle, Queens Road, Bangalore - 560001, Near To Bus Stop"
"Government Printing Press","+ 91  80 28483133","Mysore Road, Kengeri, Bangalore - 560060, Next To Ganesha Temple, Near Bangalore University"
"Bangalore Metropolitan Transpo...","+ 91  80 22952183","18th Depot, Whitefield, Bangalore - 560066, Opposite Vydevi Hospital"
"Government ITI College","+ 91  80 26562307","Hosur Road, Bangalore - 560029"
