"Name","Phone","Address"

"Phoneix Institute Of Education","+ 91  9417744448","Jalandhar Road, Hoshiarpur - 146001"
"Vlcc Institute Of Beauty & ...","+ 91  1882 247077","shop No.1/2,Basement of City Centre, Hoshiarpur - 146001"
"NIFS Institute Of Fire Engi...","+ 91  1882 520100","First Floor Puri Tower, Phagwara Road, Hoshiarpur - 146001, Near Govt College Chownk"
"Unique Aura Institute Of Be...","+ 91  7589178146","Ground Floor, Heer Market Hoshiarpur Road, Mahilpur, Hoshiarpur - 146105, Opposite Bus Stand"
"G R D International Institu...","+ 91  1886 226707","Jaja Chowk Tanda Urmar Tehsil Dasuya, Urmar, Hoshiarpur - 144204"
"Sri Guru Nanak Institute Of Mo...","+ 91  7814003330","Railway Road, Prem Garh, Hoshiarpur - 146001, Near Lajpat Rai School"
"D A V College Of Education","+ 91  1882 222016","Arya Samaj Road, Hoshiarpur - 146001"
"Institute Of Professional Skil...","+ 91  1882 242447","Hoshiarpur - 146001, Gandhi Chowk, Bahadur Pur"
"Omega Institute Of Banking Tra...","+ 91  8198099339","Near Bus Stand Chowk, Opp Vishal Mega Mart, Hoshiarpur - 146001"
"ELS INSTITUTE OF LEARNING","+ 91  9417350789","SHARMA MANSION, # 8 WARD NO 16, Hoshiarpur - 146001, BEHIND OLD FORT NEW FATEHGARH"
