"Name","Phone","Address"

"Mudit Medicals","+ 91  522 2303614","Shop No No 1/116,Devapalace,Viram Khand, Gomti Nagar, Lucknow - 226010, Near Malik Timber Chauraha"
"Chawla Medical Store","+ 91  522 2454852","Alambagh Chauraha, Talkatora Road, Alambagh, Lucknow - 226005, Near Shubhash Sweet House"
"New V P Anand & Son","+ 91  522 4001099","Number 51, Mandir Road, Aminabad, Lucknow - 226018, Near Prakash Kulfi Aminabad Park"
"Ssb Medicare Pvt Ltd","+ 91  522 4011122","2, Ugf, FI Shopping Complex, 37 Cantt Road, Cantt Road, Lucknow - 226001, Near Balinton Chauraha"
"Ajay Medical Hall","+ 91  522 2335302","Shop No-4, Kursi Road, Aliganj, Lucknow - 226024, Opposite Mishra Petrol Pump"
"KGN Health Care","+ 91  7234891829","Shop-no-14 Sadafal Complex, Sector-i, Aashiyana, Lucknow - 226012, Near Pakhari Pull"
"Jai Sai Medical & Surgical","+ 91  9621658888","Lgf-10 Eldeco Shopee, Gomti Nagar, Lucknow - 226002, Near- Ram Manoher Lohia Hospital"
"Vansh Medical Hall Dr. Lal ...","+ 91  522 4103852","Vijay Sri Cresent, U.G.F-5. Viraj Khand, Gomti Nagar, Lucknow - 226010, Near Haniman Crossing"
"Life Line Medicines","+ 91  8176999939","Eldeco Highway Plaza, Rai Bareli Road, Sgpgi Campus, Lucknow - 226014, Opposite Op Chaudhry Hospital"
"Tandon Medical","+ 91  522 2333966","9/17 Opp Dixit Diagnostic Centre, Vikas Nagar, Lucknow - 226022, Vikash Nagar Moad"
"Aditya Medical Store","+ 91  9721471202","Shop Number 3, Adil Nagar Road, Vikas Nagar, Lucknow - 226022, Near SVP Inter College"
"Sachdeva Medical Stores","+ 91  9415425996","Shop No - 21/22, Niralanagar Market, Nirala Nagar, Lucknow - 226020, Near IT Chauraha"
"Relief Medicare Pharmacy","+ 91  522 4015588","B1/42, Sector L, Aliganj, Lucknow - 226002, Near Mama Chauraha"
"Medicinehub.Com","+ 91  9599901959","B-1, Sec-E, Puraniya Chauraha, Aliganj, Lucknow - 226024"
"DEV MEDICALS","+ 91  7054845521","Shop no. 1, SECTOR K, Aashiyana, Lucknow - 226012, NEAR Aashiyana thana"
"Ananya medical centre","+ 91  8948088881","arjunganj, sultanpur road, Arjunganj, Lucknow - 226002, near shaheed path"
"Sagar Agency","+ 91  9044474325","216,Ground Floor, In Shopping Square-2, Sultanpur Road, Sushant Golf City, Lucknow - 226030"
"Shakun Medical Store","+ 91  522 2336222","M-10, Mahanagar, Lucknow - 226006, Near Gole Market"
"Sachdeva Medical Stores","+ 91  522 2787238","Shop No-21 & 22, Nirala Nagar, Lucknow - 226020, Nirala Nagar Market, Near IT College Chauraha"
"Shiv Medicals & Travels E Booking","+ 91  9935495668","47-C-Shop-1, Shyam Plaza, Kanpur Road, Alambagh, Lucknow - 226005, Near Gook Bakery"
"Apollo Pharmacy","+ 91  9100023991","Shop Number- 525 K A/ V-151, Plot Number- 8, Mandir Marg, Mahanagar, Lucknow - 226006, Infront Of Saroj Nursing Home, Mahanagar Extension Scheme"
"Apollo Pharmacy","+ 91  9100023991",""
"KHALSA CHEMIST STORE","+ 91  522 4063985","43, crossing, Kaisarbagh, Lucknow - 226001, Opp. ABC CHASMEWALE"
"Krishna Medical Centre","+ 91  9415577930","449, Cantt Road, Lucknow - 226001, Purana Quila"
"Chandan Pharmacy","+ 91  9919001854","Tcv-68, Gomti Nagar, Lucknow - 226010, Opposite Rmlh, Vibhuti Khand"
"SHAGUN MEDICAL SHOP","+ 91  9936474608","B-3, FAIZABAD ROAD, Indira Nagar, Lucknow - 226016, NEAR LEKHRAJ KHAJANA"
"Lata Enterprise","+ 91  522 2614589","113/10, aminabad park, Aminabad, Lucknow - 226018, Medicine Wholesale Market"
"Ginni Medicals","+ 91  7800016000","Shop No 4/288, Vivek Khand, Patrakarpuram, Gomti Nagar, Lucknow - 226010, Opposite Ford Hospital"
"Awadh Medical","+ 91  9305016764","Shop no 3, Talkatora road, Alambagh, Lucknow - 226005, Alambagh chauraha"
"Premier Medical Store","+ 91  522 4005849","Shop Number - 2 & 3, Nishatganj, Lucknow - 226006, Near Kala Kanker House, Old Haiderabad"
"Om Pharma","+ 91  522 2239078","Radha Krishan Bhawan, 5 Park Road, Hazratganj, Lucknow - 226001, Opposite Civil Hospital"
"Mamta Medical Store","+ 91  522 2352321","Shop Number- 8, Indira Nagar, Lucknow - 226016, Bhootnath Market"
"SITA MEDICALS","+ 91  9565588348","SHOP NUNBER 5, FAIZABAD ROAD, Chinhat, Lucknow - 226028, OPP. BBD UNIVERSITY"
"New laxman chemist","+ 91  8052999962","Shop no -12 c, Puran nagar dhal, Alambagh, Lucknow - 226005, Near Deys medico"
"Shiv shakti medical","+ 91  9580468656","Sharda nagar, Rajni Khand, Lucknow - 226002, Near by sharda nagar"
"LOHIYA PHARMACY","+ 91  9120493744","SHOP NI-UGF-5, VIBHUTI KHAND, Gomti Nagar, Lucknow - 226010, OPP.LOHIYA HOSPITAL"
"Chandan Pharmacy","+ 91  9235447804","Vibhuti Khand, Gomti Nagar, Lucknow - 226001"
"Khalsa Medical","+ 91  522 2668453","6, Saraswati Puram, Lucknow - 226025, Diamond Point,Nr Sgpgi"
"MANJU MEDICAL STORE","+ 91  522 4105834","Vijay khand 34, MITHAI WALA CHURAHA, Vijay Khand-Gomti Nagar, Lucknow - 226010, Near bridge"
"Power House Medicines","+ 91  522 2424230","CP--one, Kanpur Road,Sector G, Aashiyana, Lucknow - 226012, Power House Chauraha"
"Bhasin Medical store","+ 91  522 2768484","Vikasnagar road, Vikas Nagar, Lucknow - 226022, Near Thana"
"Sunder medical store","+ 91  8858124624","Raibareily road, Rai Bareli Rd, Lucknow - 226014, Near pgi"
"Lucknow Drug Assocaites","+ 91  9415109091","21, ground Floor, King Medicine Complex, Aminabad, Lucknow - 226018, near hanuman mandir"
"Priti Medical Store","+ 91  8687598475","Shop no 3, tiloi Bhawan, Kaisarbagh, Lucknow - 226001, Opp kesarbagh Kotwali"
"Kama Medicals","+ 91  522 2325558","27, Kapoorthala Rd, Aliganj, Lucknow - 226002, Chandralok Colony"
"Bhandari Pharma","+ 91  522 2297203","113/9, Parsi Shah Lane, Aminabad, Lucknow - 226018"
"Shiv Medicals","+ 91  9415596054","26, Arif Chamber 3, Aliganj, Lucknow - 226024, Opp HDFC BANK"
"GEETA MEDICAL HOLL","+ 91  9005680748","L..HF 6,11,12 K.D.T PLAZA, RING ROAD, Aliganj, Lucknow - 226024, RAM RAM BANK CHAURAHA"
"Guardian Pharmacy","+ 91  522 2746015","Aliganj, Lucknow - 226006"
"Baba Ram DEV Pharmacy","+ 91  7668985858","Shop No-3-4, Amika Aracde, Faizabad Road, Lucknow - 226010, Near Milan Gues House"
"Sai Sanjivani Medical Store","+ 91  8576050491","Shop no 1 UGF, Rai Bareli Road, Lucknow - 226002, Near infania Apartment"
"Patrakarpuram Medicals.","+ 91  9415339807","Shop Number-4/288 Vivek khand ., Patrakarpuram ., Gomti Nagar, Lucknow - 226010, Opposite nova hospital"
"Shakun","+ 91  9335025313","M-14b gole market, Mahanagar, Lucknow - 226006, Gole market"
"SHASHI MEDICALS","+ 91  522 4105445","585 A, Sector I, Aashiyana, Lucknow - 226012, Opp. Khazana Complex"
"Santosh Medical Store","+ 91  522 2395798","Lower Ground Floor-4, Arohi Plaza, Gomti Nagar, Lucknow - 226010, Nera Patkaar Puram Crossing, Nagaratkaar"
"Garg Medicos","+ 91  522 4024835","shop jo.9-A, Hivalak road, Sarojini Naidu Marg, Hazratganj, Lucknow - 226001, Near Yojana BhawaN"
"Om pharma","+ 91  9651575640","5 krishnabhawan, Park road, Hazratganj, Lucknow - 226001, Near civil hospital"
"Dawaghar Dot Com","+ 91  522 2239180","G-101-A Radha Krishna Bhawan, Park Road, Hazratganj, Lucknow - 226001, Opposite Civil Hospital"
"Oudh cocogem & provision stores","+ 91  522 2625382","1, Vidhan Sabha marg, Hazratganj, Lucknow - 226001, Near GPO"
"Sanjay Medical Store","+ 91  522 2387459","Lucknow - 226001, Shivani Mkt"
"Galaxy Medical Store","+ 91  522 3949142","Subhash Chandra Bose Complex, Aminabad, Lucknow - 226018, Near Tulsi DAS Marg"
"Mangal Medicals","+ 91  522 2781461","Nishatgunj, Lucknow - 226006, New Hyderabad"
"New Life Medicals","+ 91  9335649157","Nadan Mahal Road, Lucknow - 226004"
"Paramount Chemists","+ 91  522 2789786","A-8/A, it chauraha, Nirala Nagar, Lucknow - 226020, Opposite Vivekanand Poly Clinic"
"B N Medicals","+ 91  9696342489","Shop Number 9, Shahmina Road, Chowk, Lucknow - 226003, Opposite Dental Collage,Near King George Medical Collage"
"General Medicals","+ 91  522 2255906","Shahmeena Road, Chowk, Lucknow - 226003, Kgmu Crossing"
"NIRALA MEDICAL STORE","+ 91  522 2789512","D 115, nirala nagar chowrah no. 8, Nirala Nagar, Lucknow - 226020, Near Chouraha Number 8"
"BHATIA MEDICAL STORE","+ 91  7800800008","10 shop no, Kapoorthala Road, Kapoorthala, Lucknow - 226024, near medline hospital"
"Modern Medical Store","+ 91  9336173486","Shop Number G 1, Chowk, Lucknow - 226003, Akbari Gate Crossing, Near ERA Medical Center, Opposite J&K Bank"
"Kamdhenu Medical Store","+ 91  9335515732","27, Kapoorthala Road, Aliganj, Lucknow - 226024, Chandralok Colony"
"Saral Medical Store","+ 91  522 2455593","Kanpur Road, Alambagh, Lucknow - 226005, Opposite Prakash Bartan Store, Ram Nagar"
"Deys Medical Store Ltd","+ 91  522 2456323","C-61, Alambagh, Lucknow - 226005, Singar Ngr"
"HiGlance Pharmacy","+ 91  522 4043827","K- 714A, Kanpur Road, Aashiyana, Lucknow - 226012, Aashiyana Chauraha"
"Shanti Raj Medicals","+ 91  522 2461085","Awadh Hospital And Heart Centre, Alambagh, Lucknow - 226005, Near Icici bank"
"Aparna Medicals","+ 91  9919332288","Shop no 5, Seth & Sahi complex, Rai bareli road, Telibagh, Lucknow - 226025, Opp. Vrindavan colony"
"Abhinav medicals","+ 91  8858130254","SHOP NO 2/23 GAYTRI PALACE, VINAY KHAND, Gomti Nagar, Lucknow - 226010, HUSARIYA CHOURAHA"
"Mattei Drugs And Pharmaceuticals","+ 91  9336076001","16/29, Kanpur, Lucknow - 226002"
"Modern Medical Hall","+ 91  522 2762392","Ugf-2815, Ashirwad Plaza, Sector-A, Aliganj, Lucknow - 226024, Ram-Ram Chauraha"
"Hind Medical Store","+ 91  9839278286","Hardoi Road, Lucknow - 226003, Andhe Ki Chowki"
"Medicine House","+ 91  7408774041","Shop No-41,Eldeco Highway Plaza, Raibareli Road, Sgpgi Campus, Lucknow - 226014, Near Sardar Patel Dental College,South City"
"GREEN BERRY healthcare India ...","+ 91  9026766665","C.p. 3/2 vastu khand, Vijayant khand, Gomti Nagar, Lucknow - 226010, Opp. Uday tower kathauta chauraha"
"Shyama Medical & Surgical","+ 91  522 2268986","RAE Bareli Road, Sgpgi Campus, Lucknow - 226014, Near Subham Complex"
"Shakun Medical Store","+ 91  522 2668049","8/3, Narayan Lodge, Sgpgi Campus, Lucknow - 226014, Near Narayan Lodge"
"Shiv Biomedical","+ 91  9648511380","C-5 Diamond Point, Raebareli Road, Rai Bareli Rd, Lucknow - 226014, Near Pgi"
