"Name","Phone","Address"

"Vijeta wine","+ 91  9988086770","New rialto chowk, Amritsar - 143001, Opp post office"
"Vijeta Beverages Pvt. Ltd.","+ 91  9914226370","Pink Plaza Market, Amritsar, Court Road, Amritsar - 143001"
"OMN SONS","+ 91  7837004585","Opp.railway station, Amritsar - 143001, Near goal bagh taxi stand"
"English Wine & Bear Shop","+ 91  9778234445","100 Ft Road, Katra Sher Singh, Amritsar - 143006"
"Wine Shop","","Court Road, Amritsar Kutchery, Amritsar - 143001, Opposite Chaman Bar"
"Om Sons & Brothers","+ 91  9915606579","Shop No- 2, Lawrence Road, Lawrence Road, Amritsar - 143001, Opposite Jassi Saloon"
"Gagan wine shop","+ 91  9876457146","Mannawala, Amritsar - 143001, G.T. Road"
"Arvinder Singh and co.","+ 91  9779643454","Mehak, Mannawala, Amritsar - 143001, Near hospital"
"VIJETA BEVERAGES","+ 91  9915218669","C - block, Ranjit Avenue, Amritsar - 143001, Ranjit avenue"
"Liqur hub","+ 91  183 2563488","B block market, Ranjit Avenue, Amritsar - 143001, Ranjit avenue"
"om sons marketing pvt ltd","+ 91  9023576634","Meenu market, Lawrence Road, Amritsar - 143002, Opp raja chicken"
"Barrel select","+ 91  9872378119","Queens road, Amritsar - 143002, Opp obc bank"
