"Name","Phone","Address"

"Sahi International Motors","+ 91  80 33532146",""
"Four Doors","+ 91  80 33722541",""
"Lakshmi Hyundai","+ 91  8884499031",""
"Prestige Car Care","+ 91  80 33531927",""
"Road Rescue India Pvt Ltd","+ 91  9731806137",""
"SGR Motors","+ 91  80 33058919",""
"Auto Crate","+ 91  80 33092306",""
"Sri Manjunatha Automobile W...","+ 91  80 33673008",""
"N Z Motors","+ 91  80 33292523",""
"Alfa Automotive Performance...","+ 91  80 33057132",""
"Fusion Motors","+ 91  80 33094599",""
"Chandana Motors","+ 91  80 33724576",""
"Mahindra First Choice Services","+ 91  80 33092293",""
"JAYANTH AUTOMOTIVE","+ 91  80 33511432",""
"Sun Motors","+ 91  80 33083353",""
"Gajan Motors","+ 91  80 33530455",""
"Om Sri Satya Sai Automotive","+ 91  80 33090983",""
"shreya multi cars service c...","+ 91  80 33090181",""
"Lucky life Metro","+ 91  80 33091681",""
"J L Service Centre","+ 91  80 33619515",""
"VAIBHAVI AUTOMOBILES","+ 91  80 33082416",""
"Limra Car Decor","+ 91  80 33532426",""
"South Motors","+ 91  80 33054278",""
"Car Medics","+ 91  80 33293091",""
"Octane Automotive","+ 91  80 42032974",""
"M S Delux Wheel Alignment","+ 91  80 33082703",""
"Rescue Car Zone","+ 91  80 39828192",""
"Arman Motors","+ 91  80 30119017",""
"SLV Motors Car Workshop","+ 91  80 33491490",""
"Paramount Auto Care","+ 91  80 33568561",""
"Sri Maruthi Automobiles And...","+ 91  80 33080229",""
"Car Smile","+ 91  80 33538895",""
"Om Durga Shakthi Auto Garage","+ 91  80 33057533",""
"JK Car Clinic","+ 91  80 33642007",""
"Lotus Motors","+ 91  80 33059886",""
"R A Car Care","+ 91  8553909991",""
"XTREME PRO CARS","+ 91  80 39558329",""
"Om Sri Satya Sai Automotive","+ 91  80 33092299",""
"Carmozo","+ 91  80 33293159",""
"Cars And Bikes Spa Chrishel","+ 91  80 33568900",""
"Bosch Car Services","+ 91  80 33563433",""
"Drive Smart Motors","+ 91  80 33562511",""
"Drwheelz","+ 91  7795891113",""
"Technokraft Multibrand Car ...","+ 91  80 33640406",""
"Nithiya Motors","+ 91  80 33092300",""
"Pride Cars","+ 91  80 33056038",""
"Autotronics Car Care","+ 91  9902983786",""
"Vijay Motors","+ 91  80 33532168",""
"S R Motors","+ 91  80 33083148",""
"Bosch Car Service Ultimate ...","+ 91  80 65355511",""
"Maxam Motors","+ 91  80 33532096",""
"Ali Garage 24/7","+ 91  80 33530658",""
"Jai Maruthi Mutli Car Garage","+ 91  80 33569187",""
"Auto Vision","+ 91  80 33644884",""
"Vinyaka Auto Works","+ 91  80 30119354",""
"RMS Car Wash","+ 91  80 33792512",""
"Fast Wheels Bosch Car Servi...","+ 91  80 39558242",""
"Pristine Express","+ 91  80 33081981",""
"Tuners Automobiles","+ 91  80 33056601",""
"SLV Motors","+ 91  80 33910947",""
"Sri Sai Service","+ 91  80 33539869",""
"United Cars","+ 91  80 33912250",""
"Bangalore Car Garage","+ 91  80 33511074",""
"Bosch Car Service S K Karzo...","+ 91  80 33566050",""
"Sri Sai Motors","+ 91  80 33912162",""
"Bosch Car Service","+ 91  80 33082816",""
"Bangalore Car Care","+ 91  80 33090859",""
"J K Motors","+ 91  80 33294488",""
"Lumas Auto Garage","+ 91  80 33081769",""
"Ultimate Carz","+ 91  80 33059280",""
"Om SAI Motors","+ 91  80 33055719",""
"U M Cars Pvt Ltd","+ 91  80 33674933",""
"Lakshman Auto Garage","+ 91  80 33511978",""
"Rose Auto Garage","+ 91  80 33674047",""
"R Southern Motors","+ 91  80 33910467",""
"Joe Motors","+ 91  80 33092426",""
"HSR Auto Electricals","+ 91  80 33511783",""
"Star Noble Graphix","+ 91  80 33530018",""
"T Alwin Auto Garage","+ 91  80 33640097",""
"Perfect Motors","+ 91  80 33090525",""
"New Karnataka Motors","+ 91  80 33293494",""
"Maruthi Motors","+ 91  80 33792553",""
"The Car Spa","+ 91  80 65726780",""
"Vishnu Motors","+ 91  80 33056417",""
"Swastikaa Motors","+ 91  80 30625417",""
"N K Motors","+ 91  80 33568484",""
"Ahmed Auto Garage","+ 91  80 33059191",""
"RNS Motors Limited","+ 91  80 33052060",""
"Ravindu Motors Pvt Ltd","+ 91  80 39626071",""
"Whitefield Motors Pvt Ltd (Ser...","+ 91  80 28541710",""
"Maruti Suzuki (Customer Care)","18001800180",""
"Hyundai Motor India (Customer ...","1800114645",""
"Aadya Motors","+ 91  80 33092417",""
"Bimal Nexa","+ 91  80 33643227",""
"Tata Motors Ltd (Customer Care)","18002097979",""
"Mandovi Motors Pvt Ltd","+ 91  80 41536171",""
"Blue Hyundai","+ 91  80 33092349",""
"Metro Ford","+ 91  80 25320388",""
"Cauvery Motors Private Limited","+ 91  80 33293538",""
"Advaith Hyundai","+ 91  80 22976121",""
