"Name","Phone","Address"

"Jagdambay Jewellers","+ 91  1883 286040","Old Bank Road, Dasuya, Hoshiarpur - 144205"
"Jagdambay Jewellers","+ 91  9357922100","No11/9, Jyoti Chowk, Hoshiarpur - 146001, Near Mani Hotel"
"Jagdambay Silk Store","+ 91  9915081081","Talwada Road, Hajipur, Hoshiarpur - 144221, Near Post Office"
"Jagdambay Telecom","+ 91  9815259065","Hoshiarpur - 146001, Bazar Vakilan, Infront Of Telephone Exchange"
"Jagdambay Jewels","+ 91  9888705105","G. T. Road, Jalandhar- 144 001, Hoshiarpur - 146001"
"Jagdambay Mobile World","+ 91  9501790050","Shop No. 15, Hoshiarpur - 146001, Bus Stand Tanda"
"Jagdambay Rice & Gen. Mills","+ 91  1882 260067","Vill-Chak Kalal, Hoshiarpur - 146001, Bangamandi,Banga"
"JAGDAMBAY GARMENTS","+ 91  9814232566","Main bazaar, bahadhurpur Road, Hoshiarpur - 146001, committee Bazar"
"Jagdambay Traders","+ 91  9463853811","Talwara Road, Balachaur, Hoshiarpur - 144521, Opposite State Bank Of Patiala"
"Ramesh Jewellers","+ 91  1883 285204","Talab Road, Dasuya, Hoshiarpur - 144205"
"Hari Om Jewellers","+ 91  9814500166","Old Bank Road, Dasuya, Hoshiarpur - 144205"
"PADAM SHREE JEWELLERS","+ 91  1883 285355","Dasuya, Hoshiarpur - 144205, Library chowk"
"Vikas Jewellers","+ 91  1883 285266","Old Bank Road, Dasuya, Hoshiarpur - 144205"
"Gogna Jewellers","+ 91  1883 287098","Dasuya, Hoshiarpur - 144205, Nr. Bus Stand"
"Verma Jewellers","+ 91  1883 285330","Old Bank Road, Dasuya, Hoshiarpur - 144205"
"Aar Kay Jewellers","+ 91  9814455660","Old Bank Road, Dasuya, Hoshiarpur - 144205"
"Karwal Jewellers","+ 91  1882 288128","Library Chowk Dasuya, Dasuya, Hoshiarpur - 144205"
"Bobby Jewellers","+ 91  1882 286810","Main Bazar Dasuya, Dasuya, HOSHIARPUR - 144205"
"Rana Jewellers","+ 91  1882 285243","Main Bazardasuya, Dasuya, HOSHIARPUR - 144205"
"Fancy Jewellers","+ 91  1883 502799","Mukerian, Hoshiarpur - 144211, Main Bazar"
"Vijay Jewellers","+ 91  1883 247864","Shop No 7, Mukerian, Hoshiarpur - 144211, Main Bzr"
"ARV Jewellers","+ 91  9464036404","Mukerian, Hoshiarpur - 144211"
"Sharma Jewellers","+ 91  9878253416","Opp Jagira Pakore Wala Nr Goal Mkt, Mukerian, HOSHIARPUR - 144211, Mukerian"
"Kaka Jewellers","+ 91  1883 245701","Mukerian, Hoshiarpur - 144211, Nr Do Nalka Chowk"
"Raja Jewellers","+ 91  1883 244188","Thana Road, Mukerian, Hoshiarpur - 144211"
"Gogna Jewellers","+ 91  9417517601","Urmar, Hoshiarpur - 144204, Main Bazar, Tanda"
"SHIV SHAKTI JEWELLERS","+ 91  1883 245999","Thana Road, Mukerian, Hoshiarpur - 144211, Main Bus Stand Mukerian"
"Raja Jewellers","+ 91  1886 500943","Tanda, Hoshiarpur - 144204, Main Bazaar, Gandhi Chowk,"
"sabbi jewellers","+ 91  9465065865","main bazer, mukerian, Mukerian, Hoshiarpur - 144211"
"Sehdev jewellers","+ 91  9872943651","Talwara Township, Hoshiarpur - 144216"
"Bagga Jewellers","+ 91  9855571008","D C M Chownk, Main Bazar, Hariana, HOSHIARPUR - 144208"
"Lord Krishna Jewellers","+ 91  9872749044","Main Bazar, Bulhowal, Hoshiarpur - 146113, Near Telephone Exchange"
"Bhagwati Jewellers","+ 91  9041787161","Kashmiri Bazar, Hoshiarpur - 146001, Near Hanuman Mandir"
"Jain Jewellers","+ 91  1882 223005","Hoshiarpur - 146001"
"Verma Jewellers","+ 91  1882 250788","Hoshiarpur - 146001, Adda Kot Fatuhi"
"Gaurav Jewellers","+ 91  1882 290388","Hoshiarpur - 146001, Bassi Khawahu, Near Peer Mandi Shah"
"Gulshan Jewellers","+ 91  1882 225221","Sheesh Mahal Bazar, Hoshiarpur - 146001"
"Vinod Jewellers","+ 91  1882 230211","Sheesh Mahal Bazar, Near Dabbi Bazar, Hoshiarpur - 146001"
"Paul Jewellers","+ 91  1882 252107","St No-4, Hoshiarpur - 146001, Bassi Khwaju, Peer Maddi Shah"
"Vishal Jewellers","+ 91  1882 227153","Nearr Sarafan Bazar,, Kesrian Bazar, HOSHIARPUR - 146001"
"New Lovely Jewellers","+ 91  1882 220440","Hoshiarpur - 146001, Kotwali Bzr"
"Lucky Jewellers","+ 91  1882 232410","Sarajan Chowk, Hoshiarpur - 146001"
"Gogna Jewellers","+ 91  9815118785","Hoshiarpur - 146001, New Chandla Market, Adda Kot Fatuhi"
"Shammi Jewellers","+ 91  1882 232242","Sarafan Bazar, Hoshiarpur - 146001"
"Rajiv Jewellers","+ 91  1882 232892","Sheesh Mahal Bazar, Near Durga Mandir, Hoshiarpur - 146001"
"New Jaura Jewellers","+ 91  1882 509556","Hoshiarpur - 146001"
"Lamba Jewellers","+ 91  9417458252","Hoshiarpur - 146001, Bassi Khawaju, Hoshiarpur"
"Ankur Jewellers","+ 91  1882 243009","Kaserian Bazar,, Near Sarafan Bazar,, Hoshiarpur - 146001"
"NAV Rattan Jewellers","+ 91  1882 232524","Gauran Gate, Hoshiarpur, Hoshiarpur - 146001"
"Vijay Jewellers","+ 91  9888326067","Hoshiarpur - 146001, Shish Mehal Bazar, Marwaha Mohlla, Near Shiv Mandir"
"Abhshekh Jewellers","+ 91  1882 242243","Sarafan Bazar, Hoshiarpur - 146001"
"Mohan Jewellers","+ 91  1882 234120","Sheesh Mahal Bazar, Opposite Sunehri Masjid, Hoshiarpur - 146001"
"Nagarwal Jewellers","+ 91  9417531162","Hoshiarpur - 146001, Peer Mandi Shah , Bassi Khawaju"
"Atam Jewellers","+ 91  1882 232512","Sarafan Bazar, HOSHIARPUR - 146001"
"Ganpati Jewellers","+ 91  1882 227863","Sheeshmehal Bazar, Hoshiarpur - 146001"
"Punjab Jewellers","+ 91  1882 224954","Kashmiri Bazar, Hoshiarpur - 146001"
"Sethi Jewellers","+ 91  1882 234573","Sarafan Bazar, Near Lamber Di Hatti, Hoshiarpur - 146001"
"Shree Durga Jewellers","+ 91  1882 226065","Sheesh Mahal Bazar, Hoshiarpur - 146001"
"Vijay Jewellers","+ 91  9464015485","Kandhla Jattan Road, Hoshiarpur - 146001, Adda Saran"
"Deep Jewellers","+ 91  1882 231395","Partap Bazar, Hoshiarpur - 146001, Near Hanuman Mandir"
"Shakti Jewellers","+ 91  9815234501","Shamcaurasi, Post Office Road, Hoshiarpur - 146001"
"Mahavir Jewellers","+ 91  1882 220996","Khara Khooh, Partap Chowk, Hoshiarpur - 146001"
"Shagun Jewellers","+ 91  1882 247776","Chownk Surajan, Hoshiarpur, Hoshiarpur - 146001"
"Jagdamba Jewellers","+ 91  1882 231523","Sheesh Mahal Bazar, Hoshiarpur - 146001"
"American Jewellers","+ 91  9465667521","Kashmiri Bazar ,Partap Gali,Nr Hanuman Mandir, HOSHIARPUR - 146001, Hoshiarpur"
"Mehta Jewellers","+ 91  1882 244943","Hoshiarpur - 146001"
"Kapoor Jewellers","+ 91  1882 282608","Hoshiarpur - 146001"
"S Kumar Jewellers","+ 91  1882 228176","Hoshiarpur - 146001, Kashmiri Bzr"
