"Name","Phone","Address"

"Smt Paarvati Devi Hospital","+ 91  183 5096601","A Block, Ranjit Avenue, Amritsar - 143001, Opposite Red Cross Bhawan And Adjoing A Block Market"
"Hartej Hospital","+ 91  183 2503613","A 290-292, Ranjeet Avenue Block A, Amritsar - 143001"
"Randhawa Hospital","+ 91  183 2226660","12, The Mall,, Amritsar - 143001"
"Pasricha Medicare Centre","+ 91  183 5065311","Haripura, Main Road, Amritsar - 143001"
"Kamal Mahajan Children Hosp...","+ 91  183 2557449","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006, Near Regent Cinema & Dav Clg For Boys"
"Dr. Punj S Artemis Hospital...","+ 91  183 2401600","890/8 Circular Road, Amritsar - 143001, trillium mall"
"Ohri Hospital","+ 91  183 5003250","G T Road, Amritsar - 143001, Opposite Rialway Workshop"
"Gurpreet Hospital","+ 91  183 2585733","100 Feet Road, East Mohan Nagar, Amritsar - 143006, Opposite Prince Palace"
"Bhatia Neuropsychiatric Hos...","+ 91  183 2265900","22, Circular Road,, Amritsar - 143002, Opp. Trilium Mall,"
"Uppal Neuro Hospital & Supe...","+ 91  183 2226696","4, Rani Ka Bagh, Rani Ka Bagh, Amritsar - 143001, Near State Bank Of India"
"The Corporate Hospital","+ 91  183 2506061","Batala Road, Amritsar - 143002, Near Rishabh Auto"
"Sareen Hospital","+ 91  183 5063300","Sandhu Avenue, Main Batala Road, Amritsar Bus Stand, Amritsar - 143001, Near Auto Piston"
"Amandeep Hospital","+ 91  183 5051515","Model Town, Gt Road, Amritsar - 143002"
"Adlakha Hospital","+ 91  9876744709","Race Course Road, Basant Avenue, Amritsar - 143001"
"Fortis Escorts Hospital","+ 91  183 3012222","Verka Byepass, Amritsar - 143001"
"Amandeep Hospital","+ 91  183 2566738","G.T. Road, Model Town, Amritsar - 143001"
"Guru Nanak Dev Hospital","+ 91  183 2422560","2421050, Majitha Road, Amritsar - 143001"
"Daljit Singh Eye Hospital","+ 91  183 2551600","Number 1 The Mall, Radha Swami Road, Amritsar - 143001"
"Vasan Eye Care Hospital","+ 91  183 3989000","Plot No-77, 1st, 2nd & 3rd Floor, Mall Road, Amritsar - 143001, Near Income Tax Office"
"Dr Hardas Singh Orthopaedic Ho...","+ 91  183 2223620","882,, Amritsar - 143002, Circular Road,"
"EMC Super Speciality Hospital","+ 91  9814921382","Green Avenue, Amritsar - 143002, Old Kakkar Hospital"
"K D Hospital","+ 91  183 5033300","7, Circular Road, Amritsar Bus Stand, Amritsar - 143001, Near Govt. Medical College"
"Nayyar Heart Institute & Super...","+ 91  183 2210051","3, Lawrence Road Extn,Dasondha Singh Road, AMRITSAR - 143001"
"Sukh Sagar Hospital","+ 91  183 2501085","5, Maqbool Road, Basant Avenue, Amritsar - 143001, Near Anand Avenue"
"Mata Kaulan Ji Mission Hospital","+ 91  183 2581131","100 Ft Rd, Amritsar - 143001"
"Navpreet Hospital","+ 91  183 2223836","159-D, Amritsar - 143001, Itahad Nagar, Putlighar, Near State Bank Of India"
"Shri Guru Ramdas Charitable Ho...","+ 91  183 2870200","Mehta Road, Amritsar - 143001, Near Gurudwara Sheeda Sahib"
"Adlakha Hospital","+ 91  183 2225353","29 B, Basant Avenue, Race Course Road, Amritsar - 143001"
