"Name","Phone","Address"

"sandhu building material","+ 91  8872671961","shop no 28, kot mit singh, Amritsar - 143001, sultnawind rd"
"Gulati Sons","+ 91  9817405154","Vijay Nagar, Amritsar - 143001"
"Nirmal Enterprises","+ 91  9988670068","Harsha Chhina, Chowgawan Raod, Amritsar - 143001, Near Gurudawara Sahib"
"Karan Poly Pack","+ 91  9803028028","10, Near S.b.i. Bank,, Amritsar - 143001, Near S.b.i. Bank,Guru Gobind Singh Nagar"
"Sharda trader","+ 91  8146591465","Nr. Banke Bihari Gali, Batala road, Amritsar - 143001"
"Vishal Traders","+ 91  9855322900","Kathu Nangal, Amritsar - 143502"
"D K Trading Co Pakistani Cemen...","+ 91  183 5008126","G.T Road, Chheharta, Amritsar - 143105, Nr . SBI And Opp. HDFC Bank"
"Ganda mal piare lal","+ 91  9988692567","Nr. Gali murgi khana, Amritsar - 143001, Batala Road"
"Chach Taya","+ 91  9780790192","chamrang road, Amritsar - 143001, near valkami mandir"
"Everest Cement Pipes","+ 91  44 22761145",""
"Samta Enterprises","+ 91  9893927071",""
"A M cement store","+ 91  9810914930","shop 10, gate bhagtanwala, Amritsar - 143002, near railway station"
"Earth Anchors & Real Estate Co","+ 91  9414176044",""
"Datta Steel Mart","+ 91  233 2375842",""
"Exports First Pakistani Cemen...","+ 91  183 5008943",""
"Shree Ganesh Plywood & Cons...","+ 91  9610962222","khasra no. 328, alwar byepass road, Bhiwadi - 301019, near hariram hospital"
"Materials Boss Infratech Pv...","+ 91  591 2452299",""
"Kans Raj Satinder Pal Mahajan","+ 91  183 2544931","Nandan Cinema Road, Amritsar - 143001, Near Ram Baghchowk"
