"Name","Phone","Address"

"La Roma Pizzeria","+ 91  183 5006060","Sco Number 6 B Block District Shopping Complex, Amritsar Cantt, Amritsar - 143001"
"Hungers Hub","+ 91  183 2212101","Shop Number 33A/4 Rani Ka Bagh, Amritsar - 143001, Near Shiva Ji Park"
"Crowns Pizza","+ 91  183 5008123","Main And Sultanwind Road, Sultanwind, Amritsar - 143006, Near Central Bank of India"
"Amigos Grill Italian & Mexi...","+ 91  183 5007070","Scf 8 B Block Ranjit Avenue, Amritsar - 143002, District Shopping Complex"
"Cafe Connect","+ 91  183 5050220","Sco 8 District Shopping Complex, Ranjeet Avenue Block B, Amritsar - 143001"
"Dominos Pizza","+ 91  183 2535040","Ground Floor, Bldg No- B-2 -36-S-1410-11, in coff, Amritsar - 143001, Chowk Phawara, Near Golden Temple"
"Dominos Pizza","+ 91  183 2228093","Shop Number- 7, Ground Floor , Plot Number- 5 B, Lawrence Road, Amritsar - 143001, Circle Number- 7, Vineet Lawrence Hotel"
"Dominos Pizza","+ 91  183 5066623","Balle Bowl, S.C.O.50-51,, Amritsar - 143001, Ranjit Avenue, Block B , District Shopping Centre"
"Pizza Hut","+ 91  183 2560600","Shop Number 8, Lawrence Road, Amritsar - 143001"
"Pizza Italia","+ 91  183 2502007","Scf 9, Ranjit Avenue, Amritsar - 143001, Near Ranjit Avenue Power House, C-Block"
"Dominos Pizza","+ 91  183 5055470","Counter No-1, 2nd Floor, Alpha One Shopping Mall, Mbn Farms, G T Road, Sultanwind, Amritsar - 143021, Food Court Area, Sultan Wind Subarban"
"Pizza Hut","+ 91  183 5005050","T 3/200, Golden Temple, Amritsar - 143006, Bazar Bagh, Jallianwala Bagh"
"LE Pizzeria Backes & Bines","+ 91  183 5099888","Amritsar - 143001, Ranjit Avenue, B Blk"
"Dominos Pizza","+ 91  183 5015482","Lawrence Road, Amritsar - 143001"
"PIZZA ITALIA","+ 91  183 5050011","599, Lawrence road, Lawrence Road, Amritsar - 143001, Oppsite Nehru Shopping Complex, Guru Nanak Market"
"Pizza Point","+ 91  9888008003","Lawrence Road, Amritsar - 143001"
"Stars N Bars","+ 91  183 5069388","Sco-118, Ranjit Avenue, Amritsar - 143001"
"Dominos Pizza","+ 91  183 5053553","Plot No C-4, Trilium Mall, Food Court, 5th Floor, Circular Road, Medical Enclave, Amritsar - 143001, New Amritsar City"
"FUN TYM PIZZARIA","+ 91  8196031110","Shop no 91, Mcleod Road, Rani Ka Bagh, Amritsar - 143001, NEAR SHIVA JI PARK"
"Sandy Harbour","+ 91  9780587522","near taran wala pull, G T Rd ,near canera bank, Amritsar - 143001, out side focal point"
"Canadian Pizza & Burger","+ 91  183 5050661","Scf-50, Amritsar - 143001, Opposite GNDU College, Kabir Park Market"
"Pizza Hut","+ 91  183 5044410","Trillium Mall, Wing B, 5th Floor, Store Number-QSR 4, Plot Number-C 4, Circullar Road, Basant Avenue, Amritsar - 143001"
"La Pinoz Pizza","+ 91  8528407005","Mehta Road, Vallah, Amritsar - 143001, Shri Guru Ram DAS Institute Of Medical Science & Research"
"MX Doner","+ 91  8054024333","Lawrance Road, Amritsar - 143001, Opp Dav College"
"Kanan S Healthy juice centre","+ 91  9878635515","9-A, Navi Sadak, Lawrence Road, Amritsar - 143001, Opp.Bbk Dav College"
"Bansal Rasoi","+ 91  183 3203921","14-C, Lawrance Road, Lawrence Road, Amritsar - 143001"
"Pinocchio Pizza","+ 91  183 5061717","Scf-39, Amritsar - 143001, C-Block Ranjeet Avenue"
"Like Italy More Then Pizza","+ 91  183 5095453","Inside Alfa One Mall, Gt Road, Amritsar - 143001, Inside Alfa One Near Hayaat Hotel"
"the perfect pizza","+ 91  9815231415","Scf 29 opposite guru nanak dev university, Amritsar - 143001, kabir Park Market"
"Sugar N Spice","+ 91  9888029378","Shop No-C-12 A, Dhab, Amritsar - 143001, Near Hindu College Market,Dhab Khatikan"
"Facefood","+ 91  8284800226","Main Market, Rani Ka Bagh,Kachehri Chownk, Amritsar - 143001, opp. uppal hospital and SBI Bank"
"The Pizza Studio & The Brew Be...","+ 91  9780090314","SCO 116,1st Floor, B-Block Ranjit Avenue, Ranjit Avenue, Amritsar - 143001, Near Cafe Coffee Day"
"PIZZA HUT DELIVERY","","White Avenue, Amritsar - 143002"
"Royal Pizza","+ 91  183 2424077","Majitha Road, Amritsar - 143001, Opposite Sharma & gangahar, Near Syndicate Bank"
"Juice Lounge Punjabi Nature","+ 91  8591033355","70, SCF, Kabir Park Market, Amritsar - 143001, Opposite Guru Nanak Dev University"
"The Perfect Pizza","+ 91  8054634074","Scf 29, Amritsar - 143001, Opposite Guru Nanak Dev University,Kabir Park Market"
