"Name","Phone","Address"

"Guru Kirpa Tele Links","+ 91  9781110002",""
"Bawa Telecom","+ 91  183 5006360",""
"Select Mobile Gallery","+ 91  183 5013017",""
"Sharda Communications","+ 91  9780221142",""
"Arora Electronics","+ 91  9878030245",""
"Ahd COMMUNICATIOn","+ 91  183 5012999",""
"Connect Broadband","+ 91  183 5094327",""
"Nokia Care Center","+ 91  183 5016065",""
"Vodafone Store","111",""
"Global Computers","+ 91  183 5014410",""
"RELIANCE DIGITAL STORE","+ 91  9779856452",""
"Iball Service Centre","+ 91  9023365597",""
"The Mobile Store","",""
"I Ball Mobiles Service CentrE","+ 91  9915240562",""
"Bhateja TELECOM","+ 91  9781033303",""
"Reliance Digital Mini Express","+ 91  183 5016831",""
"Reliance Digital Xpress Mini","+ 91  183 5008543",""
"Airtel Gallery","",""
"The Mobile Store","+ 91  183 6451210",""
"Soni Bros","+ 91  183 5004442",""
"mobi shoppy","+ 91  9814693335",""
"Punjab Time Centre","+ 91  183 5004695",""
"Bholi Bros","+ 91  183 5065753",""
"Punjab Time Center","+ 91  9915927076",""
"Airtel Gallery","",""
"Vodafone Mini Store","+ 91  9825098250",""
"khanna Mobile hut","+ 91  7837269626",""
"HI-TECH PHONES","+ 91  9914540444",""
"Sanyo Electronics","+ 91  183 2546976",""
"mobile Plaza","+ 91  8054280000",""
"samsung mobile cafe","+ 91  8427425002",""
"Panasonic Shoppe","+ 91  183 5050292",""
"jeet mobile telecom","+ 91  9872327431",""
"Ravi mobile repair","+ 91  9781279386",""
"N V COMPUTERS EXPERT TECHNOLO...","+ 91  183 5096405",""
"Airtel Gallery","",""
"Hotspot Mobile & More","+ 91  183 2550284",""
"Micromax Studio","+ 91  9356004052",""
"Samsung Brand Shop","+ 91  9914450234",""
"rELIANCE DIGITAL XPRESS MINI","+ 91  9988070283",""
"Airtel Gallery","",""
"Sony Store","+ 91  9814050406",""
"Tata Docomo Exclusive Store","+ 91  9033002275",""
"Vir Radio Comapny And Vir TV C...","+ 91  183 2556284",""
"Sony Store","+ 91  183 2562542",""
"Sony Center","+ 91  183 2565588",""
"Spice Hotspot","+ 91  183 5014412",""
"Jai Shankar Telecom","+ 91  7837890100",""
"Ess Aar Gift House","+ 91  9501380879",""
"Nokia Priority Partner","+ 91  183 2400676",""
"Todays Mobile","+ 91  183 5025000",""
"Mobile Junction","+ 91  9781052000",""
"mOBILE SPOT","+ 91  8146720027",""
"CELL World","+ 91  9878767776",""
"Mobile Plaza","+ 91  9815177519",""
"DATAWIND INNOVATION PVT. Ltd","+ 91  183 2276245",""
"Amritsar Mobile Centre","+ 91  183 5010123",""
"Chopra Radio & Electronic Works","+ 91  9815200004",""
"Airtel Gallery","",""
"Satija Telecom","",""
"Nirmal TV Centre","+ 91  183 2580611",""
"NOKIA PRIORITY PARTNER","+ 91  7696318515",""
"shivani Electronics","+ 91  8054254567",""
"dhawan telecom","+ 91  9356110861",""
"Sony Mobile Junction","+ 91  9781341234",""
"sharma mobile care","+ 91  9780797301",""
"VISHAL ELECTRONICS","+ 91  9815206852",""
"Currents Technology Pvt India Ltd","+ 91  183 5096005",""
"Hastir ent","+ 91  183 2546976",""
"subash telecom","+ 91  8699038025",""
"Bhateja Telecom","+ 91  9814536755",""
"Guru nanak watch co","+ 91  9357599566",""
"Nv Computer","+ 91  9815452364",""
"Cell POINT","+ 91  9803154331",""
"Bedi Mobile Care Centre","+ 91  9915096731",""
"Mobile Planet","+ 91  9888395764",""
"Mahajan Mobile Hut","+ 91  9803586042",""
"Shanky Mobile","+ 91  9872034009",""
"Shanky mobile","+ 91  9915434435",""
"M K Telecom","+ 91  8567809000",""
"madaan communications","+ 91  9779403980",""
"S S TELECOM","+ 91  9814070746",""
"RAGAHAV telecom","+ 91  9780270793",""
"Rose Collection","+ 91  9815481441",""
"Rocket sales","+ 91  183 5051150",""
"G R Telecom","+ 91  9872531002",""
"K.R MOBILE","+ 91  9988767993",""
"MOBILE CITY","+ 91  9815595786",""
"Prince telecom","+ 91  9914505651",""
"veer di hatti","+ 91  9872327362",""
"Bawa collections","+ 91  9592999070",""
"Gsm Services","+ 91  9876060000",""
"Mahajan electronics","+ 91  9803566666",""
"Baba Deep Singh Ji Mobile Corner","+ 91  7696660655",""
"S.N. Telecom","+ 91  8729025225",""
"Khanna Telecom","+ 91  9888841606",""
