"Name","Phone","Address"

"Bio Pharma","+ 91  183 2551035","Katra Sher Singh, Amritsar - 143006"
"Yorks Pharma","+ 91  183 2711880","Fatehgarh Churian Road, Amritsar Bus Stand, Amritsar - 143001, Near Brindaban Garden,,21milestone"
"Garg Pharma","+ 91  183 2556875","Amritsar - 143001"
"Med Fox Pharma Pvt Ltd","+ 91  183 2580925","423, Amritsar - 143001, Focal Point"
"Shri Bhagwati Assoc","+ 91  9876787762","Scf-55-56,Deep Cplx, Court Rd, Amritsar - 143001, Nr UTI Pan Card Department"
"Mahaveer Pharma","+ 91  9814802314","No-60-B, Rani Ka Bagh, Rani Ka Bagh, Amritsar - 143001, Amritsar"
"Approach Pharma","+ 91  9217728400","39, Chaudhary Plaza, Amritsar - 143001, Nr Nandan Cinema"
"Pharma Machines & Polymers","+ 91  183 2588373","228, Mehta Rd, Amritsar - 143001, Focal Point"
"Jolly Pharma","+ 91  9855776711","Amritsar - 143001"
"SHIVA PHARMA","+ 91  9872815928","Jinda wala chowk, Amritsar - 143001, I/s Hakima gate"
"Rajat Pharma","+ 91  183 2275883","Shop No 6a, Amritsar - 143001, Dhan Dhan Guru Ram Dass Market, Kucha Dal Khana, Katra Sher Singh"
"Sahni And Sahni Pharma Distrib...","","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Ganpati Pharma","+ 91  183 5010006","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Saubhagya Pharma Agencies","+ 91  183 5063315","Katra Sher Singh, Amritsar - 143006, Kucha Dai Khana"
"Fair Pharma","","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"YOG Ratan Pharma","+ 91  183 2534851","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Bhasin Pharma","+ 91  9814152854","2488/12, 1st Floor, Katra Sher Singh, Amritsar - 143006, Near Dav College"
"Standard Pharma","+ 91  183 2534233","Shop No-15, Katra Sher Singh, Amritsar - 143006, Opposite Khera College, Kucha Dat Khana"
"K K Pharma","+ 91  183 3112204","47, Hide Road Singh Complex, Near Hussainpura Chowk, Amritsar - 143001"
"Om Pharma","+ 91  183 2425342","Katra Sher Singh, Amritsar - 143001, Telephone Exchange"
"Sonu Pharma","+ 91  183 5063425","Katra Sher Singh, Amritsar - 143006"
"Shakti Pharma","+ 91  183 2542509","Katra Sher Singh, Amritsar - 143006"
"Amit Pharma","+ 91  183 5005168","Katra Sher Singh, Amritsar - 143006"
"Arun Pharma","+ 91  183 3093763","Katra Sher Singh, Amritsar - 143006"
"Sa Sanctifier Pharma","+ 91  9417277462","Shop No-3 1st Floor Swami Market, Katra Sher Singh, Amritsar - 143006"
"Joshi Pharma Chemist & Druggists","+ 91  183 2553557","2056/12, Katra Sher Singh, Amritsar - 143006, Kucha Daikhana, Hall Bazar"
"A S Wehgal Pharma","+ 91  183 2530550","Shop No-7, Katra Sher Singh, Amritsar - 143006, Harman Market,"
"Sethi Pharma","+ 91  183 2543672","Shop Number-15, Katra Sher Singh, Amritsar - 143006, New Medicine Market"
"Satyam Pharma","+ 91  183 5050346","Shop No-3, Katra Sher Singh, Amritsar - 143006, Dhanguru Ramdas Market, Gali Kuchha Dai Khanna"
"Union Pharma","+ 91  183 2543686","Katra Sher Singh, Amritsar - 143006, Kucha Dai Khana,Near Hall Bazar"
"Deep Pharma","+ 91  183 5096479","Shop Number 2, Katra Sher Singh, Amritsar - 143006, Khanna Market"
"Aman Pharma","+ 91  183 5093136","Katra Sher Singh, Amritsar - 143006"
"Whiteline Pharma","+ 91  7432594170","Amritsar - 143002, Near Indra Palace Cinema"
"Raj Pharma","+ 91  183 2720558","Sco-165-69, Sec-9-C,, Amritsar - 143002"
"Himalchal Durg Pharma","+ 91  9021654654","Bz, Gandan Wala, Amritsar - 143002"
"Ess Pee Pharma Agencies","+ 91  183 2557867","1347, Katra Sher Singh Building, Amritsar - 143002"
"Vng Pharma","+ 91  9814572126","Shop No-2,1st Floor, Amritsar - 143002, Swami Market,Katra Sher Singh"
"Maa Shakti Bhagwati Jagran Party","+ 91  9781895949","102, Batala Road, Amritsar - 143001, Guru Gobind Singh Nagar, Near SBI"
"Sidharth Drug Pharma","+ 91  183 6572137","Batala Road, Amritsar - 143001, Bharat Nagar, Opposite HDFC Bank"
"Anmol Pharma","+ 91  183 5005044","near himayal dhaba, raja markit, Katra Sher Singh, Amritsar - 143006, Hall Bazar"
"Shri Kesari Nandan Pharma","+ 91  183 2533038","shop no 5.,, Kucha Dai Khana, Katra Sher Singh, Amritsar - 143006, near Kapoor Market katra sher singh"
"Vee Bros Pharma","+ 91  183 5093235","2078/2, Himalaya Dhaba, Katra Sher Singh, Amritsar - 143006, Kucha Dalghana,Near Doctore Sohan Eye Hospital"
"Gmk Pharma","+ 91  9878664400","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"M B Pharma","+ 91  183 2558428","Partap Street, Majitha Mandi, Amritsar - 143006, Near Goverdhan Mandir"
"Dhamus Pharma","+ 91  183 5067250","Shop No 1-2, Harman Market, Katra Sher Singh, Amritsar - 143006"
"Piyush Pharma","+ 91  183 2542157","katra sher singh, Katra Sher Singh, Amritsar - 143006, Near Khera Collage,Kucha Dai Khana"
"Pharma Sales","+ 91  1858 2544619","1350/10, Kucha Dal Khana, Raja Sansi, Amritsar - 143101"
"Narang Pharma","+ 91  9864651654","Katra Sher Singh, Raja Sansi, Amritsar - 143101"
"N B Pharma","+ 91  9855193312","Taylor wali gali, rayya, Amritsar - 143112, near railway line"
"Jai Bhagwati garments","+ 91  183 5060557","Shop no 1, Majitha Road, Medical Enclave, Amritsar - 143001, OPP deep palace"
"Sajan Herbs Pharma","+ 91  9356030161","Ram Tirath Road, Amritsar - 143002, Opposite DTO Office"
"chirgan pharma","+ 91  9814004181","shop no 18 1st floor, harman mkt katra shersingh, Amritsar - 143002, harman mkt"
"r.s medi pharma","+ 91  183 5068282","15 haram market, katra sher singh, Amritsar - 143002"
"ZABI PHARMA","+ 91  9888333878","KUMAR MARKET SHOP NO. 4, KATRA SHER SINGH, Amritsar - 143002, MEDICINE MARKET"
"Upjohn Pharma","+ 91  9876040403","Main bazar, Partap nagar, Amritsar - 143002, g.t road"
"prime pharma,","+ 91  9988037550","kA /1, KRISHNA NAGAR, Amritsar - 143002, TARANTARAN ROAD"
"Om Pharma","+ 91  9888280239","Om Pharma, Amritsar - 143002, Infront Of Gate No-3 Telephone Exchange"
"Indra Sehgal Pharma","+ 91  183 5008648","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Rameshwar Pharma","","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"S.P. Pharma","","1st Floor, Dav College Parking, Katra Sher Singh, Amritsar - 143006, Katra Sher Singh"
"A. B. Pharma","","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Care N Cure Pharma","+ 91  183 2580059","Plot Number- 373 A, Mohan Nagar, Amritsar - 143006, Near Sand Market, East Mohan Nagar"
