"Name","Phone","Address"

"Ramanashree California Resort","+ 91  80 33563356",""
"Hillview Resorts","+ 91  80 23353662",""
"The Garden Asia Resort","+ 91  80 33792284",""
"Elim Resorts","+ 91  80 33054790",""
"The Getaway Resort","+ 91  80 33792691",""
"Club Magnolia","+ 91  80 33618522",""
"Eagle Ridge Resort","+ 91  80 33722959",""
"Game On Sports Resort","+ 91  80 33530572",""
"Capital Club Resort","+ 91  80 33080378",""
"Talakadu Jaladhama Resorts","+ 91  80 41519347",""
"Khedda Resort","+ 91  80 39559026",""
"Tribal Village","+ 91  80 33090328",""
"Gold Coins Club","+ 91  80 30145382",""
"Ivy Rossa Four Seasons Hote...","+ 91  80 33561484",""
"The Hillview Resort","+ 91  80 33569898",""
"Happy Home Resort","+ 91  80 33618267",""
"Garden Valley","+ 91  80 33291920",""
"Park Hotel & Resort","+ 91  80 33080566",""
"Chairmans Jade Resort","+ 91  80 40703703",""
"Chairmans Resort","+ 91  80 40703703",""
"Valley View Resorts","+ 91  80 39827449",""
"Ankit Vista Green Village","+ 91  80 33531945",""
"Urban Valley","+ 91  80 33091246",""
"Tulips Resorts And Amusemen...","+ 91  80 39557941",""
"Full2fun Holidays","+ 91  80 33083030",""
"Suvarnamukhi Holistics","+ 91  80 33100516",""
"Vatika Fountain Resort","+ 91  80 25723131",""
"The Pride Club","+ 91  9886917173",""
"R D Nature Retreat","+ 91  9980607744",""
"Guhantara","+ 91  80 39629543",""
"Mango Mist Resorts","+ 91  80 67683744",""
"Angsana Oasis Spa & Resort","+ 91  80 28468892",""
"Clarks Exotica Resort & Spa","+ 91  80 40977828",""
"Club Cabana Recreations Pvt Ltd","+ 91  80 33531528",""
"Royal Orchid Resort & Conventi...","+ 91  80 28560668",""
"Eagleton The Golf Resort","+ 91  80 22632222",""
"Confident Amoon Glamour Spa & ...","",""
"Wonderla Resort","+ 91  80 33710333",""
"Club Mahindra Holidays","+ 91  9916506966",""
"Holiday Village Resort","+ 91  80 65638999",""
"The Club","+ 91  80 28600665",""
"The Windflower Prakruthi Resor...","+ 91  80 49015777",""
"Shakthi Hill Resorts Pvt Ltd","+ 91  80 28616800",""
"Olde Bangalore Resort","+ 91  80 28010100",""
"Ramee Guestline Hotels And Res...","+ 91  80 22898500",""
"Ruppis Hotel & Resort","+ 91  80 28438442",""
"Orange County Resorts & Hotels...","+ 91  80 41911100",""
"Goldfinch Retreat","+ 91  9008006860",""
"Emerald Isle Resort","+ 91  80 41251123",""
"Manipal County","+ 91  80 25736705",""
"Imera Spa & Resort","+ 91  9480887575",""
"Green Valley Resorts","",""
"Radiant Resort","+ 91  80 28429048",""
"RCI India Pvt Ltd","+ 91  80 41849100",""
"Jungle Lodges And Resorts Ltd","+ 91  80 40554055",""
"Silver Oak Resort","+ 91  80 28462290",""
"Janani Tours & Resorts Pvt Ltd","+ 91  80 40708001",""
"Country Club India Ltd","+ 91  80 23480342",""
"Meenakshi Resorts","+ 91  80 27826119",""
"Tribal Village","+ 91  80 22420994",""
"Taj Kuteeram Resorts Pvt Ltd","+ 91  80 28466326",""
"Palm Meadows Club","+ 91  80 30514600",""
"Sambhram Roost Resort","+ 91  80 64507089",""
"Jungle Lodges & Resorts Ltd","+ 91  80 40554055",""
"Sunny Holiday Village","+ 91  80 33090596",""
"The Wood Rose Club","+ 91  80 33724297",""
"Park Field Resotel","+ 91  9449597631",""
"Estate club","+ 91  80 27848172",""
"Jain Farms Pvt Ltd","+ 91  80 26629440",""
"Fantasy Golf Resort","+ 91  80 28477451",""
"Residency Holiday Resort","+ 91  9342975375",""
"Jain Farms Resorts Ltd","+ 91  80 26629440",""
"Angana Country Inn Resort","+ 91  80 28432888",""
"Our Native Village","+ 91  80 41140909",""
"Dream Land","+ 91  9986030013",""
"Mount Palazzo","+ 91  9742388312",""
"Orange County Resort & Hotels ...","",""
"Ramee Guestline Hotels And Res...","+ 91  80 22295489",""
"Tulips Resorts And Amusement Park","+ 91  80 22421076",""
"Ramya Resorts","+ 91  80 23281609",""
"Vidyanjali Academy For Learning","+ 91  80 23544891",""
"The Country Club Sun Valley","+ 91  80 23485220",""
"Sterling Resorts","+ 91  80 22234348",""
"The Gateway Resorts","+ 91  9886634682",""
"Gardenia Exotica","+ 91  80 28437626",""
"Kanva Group Of Companies","+ 91  9886061410",""
"Gold Coin Club Gold Coin Farms...","+ 91  80 22123278",""
"Capital Home Stay Resort","+ 91  9900018602",""
"Eagleton Resorts India","+ 91  80 26628299",""
"Clarks Exotica Resort and Spa","+ 91  9008098383",""
"Villa Pottipati","+ 91  80 23360777",""
"Angsana Oasis Spa & Resort","+ 91  9845279961",""
"Galibore Nature Camp","+ 91  80 29784504",""
"The Garden Asia Resort","+ 91  80 66735599",""
"Clover Greens Pvt Ltd","+ 91  9900729075",""
"TG Hotels & Resorts","+ 91  9945633411",""
"Adventure Village Resorts","+ 91  9740113777",""
"Signature Club Resort","+ 91  80 23086688",""
"Angsana Oasis Spa & Resort","+ 91  80 25001153",""
"Vishranthi Dhama Resort PVT LTD","+ 91  80 28433090",""
"Anbi Club","+ 91  9945042510",""
"Masanagudi Resorts","+ 91  9880407344",""
"Vivek Hotels & Resort","+ 91  80 41122661",""
"Satellite Club","+ 91  80 28484411",""
"Woodrich Club & Resorts","+ 91  80 23360298",""
"Capital Club Resort","+ 91  9945692111",""
"Green Acres & Fantasy Golf Resort","+ 91  80 28477451",""
"Cherry Trees","+ 91  80 39626191",""
"Coffee Day Hotels & Resorts Pv...","+ 91  80 40012255",""
"Dharamshi Resort Pvt Ltd","+ 91  80 25599644",""
"Xplore Adventure","+ 91  9686703337",""
"Kanva Star Resorts","+ 91  8880916190",""
"Renown Hotel","+ 91  80 22213545",""
"Highland Holiday Homes Pvt Ltd","+ 91  80 25321012",""
"Prestige Leisure Resort Pvt Ltd","+ 91  80 25001153",""
"Golden Greens Golf & Resorts Ltd","+ 91  80 26147738",""
"Janani Tours & Resorts P Ltd","+ 91  80 28396914",""
"Xplore Adventure Resort","+ 91  9620492706",""
"Tusker Trails","+ 91  80 23618024",""
