"Name","Phone","Address"

"R S Holidays","+ 91  9888854151",""
"Rana Tour & Travel","+ 91  9888754914",""
"Saggu Tour N Travel","+ 91  8437832232",""
"Mahajan Tour & Travels","+ 91  183 5095549",""
"Azad Travels","+ 91  9814817474",""
"Route Tour & Travels","+ 91  183 5012788",""
"Ananya Travels","+ 91  183 2566222",""
"S R Travels","+ 91  183 2555656",""
"HARISH TOUR & TRAVEL","+ 91  9646255072",""
"Ranjeet Singh Fauji Tour & ...","+ 91  9814008016",""
"Khushi Travels Beas","+ 91  9779199070",""
"Shri Ganpati Ji Tour & Travel","+ 91  8558886700",""
"Travelin","+ 91  183 5012544",""
"Khalsa Enjoy Sure Travels","+ 91  8427907500",""
"Ola Cabs","+ 91  183 3355335",""
"Guru Nanak Travels","+ 91  9872437999",""
"North India Tour & Travels","+ 91  183 5060360",""
"Chahal Tour & Travel","+ 91  9855308308",""
"Akashdeep Malhi Travels","+ 91  9780300131",""
"Amritsar Airport Cabs","+ 91  9988370123",""
"Ranveer Tour & Travels","+ 91  183 2403402",""
"Amritsar Taxi Stand tour & Travel","+ 91  9988314811",""
"Yellow Plate Taxi","+ 91  183 5053045",""
"Prepaid Taxi Service(One Way P...","+ 91  9888535359",""
"Mobile Hut","+ 91  183 2401456",""
"Star Auto Cabs","+ 91  183 5060183",""
"Chand Tourist Travels","+ 91  9872332675",""
"Arora Travels","+ 91  183 2549123",""
"Shri Mani Mahesh Travels","+ 91  183 5019448",""
"Shiva Tour & Travels","+ 91  183 5099333",""
"H S Car Rental","+ 91  7087430325",""
"Gautam Travels","+ 91  8872407999",""
"Ridhima Car Rental Service","+ 91  9876910449",""
"Mahajan Tour & Travel","+ 91  183 5095549",""
"Sanjog Travel","+ 91  183 5008892",""
"Best Tour And Travel","+ 91  183 5016848",""
"Prince Taxi Stand","+ 91  183 2564743",""
"Amritsar Tour & Travel","+ 91  9815845150",""
"Dhan Dhan Baba Jalan JI Taxi S...","+ 91  9465477743",""
"Manjeet Travels","+ 91  9878761707",""
"Delhi Travels","+ 91  9417867694",""
"Ajay Taxi Service","+ 91  9988457857",""
"Golden Rent A Cab Service","+ 91  9815576750",""
"Dream Travels Amritasr","+ 91  183 5004009",""
"One Way Car","+ 91  9464493347",""
"Shri Ram Car Rental","+ 91  9216860457",""
"Harjass Tour & Travels","+ 91  183 5061609",""
"bon voyage tours & travel","+ 91  9592355055",""
"Happy Tour & Travels","+ 91  8196060389",""
"North King Tour & Travels","+ 91  9988956763",""
"Bawa Tour & Travels","+ 91  9914101777",""
"ARV Taxi Service","+ 91  9888302117",""
"Chahal Rent & Cab","+ 91  9814881795",""
"HIM TOURIST SERVICE","+ 91  183 2293310",""
"Leisure Lane Travels","+ 91  183 2210418",""
"Kuldeep Travels Amritsar","+ 91  183 5008600",""
"A S K Tour & Travels","+ 91  9876085309",""
"Singh Taxi Service","+ 91  9465672002",""
"Maa Chintpurni Travels","+ 91  183 5065068",""
"New Maan Travels","+ 91  183 5004805",""
"Amritsar Taxi Booking","+ 91  183 2221408",""
"M.S. Travel","+ 91  9216744018",""
"GOING PLACES","+ 91  183 5061065",""
"United Taxi Union","+ 91  9815462751",""
"Jindal Travels","+ 91  8427679893",""
"Malhi Tour & Travels","+ 91  9915267742",""
"Saggu taxi service","+ 91  9915103037",""
"Amritsar Yellow Plate Taxi Ser...","+ 91  183 5053045",""
"B.R. Tours","+ 91  9878365262",""
"Noor Travels","+ 91  9988868956",""
"BILLA TOUR AND TRAVELS","+ 91  9888072049",""
"Harman Travels","+ 91  183 5051415",""
"Ganpati Tours And Travels","+ 91  7814257878",""
"Taxi Service Amritsar","+ 91  9855028504",""
"Jai Maa Tour Travels","+ 91  9872815220",""
"Aakash Tour & Travel","+ 91  9815397267",""
"PNB TAXI SERVICE","+ 91  9592743796",""
