"Name","Phone","Address"

"cm coaching centre","+ 91  8528737645",""
"IBEST INSTITUTE OF BANKING AND...","+ 91  183 5002004",""
"Prof Sodhis Academy Of Competi...","+ 91  8054920092",""
"ETEN IAS","+ 91  183 2228081",""
"Bsc Academy","+ 91  9814359495",""
"Need India Career Institute","+ 91  8437860605",""
"Tuli s The Academy","+ 91  9888808693",""
"Toris An Education Hub","+ 91  183 2228082",""
"Global Tech Career Institute S...","+ 91  183 5062593",""
"Gurpal Singh Tutorial","+ 91  9888479332",""
"Harpreet coaching centre","+ 91  9646345424",""
"Rohin Tuition Centre","",""
"3rd Axis","+ 91  9646673683",""
"Toppers Academy","+ 91  183 5067569",""
"ONS IAS Academy","+ 91  183 6571198",""
