"Name","Phone","Address"

"bachan Exclusive","+ 91  183 2402068","Shop no 105, lawrence Road, Amritsar - 143001, opposite Nehru Shopping Complex"
"R.K BROTHERS","+ 91  183 2211671","8, Queens Road, Amritsar - 143001, Near Obc bank"
"Saveen cosmetics","+ 91  9988408585","Shop no : 11, Amritsar - 143001, Tehsilpura"
"Make Up Centre","+ 91  7837531408","Shop no. 13, Lawrence road, Amritsar - 143001, Opp Nehru shopping complex"
"A-One Cosmetics","+ 91  9646466420","Lawrence Road, White Avenue, Amritsar - 143001, Near Nehru Shopping Complex"
"Satnam cosmetics","+ 91  7508162368","lawrence road, Lawrence Road, Amritsar - 143001, opp.Nehru shopping complex"
"Prince corner","+ 91  9815061516","katra jaimal chowk,, Hall Bazar, Amritsar - 143001, Near Amrit talkies"
"Gee Gee Fancy Emporium","+ 91  183 5006244","Outside Karmon Gali, Katra Jaimal Singh, Amritsar - 143006, Near Telephone Exchange, Telephone Exchange Chowk"
"Data General Store","+ 91  8427318840","Nawan kot road, Nawankot, Amritsar - 143001, Near Bularia Kothi"
"Arora General store","+ 91  9815318507","Chowk Chabutra, Amritsar - 143001, Soni health club"
"Monalisa Corner","+ 91  9855442905","Shop no. 1, Basant Avenue Market, Basant Avenue, Amritsar - 143001, Near Ajanta Public School, Basant Avenue"
"Tamanna cosmetics and beauty s...","","Main bazar, Putlighar main bazar, Amritsar - 143001, Cemetry road"
"COLOURS GERNAL STORE","+ 91  7837619671","islamabad, Amritsar - 143001, near thana"
"U Like Corner","+ 91  9988016987","Shop Number- 69, Golden cloth market, Sultant Wind Gate, Amritsar - 143006, Sultanwind gate"
"Guru kirpa selection point","+ 91  9814318138","Shop no 68, Golden cloth market, SULTANWIND, Amritsar - 143006, Sultanwind gate"
"Joint Collection","+ 91  9872145043","Shop no. 50, Guru Nanak Market, Amritsar - 143002, Near New Star Hotel"
"Pari Cosmetics","+ 91  7837608324","Celebration mall, 2nd floor, Amritsar - 143002, inside celebration mall"
