"Name","Phone","Address"

"Ajay Taxi Service","+ 91  9988457857","Near Post Office, Gt Road, Amritsar - 143001, Chheharta"
"Chawla Invertor Stand","+ 91  8054124370","Gt Road, Naraingarh, Amritsar - 143001, Chheharta"
"G S Khalsa Taxi Service","+ 91  8728990955","Flat- 10b, Amritsar - 143001, Ranjit Avenue"
"ARV Taxi Service","+ 91  9888302117","Plot number-8 a, 2 nd floor,queen complex, Amritsar - 143001"
"Singh Taxi Service","+ 91  9465672002","Amritsar, shop no. 61, Amritsar - 143001, near golden temple,hotel sita niwas"
"Amritsar Taxi Booking","+ 91  183 2221408","Amritsar - 143001, Near Durgiana Temple, Hathi Gate, Corporation Market"
"taxi service amritsar","+ 91  9855028504","Opp. Khalsa Public School, GT Road, Near. Khalsa College Amritsar, Punjab, Putligarh, Amritsar - 143002"
"NAME PLATE STAND","+ 91  8567007003","Ali Baksh Road, Amritsar - 143001, Kumar Hotel"
"Amristsar Taxi Service","+ 91  183 2229191","Amritsar Railway Station Road, Amritsar - 143001"
"State Bank Of India Opposite B...","+ 91  183 2560291","Amritsar - 143002, Bus Stand"
"Yellow Plate Taxi","+ 91  183 5053045","Sco 35 Third Floor Deep Complex, Court Road, Amritsar - 143002, Near Doaba Auto"
"Prepaid Taxi Service(One Way P...","+ 91  9888535359","Ghanta Ghar Chowk, Golden Temple, Amritsar - 143006"
"Taxi Car Hire In Amritsar","+ 91  9915609085","Opp Railway Road, Amritsar - 143002, Railway Station, Goal Bagh"
"Jawala Tourist Taxi Service","+ 91  183 2213754","Shop No 14, 16, Goal Bagh Road, Amritsar - 143001, Opp Railway Station"
"Name Plate Stand","+ 91  9814491113","180 buil no rajindra nagar focal point backside alpha mall, Rajinder Nagar, Amritsar - 143001"
"SAM Taxi Service","+ 91  9988556995","h.no 716 machanda building, G T Rd, Chheharta, Amritsar - 143105, Near Post Office"
"New Public Taxi Union Stand","+ 91  9478235294","Fatehbad (tarn Taran), Amritsar - 143407, Village Khandori Gda"
"PNB TAXI SERVICE","+ 91  9592743796","Sector 16, Chandigarh - 160017, Near Petrol Pump"
"Taxi Service Amritsar","+ 91  9855028504","Aman Motors, Khalsa College, Amritsar - 143001, Opposite Khalsa Senior Secondary School"
"Name Plate Stand","","Shop Number 2, Amritsar - 143002"
"Sohal Taxi Stand","+ 91  9888625066","252, New Amritsar, Amritsar - 143001, Near New Amritsar Gate"
"bhai chanda singh taxi service","+ 91  9803185108","Amritsar - 143002, golden temple"
"Gill Taxi Stand","+ 91  9914804168","Amritsar, Batala Road, AMRITSAR - 143001, Near Sareen Hospital"
"Bablu Taxi Stand","+ 91  9872167442","Amritsar - 143001, Opposite Ram DAS Sarai,Golden Temple"
"New Sangam Taxi Stand","+ 91  183 3215039","Amritsar - 143002, Beside Sangam Cinema, City Centre"
"Shere Punjab Taxi Stand","+ 91  9872387678","Amritsar - 143001"
"Chahal Taxi stand","+ 91  9914266215","Golden temple, Amritsar - 143001, Near baba attar sahib gurdwara"
"United Taxi Stand G S Travels","+ 91  9815071239","Railway Station, Amritsar - 143001"
"Chhena Nagina Taxi Stand","+ 91  9914044344","Shop No-12, Amritsar - 143001, Baba Deep Singh Market"
"Jaswant Singh Gill Taxi Stand","+ 91  9814814327","Alho Kothi, Amritsar - 143001"
"Gill taxi stand","+ 91  9814482326","Shop no 37, Baba bidhi chand ji market, Amritsar Bus Stand, Amritsar - 143001, Tarn taran road"
"Katyal Taxi Stand","+ 91  183 2235038","Railway Road, Amritsar - 143001, Opp. Darshan Auto House"
"Bhai Chanda Singh Taxi Serv...","+ 91  9872204494","Shop Number 115, Chowk Malkabut, Golden Temple, Amritsar - 143006, Opposite Dharma Singh Market"
"Sharma Taxi Stand","+ 91  9872609194","Rly Station, Amritsar - 143001"
"Punjab Roadways","+ 91  183 2551734","Amritsar Bus Stand, Amritsar - 143001"
"Amritsar Taxi Stand tour & Travel","+ 91  9988314811","Shop Number-3, Goal bagh, Amritsar - 143001, Opp.railway station"
"Arrow USA 1851","+ 91  183 5034414","Shop No 8 Ground Floor, Alpha One Mall, G T Road, Amritsar - 143001, Near Hayatt Hotel"
"Gurpreet Singh Bhullar Taxi Stand","+ 91  9814002488","Algon Kothi, Amritsar - 143001"
"Guru Nanak Taxi Stand","+ 91  9465671319","Ajnala Road, Amritsar - 143002, Fatehgarh"
"Dhan Dhan Baba Jalan JI Taxi S...","+ 91  9465477743","attari road, Amritsar - 143001"
"MAA Arti Tour & Travel & Taxi ...","+ 91  183 2450671","G T Raod, Chheharta, Amritsar - 143105, Sandhu Colony"
"USA TAXI STAND","+ 91  9814096007","House No-3517,Bahadur Nagar, Gali No-4,Sultanwind Road, Amritsar - 143001"
"Dhan Dhan Baba Budha Sahib Tax...","+ 91  9464955269","Ram Dass, Amritsar - 143603"
"USA Dairy","+ 91  8872942761","main bazar, batala road, Amritsar - 143002, near hargun hospital"
"United Taxi Union","+ 91  9815462751","City Centre, thappar 78 building, Amritsar - 143001, Gate Number-1, Inside Railway Station, Near Bus Stand"
"Saggu taxi service","+ 91  9915103037","Guru nanak hospital, Guru nanak hospital, Amritsar - 143001, Majitha road"
"Amritsar Yellow Plate Taxi Ser...","+ 91  183 5053045","Sco35,IIIrd Floor Court Road, Deep Complex, Amritsar - 143001, Opposite HDFC Bank"
