"Name","Phone","Address"

"Baristo Brew","+ 91  80 33530601","No 10 , 4th floor dominos building, Krishna Nagar , industrial area, Hosur Main Road, Bangalore - 560029, Near to Christ college"
"Pizzeria","+ 91  80 39557439","No.2, 30th Main Road, Banashankari 3rd Stage, Bangalore - 560085, Near KIMS College"
"Dominos Pizza","+ 91  80 23552241","Ground Floor, HMT Layout, R T Nagar Main Road, Ganga Nagar Extension, Bangalore - 560032, Near Police Station"
"Dominos Pizza","+ 91  80 26659696","No.36/9, Ground Floor & 1st Floor, 11th Main Road, Jayanagar 5th Block, Bangalore - 560041, Near Post Office"
"Dominos Pizza","+ 91  80 22412121","No.38, Ground Floor, Bull Temple Road, Basavanagudi, Bangalore - 560004, Opposite To Shekar Hospital"
"Dominos Pizza","+ 91  80 23343330","No.22, Usha Mansion, 5th Cross, Sampige Road, Malleswaram, Bangalore - 560003, Near Malleshwaram Circle"
"Dominos Pizza","+ 91  80 26699540","No.17, Ground Floor, 100 Feet Ring Road, 6th Block, Banashankari 3rd Stage, Bangalore - 560085, Near Kamakya Theatre & Big Bazaar"
"Dominos Pizza","+ 91  80 41530666","No.897, 80 Feet Road, Koramangala 6th Block, Bangalore - 560095, Near Indoor Stadium"
"Dominos Pizza","+ 91  80 23512731","No.54,Ground Floor,Janardhan Santuary, Seenappa Layout,New Bel Road, Rmv Extension, Bangalore - 560094, Near Ramaiya Signal"
"Dominos Pizza","+ 91  80 23205555","No.1/2, Golden Height, Ground Floor, Dr Rajkumar Mills Road, 59th Cross, Rajajinagar 4th Block, Bangalore - 560010, Near Total Mall"
"Dominos Pizza","+ 91  80 25217444","No.308, Ground Floor, 100 Feet Road, Indiranagar, Bangalore - 560038, Near KC Signal, Opposite To Labsin Restaurant"
"Dominos Pizza","+ 91  80 25424700","No.608, Ground Floor, 4th Cross, 2nd Block, HRBR Layout, Bangalore - 560043, Opposite To HRBR Club"
"Dominos Pizza","+ 91  80 26590265","No.7, Ground Floor, 100 Feet Road,1st Stage, Jp Nagar, Bangalore - 560078, Opposite To Shekar Nethralaya Eye Hospital"
"Dominos Pizza","+ 91  80 25499580","No.22/1, Ground Floor, Coles Road, Frazer Town, Bangalore - 560005, Opposite To Fathima School, Next To Reliance Fresh"
"Dominos Pizza","+ 91  80 22374591","No.37/1, Ground Floor, Cunningham Road, Bangalore - 560052, Opposite To Sigma Central Mall And Fortis Hospital"
"Dominos Pizza","+ 91  80 25316500","No 72/73, 4th Main, Thambuchetty Palya, Horamavu Village, Ramamurthy Nagar, Bangalore - 560016, Next To Smart Super Market"
"Dominos Pizza","+ 91  80 23230110","Site No.354 & 353/ A, Ground Floor, 4th Block, 8th Main, Basaveshwara Nagar, Bangalore - 560079, Next To More Supermarket"
"Dominos Pizza","+ 91  80 23212010","No.183, Ground Floor, Old Ring Road, 2nd Block, Nagarbhavi, Bangalore - 560072, Opposite To Bda Complex"
"Dominos Pizza","+ 91  80 23391054","No.40, 1st Floor, Chandra Layout Main Road, Chandra Layout, Bangalore - 560040, Above Peoples"
"Dominos Pizza","+ 91  80 68886888","No.239/E2/4, Ground Floor, Gowrys Building, No.16, Arekere Gate, Bannerghatta Road, Bangalore - 560076, Near Reliance Mart"
"Dominos Pizza","+ 91  80 28564913","No.719, Doddabalapur Main Road, MIG 1st Sector, Yelahanka Satellite Town, Bangalore - 560064, Near Sheshadripuram College"
"Pizza Hut","+ 91  80 41125285","No.66/1, Coles Road, Frazer Town, Bangalore - 560005, Opposite To Cafe Coffee Day"
"Pizza Hut","+ 91  80 39883988","No.216/13, Suraj Towers, 27th Cross, Jayanagar 3rd Block, Bangalore - 560011, Near Sapna Book House"
"Dominos Pizza","+ 91  80 22484848","Shop No.2, No.13, Ground Floor, Rehinus Street, Richmond Town, Bangalore - 560025, Next To Tv9 Office, Opposite To Hockey Stadium"
"Dominos Pizza","+ 91  80 26860131","No.4, Survey No.40/1,2 & 5 , Ground Floor, Yelachenahalli, Yelachenahalli Industrial Layout, 1st Stage, Uttarahalli Hubli, Kanakapura Road, Bangalore - 560062, Opposite To Cauvery Ford"
"Dominos Pizza","+ 91  80 25237122",""
"Dominos Pizza","+ 91  80 42351412","Site No.1, Survey No.56/17, 1st Floor, Hosur Road, Bommanahalli, Bangalore - 560068, Opposite To Maruthi Suzuki"
"Pizza Hut","+ 91  80 23413999","No.3, Om Chambers, Devasandra, New Bel Road, Bangalore - 560054, Opposite To M S Ramaiah Hospital"
"Dominos Pizza","+ 91  80 68886888","No.776, Ground Floor, 80 Feet Road, Koramangala 4th Block, Bangalore - 560034"
"Dominos Pizza","+ 91  80 28606401","No.98 D, Ground Floor, P- 1, Ideal Homes Township, Kenchanhalli, Sector-B, Rajarajeshwari Nagar, Bangalore - 560098, Opposite To Reliance Fresh"
"Dominos Pizza","+ 91  80 23282155","Site No.5, Ground Floor, Prashanth Nagar, Nagarbhavi Main Road, Vijayanagar, Bangalore - 560040, Opposite To Cordial High School"
"Dominos Pizza","+ 91  80 26710070","No.645, 1st Floor, 24th Cross, 24th Main, Banashankari 2nd Stage, Bangalore - 560070, Near Bda Complex"
"Dominos Pizza","+ 91  80 25727782","No.1573, Ground Floor, Outer Ring Road, HSR Layout Sector 1, Bangalore - 560102, Opposite To Agara Lake Park"
"Pizza Hut","+ 91  80 23222999","No.87, Bhima Jyothi Colony, West Of Chord Road, Basaveshwara Nagar, Bangalore - 560079"
