"Name","Phone","Address"

"davinder pal singh & sons","+ 91  183 5070985",""
"Gosal Cement Store","+ 91  9855203619",""
"MOHINDER SINGH & CO","+ 91  9815858529",""
"Everest Cement Pipes","+ 91  44 22761145","No 1, Kurinji Nagar, Mudichur, Chennai - 600048, Near Mathaji Temple"
"Dhan Dhan Baba Deep Singh Ji","+ 91  7508777877",""
"Dagar Tiles","+ 91  9811014153",""
"Bhular Cement Pipe Factory","+ 91  9855905271","Tehsil Ajnala Distt Amritsar, Ajnala, Amritsar - 143102"
"Golden Pipe & Sanitary Store","+ 91  9888537392",""
"JADISH CHANDRA MOHAN LAL","+ 91  9815833144",""
"Shree Ganesh Plywood & Cons...","+ 91  9610962222","khasra no. 328, alwar byepass road, Bhiwadi - 301019, near hariram hospital"
"NEW PUNJAB HARDWARE & SANITARY...","+ 91  9876845696","Shop no 15, A block market, Ranjit Avenue, Amritsar - 143001, Ranjit avenue"
"Premier Spun Pipe Company","+ 91  4268 220594","Mohanur Road, Paramathi Velur, Namakkal - 638182"
"M.K. Sanitary Store","+ 91  9781564126","Old Jail Road, Basant Avenue, Amritsar - 143001, Opposite I design"
"Gupta Pipe Store","+ 91  183 5066151","I/s mahan singh gate, Amritsar - 143006, Near bus stand"
