"Name","Phone","Address"

"Good Life Fitness Unisex Gym","+ 91  8968396723",""
"Fitness Hangover","+ 91  7529000057",""
"Advanced Gym","+ 91  9988034351",""
"The World Gym","+ 91  183 5099885",""
"The Secret Day Spa & Salon ...","+ 91  9814216646",""
"Talwalkars Better Value Fit...","+ 91  183 2220845",""
"Ozone The Fitness World","+ 91  8968439958",""
"Shape And Size","+ 91  9888010901",""
"country club","+ 91  183 5005909",""
"Rama Health Care Ltd","+ 91  183 5063555",""
"Elements Fitness Center","+ 91  183 2228625",""
"Holistic Wellness Club","+ 91  9803065400",""
"Fitnee Gymnasium","+ 91  183 3108839",""
"Hunk Gym","+ 91  9501635557",""
"Dumbell 88","+ 91  9803663662",""
"DAWN GYM","+ 91  9216571258",""
"The Gym Fitness Centre","+ 91  9815577440",""
"Life Fitness Studio","+ 91  183 5097686",""
"RANAS The ROCK GYM","+ 91  8437712400",""
"m S Taras Fittness Zone","+ 91  183 2452685",""
"New Shape Shoppe Gym","+ 91  8146939166",""
"Fitness Center","+ 91  183 5005901",""
"Fitness zone gym","+ 91  7837796805",""
"big Guns Gym","+ 91  9815676993",""
"Yo Yo Fitness Gym","+ 91  8054875862",""
"Impuls Fitness And Spa","+ 91  183 5067890",""
"Gurwail Singh Gill","+ 91  9780713800",""
"body Fit Gym","+ 91  9855063864",""
"Big Guns Gym","+ 91  9815676993",""
