"Name","Phone","Address"

"Moga Sokra Pharmacy","+ 91  1882 222292","Phagwara Road, Hoshiarpur, Hoshiarpur - 146001"
"Surma Kanwal Pharmacy","+ 91  1882 238573","Bharwain Road, Hoshiarpur - 146001, Banjar Baug, Opposite Petrol Pump"
"kalyan pharmacy (ayurvedic med...","+ 91  1882 505055","kalyan, kotwali bazar, Hoshiarpur - 146001, opp. verma jewellers"
"Surma Kanwal Pharmacy","+ 91  1882 245573","Hoshiarpur - 146001, Sheesh Mehal Bazar"
"Jiwan Data Pharmacy","+ 91  1882 241995","B-14/339, Street No 3, Hoshiarpur - 146001, Parhlad Nagar, Near Tf 234339"
"Mittra Ayurvedic Pharmacy","+ 91  1882 223321","Flat No 235, Hoshiarpur - 146001, Near Kacha Toba, Moulvian"
"Gokal Pharmacy","+ 91  1882 520614","Railway Road, Hoshiarpur - 146001"
"Kishore Homoeo Pharmacy","+ 91  1882 247357","Hoshiarpur - 146001, Kotwali Bazar"
"Parth Homeopathic Pharmacy","+ 91  1882 520317","Kotwali Bazar, Hoshiarpur - 146001, Near Clock Tower, Near Marvahan Mohallah"
"Ram Pharmacy","+ 91  1882 252405","Jalandhar Road, Hoshiarpur - 146001, Opposite Civil Hospital"
