"Name","Phone","Address"

"vaishno kulcha hut","+ 91  7355284629","1, Gt Road, Amritsar - 143001, near petrol pump"
"Fashion hut","+ 91  9517846146","Shop no.2, Gokal avenue, Amritsar - 143001, Nr. Gopal mandir"
"Ice Cream Hut","+ 91  183 2511455","23, Ranjit Avenue B Block, Ranjit Avenue, Amritsar - 143001, Opposite Ranjit Park"
"Mobile hut","+ 91  9023333529","St.no.1, gopal nagar, majitha road, Amritsar - 143001, Nr. Payal medicoz"
"Khalas organic hut","+ 91  9780656464","Shop no 9, A block market ranjit avenue, Amritsar - 143001, Near Parvati Devi hospital"
"Tasty Hut","+ 91  9417083602","Booth Number-11, Ranjit Avenue, Amritsar - 143001, NEAR PARVATI DEVI HOSPITAL"
"BALLE BALLE KULCHA HUT","+ 91  9988814716","Majitha road, Amritsar - 143001, Near gopal mandir"
"Family hut","+ 91  9463650358","Main market, Vijay nagar, Amritsar - 143001, Near whatsup"
"FASHION HUT","+ 91  7837215670","cemetry road, Amritsar - 143001, main bazar putlighar"
"Muscle Hut","+ 91  9876030062","Amritsar - 143001, Bank Avenue"
"Burger hut","+ 91  9592918713","shop no 56, Main Street, Amritsar - 143001, near mall"
"Pizza Hut","+ 91  183 5044410","Trillium Mall, Wing B, 5th Floor, Store Number-QSR 4, Plot Number-C 4, Circullar Road, Basant Avenue, Amritsar - 143001"
"Reliance jewels","+ 91  183 2400250","Shop No-1 & 2, Upper Ground Floor, Srk Mall, Plot No-14, Mall Road, Amritsar - 143001, Near Passport Office"
"Mobile Hut","+ 91  183 2401456","Shop Number 23 Panther Shopping Complex, Amritsar Cantt, Amritsar - 143001, Near Putlighar"
"Creative Hut","+ 91  183 5065159","Shop No-1,1st Flr, Odean Ln-1,Majitha Rd, Amritsar - 143001, Opp Medical College"
"G C Madan Mohan Jewels","+ 91  183 5017555","211, Basant Avenue, Amritsar - 143001, Near Ajanta Public School"
"KAIRON JEWELS","+ 91  183 5009953","shop no- 2 street num. - 1, sultanwind road,sultanwid, Amritsar - 143001, opp guru amardass dairy"
"Robin CD Hut","+ 91  9915430601","Ghoman Road, Amritsar - 143001, Mehta Chowk"
"Choco Hut","+ 91  183 2546500","1609/2, Ram Gali, Golden Temple Road, Katra Ahluwalia, Amritsar - 143001, Opposite Bankey Bihari Mandir"
"Swaran Rachna jewels","+ 91  9855771116","Shop no. 113, ganpati tower, Lawrence road, Amritsar - 143001"
"Mahajan cosmetics &jewel centre","+ 91  8054552264","495,Basant Nagar, Mall Road, Joshi Nagar, Amritsar - 143001, Near sehaj enclave"
"FASHION HUT","+ 91  9914950016","ramji dass mrkt, 1st floor, Amritsar - 143002, chowk amrit talkies"
"Cell Hut","+ 91  9877233112","202-203, 2nd Floor, Sunrise Plaza, Cooper Road, Amritsar - 143002"
"Grand Sons Chaman Chicken Hut","+ 91  8566911457","Shop Number 11 Main Kachari Chownk, Amritsar - 143002, Opposite Sharma Dabha"
"Cell Hut","+ 91  9814121397","Amritsar - 143002"
"Fashion hut","+ 91  9815423208","Katra jaimal singh, Amritsar - 143002, Near rs tower"
"Harman mobile hut","+ 91  9872045143","Na, Rajinder nagar, Amritsar - 143001, Near Amritsar public school"
"brand hut shoes","+ 91  9888669987","sCF 59, Kabir Park Market, Amritsar - 143001, Opp GNDU"
"BRAND HUT","+ 91  8872722972","kabir park market, Amritsar - 143002, opp gndu"
"Brand Hut","+ 91  7508888750","Scf 44, Kabir Park Market, Kabir Park Colony, Amritsar - 143002, Opposite Gndu University"
"Robin DC Hut","+ 91  9888172625","Ghoman Rd, Mehta Chowk, Amritsar - 143144, Meta Chowk"
"Sanitation Hut","+ 91  183 2263015","Amritsar - 143001, Bus Stand Verka"
"Buddies Hut","+ 91  9779319190","Shop no. 3, Ranjit Avenue E Block, Ranjit Avenue, Amritsar - 143001, Opposite Rose Garden"
"HONEY HUT","","Gt Road, Amritsar - 143001"
"Classic hut","+ 91  9988829701","Shop no 1208, Kot Khalsa road, Khalsa College, Amritsar - 143001, Near Khalsa collage"
"Monu Kulcha Hut","+ 91  9876764416","Main lOkarka Road, Amritsar - 143002"
"PIZZA HUT DELIVERY","","White Avenue, Amritsar - 143002"
"Burger Hut","+ 91  7355323648","449, Ranjit Avenue D Block, Ranjit Avenue, Amritsar - 143001, Near Kahlon Park"
"SMILE HUT","+ 91  8528134349","jagdambey colony, Amritsar - 143001, near gali no6"
"Kulcha hut","+ 91  9872705007","E block market, Ranjit Avenue, Amritsar - 143001, Ranjit avenue"
"Sunglass hut","+ 91  183 5034454","Shop no 24. G.F, G.t road, Amritsar - 143001, Alpha one mall"
"Denim Hut","+ 91  183 2564357","New Market, Putligarh, Amritsar, G T Road, Putligarh, Amritsar - 143002"
"Pizza Hut","+ 91  183 5005050","T 3/200, Golden Temple, Amritsar - 143006, Bazar Bagh, Jallianwala Bagh"
"Spicy Hut","+ 91  183 2547490","Shakti Nagar, Amritsar - 143001"
"Burger Hut Fast Food","+ 91  183 2400295","Putlighar,, Itahad Nagar,, Amritsar - 143001, Amritsar,"
"Gitanjali Jewels Gold & Precious","+ 91  183 2224466","C/O The Mall, Shop No-4,LG Eminent Mall, Amritsar - 143001"
"Orro Jewels","+ 91  9814072307","House No-49b, Amritsar - 143001, Gate Hakimawala,Nr Sidhu Gas Agency,Roop Ngr"
"Fashion Hut","+ 91  9815423208","main road, near R S Tower, Hall Bazar, Amritsar - 143001, Bijli Wala Chowk,"
"SHOE HUT","+ 91  9888137997","Katra jaimal Singh, Hall bazar road, Katra Jaimal Singh, Amritsar - 143006, Near R S tower"
"RAMESH DIAMONDS JEWELS","+ 91  183 2226639","60, Ground Floor, Nehru Shopping Complex, Lawrence road, Lawrence Road, Amritsar - 143001, Near novelty chowk"
"Mobile hut","+ 91  9915324433","Guru nanak pura, Amritsar - 143001, Near water supply"
"Pizza Hut","+ 91  183 2560600","Shop Number 8, Lawrence Road, Amritsar - 143001"
"Pappu Fry Snacks Hut","+ 91  9646981521","rani ka bagh, Rani Ka Bagh, Amritsar - 143001, back side Model Town Mandir"
"Vishal Gems & Jewels PVT LTD","+ 91  183 2546769","Amritsar - 143001, Katra Mohan Singh"
"Mobile Hut","+ 91  9872327532","Amritsar - 143001, Pathankot"
"Amritsar Computer Hut","+ 91  183 5053909","Showroom 4 5 Lawrance Plaza, Lawrence Road, Amritsar - 143001, Nr Pizza Hut"
"14fashion Hut Boutique","+ 91  183 2257511","14, Polytechnic Road, Amritsar - 143001"
"Fashion Hut","+ 91  9888419768","gali no. 4, vijay nagar,batala road, Amritsar - 143001, near radha krishna mishtan bhandar"
"Amrits A R Computer Hut","+ 91  183 2400909","4-5, Gnd Floorlawrence Plaza Lawrance Road, Amritsar - 143001"
"Big wild hut","+ 91  9988179397","SHOP NO 1, Navi sarak, Lawrence Road, Amritsar - 143001, Near sanjha chulha"
"MONU KULCHA HUT","+ 91  9803288162","Shop no 6, Rani ka bagh, Rani Ka Bagh, Amritsar - 143001, Near jagat jyoti school"
"Arzoo kulcha hut","+ 91  7508161617","Tilak nagar, Amritsar - 143001"
"Family shoe hut","+ 91  9463650356","Main market, Vijay nagar, Amritsar - 143001, GALI NO 4"
"Laptop Hut","+ 91  9216350541","Amritsar - 143001"
"Cell Hut","+ 91  9814054331","Shop No 202,Sun Rise Plaza, Cooper Rd, Amritsar - 143001"
"Swagy Hut","+ 91  8054553498","Shop Number-20, Balaji Complex, Durgiana Mandir, Amritsar - 143001, Near Post Office"
"Anand Fashion Hut","+ 91  9316287244","G T Road, Amritsar - 143001, Main Bazar, Near Park, Pultighar"
"Mahajan Chinese Hut","+ 91  9888206369","8, Amritsar - 143001, D D Bhatia Market, Ram Bagh"
"Mahajan Mobile Hut","+ 91  9803586042","Liberty Market, Railway Link Road, Amritsar - 143001, Near Prince Residency"
"Peking hut","+ 91  9779531493","singh building, main street, Lawrence Road, Amritsar - 143001, near no exit"
"fashion hut","+ 91  9888474645","hall bazar rs tower, Hall Bazar, Amritsar - 143001, chowk bijili wala"
"Shashis Fashion Hut","+ 91  9815272550","31, chowk Farid, Katra Jaimal Singh, Amritsar - 143006, Near Axis bank"
"MAINI TELECOM THE MOBILE hut","+ 91  9780931204","HUSSIANPURA Chownk, Gt Road, Amritsar - 143001, NEAR BUS STANd"
"V K Jewels","+ 91  9501933999","Shop Number-4, Amritsar - 143001, Ruby Market Guru Bazar, Near Golden Temple"
"Popli Fashion Hut","+ 91  9855441500","Amritsar - 143001, Qila Bhangia, Nimak Mandi Chowk"
