"Name","Phone","Address"

"SHANK JEWELLERY WORLD","+ 91  9916234168","340, More Super Market, Banaswadi Main Road, Bangalore - 560033, Kammanahalli"
"One Gram Gold Jewellery","+ 91  9845217652","No.45, Banaswadi Main Road, Maruthi Sevanagar, Bangalore - 560033, Opposite To Mukunda Theatre"
"One Gram Gold Jewelleries","+ 91  9972626025","Shop No. 3, St. Thomas Town Post, Lingarajapuram, Bangalore - 560084, Banaswadi Railway Station Road"
"One Gram Gold Jewellery","+ 91  9066255669","No 36, Hutchins Road, Hutchins Road, Bangalore - 560084, near to lingarajpuram fly over"
"DIGI WORLD","+ 91  9449350008","No.34/4, Banaswadi Main Road, Banaswadi Main Road, Bangalore - 560033, Opposite Maruti sevanagar"
"Hira Jewellery","+ 91  80 25634321","No.1102/B, Hennur Main Road, Lingarajapuram, Bangalore - 560084"
"Corner Stone World Challenge","+ 91  80 25478976","No49, Hutchins Road, St Thomas Town, Bangalore - 560084, Near Simla Store"
"Star World Infotek","+ 91  9036031344","No. 23, Ratnamma Street, Muniswamyappa Layout, R S Palya, Banaswadi Main Road, Bangalore - 560033"
"Dharam Jewellery","+ 91  80 25913524","No.10, Banasawadi Main Road, Maruthi Sevanagar, Bangalore - 560033"
"Dream World Reality","+ 91  9980669645","No.889,, Davis Road,Richards Town, Frazer Town, Bangalore - 560005, Opp Canara Bank"
"Car World","+ 91  80 41676074","No.05, Nehru Road, Kammanahalli, Bangalore - 560084, Opp Empire Hotel, Near Kammanahalli Police Station"
"Star World Bakery","+ 91  80 22905624","No. 4, Tank Bund Road, Kanakadasa Layout, Lingarajapuram, Bangalore - 560084"
"World Of Solar Sales & Services","+ 91  9741440903","No.18, Tank Bund Road, Kanakadas Layout, Lingarajapuram, Bangalore - 560084, Near Don Bosco Church"
"info world","+ 91  9964356042","Hennur Main Road, Lingarajpuram, Bangalore - 560084"
"eagle world wide cop","+ 91  9686422770","11/1, convent road, Kammanahalli Main Road, Bangalore - 560033, nr church"
"Foto World","+ 91  9916653612","No.8, JAI Bharath Nagar, Banaswadi Main Road, Bangalore - 560033, Opp. Canara bank"
"CHERA SILVER JEWELLERY","+ 91  9591645710","2nd Floor, ORION MALL, Banaswadi Main Road, Maruthi Sevanagar, Bangalore - 560033, Near RAGHAVENDRA TEMPLE"
"Refilling World","+ 91  80 41673637","No.85, Coles Road, Frazer Town, Bangalore - 560005, Near Canara Bank"
"Mobile World (Kavvya Enterprises)","+ 91  80 25470031",""
"Lucky Stationery World","+ 91  9738612001","No.31, Banaswadi Main Road, Maruthi Sevanagar, Bangalore - 560033"
"Lucky Stationary World","+ 91  9019286425","Shop no.33, Maruthi Seva Nagar, Banaswadi Main Road, Bangalore - 560033, Opp. Mayfair"
"Gaurav Jewellery","+ 91  80 25460173","No. 38, Banaswadi Main Road, Maruthi Sevanagar, Bangalore - 560033"
"Ganesh Jewellery","","No. 51-1,, Banaswadi Main Road,, Maruthi Sevanagar, Bangalore - 560033"
"Manoj Jewellery","","No. 38, Banaswadi Main Road, Maruthi Sevanagar, Bangalore - 560033"
"Sree Ragavendra Jewellery Works","+ 91  80 25482700","Kammanhalli Main Road, Maruthi Sevanagar, Bangalore - 560033, Nr.Ramaswamy Palya"
"Sri Maruthi Jewellery Works","+ 91  80 25494828","No.38413, Banaswari Main Road, Maruthi Sevanagar, Bangalore - 560033, Near St. George College Of Management"
"Movement For A Better World","+ 91  80 25479501","No.31, Maruthi Sevanagar, Bangalore - 560033, Meg Officers Clny"
"Gold Smith Jewellery","+ 91  9945755951","39, Venkataraman Layout,, Maruthi Sevanagar, Bangalore - 560033, Near Past Office,"
"S. MUKARRAM JEWELLERY WORKS","+ 91  9880648999","# 60/3, 3rd cross, Jeevanahalli, Cox Town, Bangalore - 560005, Opp. BBMP Office"
"Classic Mobile World","+ 91  9980671718","3rd Cross, H M Road, Lingarajapuram, Bangalore - 560084"
"Web World","+ 91  9880134950","No.109, 8th Mn,New Bagalur, Lingarajapuram, Bangalore - 560084"
"World Gospel Macine Medical Ce...","+ 91  80 25993300","Gospel Rd, Lingarajapuram, Bangalore - 560084, Opp Nirmala School"
"Rabiya Mobile World","+ 91  9980013345","No 591/B, venkataswamy Layout, Lingarajapuram, Bangalore - 560084, Near To Banswadi Railway Station"
"MAG World","+ 91  80 42161989","No.427, Ramaswamy Palya, Kammanahalli Main Road,, Bangalore-560033, Kammanahalli Main Road, Bangalore - 560033"
"Carnatech Info World","","2153,Main Road, Kammanahalli Main Road, Bangalore - 560084"
"World Star Shipping Services","+ 91  9739091930","No 6,, Manjushree House,Ground Floor,15th Cross,Mangal Layout,Kamalali, St Thomas,Town Post,, Anthony Street, Bangalore - 560084"
"Dream World Decorators","+ 91  9916905337","No.7, Mayur Road, Lingarajapuram, Bangalore - 560084, Near To Chowdeshwari Temple"
