"Name","Phone","Address"

"Jewellery-Patiala Ring Makers","+ 91  161 2703563","Shop No.5,, Ludhiana - 141001, Raja Tower, Meena Bazar,"
"Jewellery Swastil Jewels","+ 91  9815277966","Pakhowal Road, Ludhiana - 141001, Opposite Ranjeet Tower"
"Jewellery-Prem Jewellers","+ 91  161 2406132","Jewel Plaza, College Road,, Ludhiana - 141001, Civil Lines"
"Jewellery-Designer Arts","+ 91  9612134144","1st Floor, Ghambir Complex,, Ghumar Mandi, Ludhiana - 141001, Ghumar Mandi,"
"Jewellery-Jagan Nath Sukhdayal...","+ 91  161 2413494","99, Fountain Plaza,, Ludhiana - 141001, College Road,"
"Jewellery-New Dubai Jewellers","+ 91  161 2413916","Shop No.2, Mall Plaza,, Ludhiana - 141001, Fountain Chowk,"
"Jewellery-S R M R Jewellers","+ 91  161 2410114","Surya Towers, 108,, Ludhiana - 141001, The Mall"
"Jewellery-Hira Bhai & Sons","+ 91  161 2709931","Bazar Sarafan, Ludhiana - 141001, Bazar Sarafan,"
"Jewellery-Dhir Diamond Jewellers","+ 91  161 2441324","Fountain Chowk,, Ludhiana - 141001, Fountain Chowk,"
"Jewellery-Vijay Jewellers","+ 91  161 2421557","135 / 1, Nihal Chand Road,, Ludhiana - 141001, Opp. P. W. D. Rest House"
"Jewellery-Manik Jewellers","+ 91  161 3941409","Mall Plaza, Mall Road,, Ludhiana - 141001, Fountain Chowk,"
"Jewellery-New Punjab Jewellers","+ 91  161 2420687","1, Dhoda Complex,, Ludhiana - 141001, 13 Jhansi Road,"
"Jewellery-Jamna Dass Nikka Mal...","+ 91  161 2450795","228-A,, Aggar Nagar, Ludhiana - 141001, Aggar Nagar,"
"Jewellery Wonder 2016 - Ludhiana","+ 91  9971088668","VENUE - Hotel Gulmor, Ferozepur Road, Bharat Nagar Chowk, Ludhiana - 141001, Near Bharat Nagar Chowk"
"Jewellery-M R Jewellers","+ 91  9814170163","Chaura Bazar,, Chaura Bazar, Ludhiana - 141008, Ahmedgarh"
"Jewellery-VED Saraf Jewellers","+ 91  161 2725181","Chowk Nikka Mal,, Ludhiana Central, Ludhiana - 141008, Shivala Road"
"Jewellery-Anujpam Jewellers","+ 91  161 2708384","D-152 PH-IV-A, Focal Point, Ludhiana - 141010, Focal Point,"
"Jewellery Zone","+ 91  9988332080","No 43, 1st Floor, Sant Market, Khanaa, G.T.Road, Khamano Kalan, Ludhiana - 140801"
"State Bank Of Patiala","+ 91  161 2480523","1226/3, Lane No- 1, Kitchlu Nagar, Ludhiana - 141001, Adjoining Raman Hospital"
"State Bank Of Patiala","+ 91  161 2550461","Scf 21-22, A-Block, Ferozepur Road, Aggar Nagar, Ludhiana - 141001, Agar Nagar"
"State Bank Of Patiala","+ 91  161 4314007","Ludhiana - 141001"
"Online Jewellery Bazar","+ 91  8740079400","406 Complex, Ludhiana - 141001"
"State Bank Of Patiala","+ 91  161 2302523","G-1, Kitchlu Nagar, Ludhiana - 141001, Nr Raman Hospital"
"Deepak Jewellery","+ 91  9855066355","Main Road, Kaka Telecom, Kot Mangal Singh, Ludhiana - 141001"
"Atish Jewellery","+ 91  9915377009","Monalisa Market,Sarafan Bazar,, Ludhiana - 141001, Near Atam Jewellery"
"Lotey Die Maker","+ 91  161 2496795","6763, St.No.6, New Janta Nagar, Ludhiana - 141001"
"Verma Fancy Jewellery And Neha...","+ 91  9814188748","Samrala Road,, Ludhiana - 141001"
"Patiala Garments","+ 91  9417188626","Kucha No 9 Jail Road Ludhiana, Ludhiana - 141001"
"Khural Coach Makers","+ 91  9876524006","02, Sahnewal, Ludhiana - 141001, G T Road Bus Stop"
"Army Body Maker","+ 91  9912928215","Kashmir Chowk Road, MAA Kali Mandir, Kashmir Nagar, Ludhiana - 141001"
"R K Tool & Die Makers","+ 91  161 2223771","Navyug Cinema,, Ludhiana - 141001"
"Vishawkarma Body Makers","+ 91  161 2844266","G T Road, Bus Stant Sahnewal Ludhiana, Ludhiana - 141001"
"Ambika Jewellery","+ 91  161 2708509","Sarafan Bazar Road,, Ludhiana - 141001, Near Raja Emporium"
"Deepak Jewellery","+ 91  9815939993","Shivaji Nagar, Ludhiana - 141001"
"State Bank Of Patiala ATM","18001802010","Ludhiana - 141001, Bharat Nagar Chowk"
"PAI Patiala Agro Industry","+ 91  9815037868","Satguru Street No 3,, Gill Road, Ludhiana, Ludhiana - 141001, Near State Bank Of India Opp .A.T.I. College"
"Batra Lifafa Maker & Balbir Ar...","+ 91  161 2664604","Main Road,, Ludhiana - 141001"
"Atam Jewellery","+ 91  9872731217","Monalisa Market,Sarafan Bazar, Ludhiana - 141001, Near Atam Jewellery"
"Ban Sal Jewellery Store","+ 91  9915651497","Chandigarh Public School, Adarsh Nagar, Ludhiana - 141001"
"Dan Jewellery","+ 91  9417569110","Karim Pura Bazar Road, Samrat Garments, Karimpura,, Ludhiana - 141001"
"B.S.C. Bead Rings","+ 91  161 2560633","E-487, Phase-6, Focal Point Ludhiana, Ludhiana - 141001"
"Patiala Industrial Corp.","+ 91  9815910306","Ludhiana - 141001, Partap Nagar"
"Kamal Die Maker","+ 91  9872952147","69-B, Shop No 1 Industrial Estate Ludhiana, Ludhiana - 141001"
"B K Die Maker","+ 91  9417006230","Mohalla Nirankari, Mohalla Nirankari,, Ludhiana - 141001"
