"Name","Phone","Address"

"Group K Media","+ 91  522 2204997",""
"Karma Media Solutions","+ 91  9936536363",""
"Promoters Ad Media Pvt Ltd","+ 91  522 4047474",""
"Mac Advertiser","+ 91  8687982541",""
"Rejoice Media consultants","+ 91  9918603007",""
"Shree Vardhaman Advertising...","+ 91  9792437375",""
"SGS MEDIA GROUP","+ 91  7317666600",""
"Shobha Publicity","+ 91  522 2612707",""
"Wonder Words Creative Adver...","+ 91  522 4079624",""
"Anurodh Graphix","+ 91  9335818697",""
"Lavkush Enterprises","+ 91  522 4103455",""
"JUST DESIGN","+ 91  8182065610",""
"Rajput Adevertising Services","+ 91  9793047771",""
"Advertisement India.com","+ 91  522 4002691",""
"Colours advertising","+ 91  8960240241",""
"NATIONAL ADVERTISING AND BR...","+ 91  8960850604",""
"M N ADVERTISING","+ 91  9335672807",""
"Ad Office Marketing & Adver...","+ 91  522 4955972",""
"Imagine Media Advertising &...","+ 91  522 2320080",""
"Jmd Enterprises","+ 91  9918021319",""
"Baba Ghuisarnath Advertisers","+ 91  522 4102998",""
"LKO AD WALA","+ 91  7523097209",""
"PlanMyOOH.com","+ 91  712 6066888",""
"Mac Advertisers","+ 91  9634981570",""
"Nation Times Advt Agency","+ 91  181 4608691",""
"Group K Media","+ 91  161 4647012",""
"Garg Advertisements","+ 91  9988545000",""
"Synergy Enterprises","+ 91  8437736655",""
"The Hawk & Dainik Hawk","+ 91  1334 233131",""
"Kanhiya Advertisers","+ 91  164 2255005",""
"Reshu Advertising Pvt Ltd","+ 91  131 2621540",""
"Mileage Advertising","+ 91  7879409990",""
"Srk Advertising","+ 91  183 2570503",""
"Sukrit Advertising","+ 91  175 2350040",""
"Kat Advertising","+ 91  816 2254541",""
"Sky Advertising","+ 91  8979427003",""
"My Publicity","+ 91  755 4908916",""
"The Times Of India","+ 91  522 2206081",""
"Hindustan Times","+ 91  522 2306201",""
"Navbharat Times","+ 91  522 4154369",""
"Aaj Hindi Daily Newspaper","+ 91  522 2209312",""
"State Urban Development Agency","+ 91  522 2286710",""
"Rashtriya Swaroop","+ 91  522 2252660",""
"Apic Media Creation Pvt Ltd","+ 91  522 4102454",""
"Business Standard Ltd","+ 91  522 4015981",""
"Response","+ 91  522 3297334",""
"Mega Trends Advertising Ltd","+ 91  522 2393285",""
"Asian Advertising","+ 91  522 4064246",""
"Vaicharik Tufaan","+ 91  522 4048846",""
"MAA Saraswati Advertising","+ 91  9889168675",""
"Saket Publicity","+ 91  7408930509",""
"Sparks Advertising","+ 91  522 2215775",""
"ADVERTISING HELPLINE","+ 91  9335611894",""
"Diksha Advertising & Printing ...","+ 91  522 2207067",""
"S I Advertisers","+ 91  522 4002557",""
"CRYSTAL ADVERTISER & PRINTER","+ 91  9336237301",""
"Kushagra Media Space","+ 91  522 2332239",""
"Omega Associates","+ 91  8004745501",""
"Lucknow News Agency","+ 91  522 2329530",""
"S S Group Advertising & Printi...","+ 91  9580395802",""
"Rashtriya Crime Nazar","+ 91  522 4009456",""
"Pp Productions","+ 91  522 4016282",""
"AD Link Media Pvt Ltd","+ 91  522 2786036",""
"Aaj Ki Khabar","+ 91  9621739500",""
"Lucknow AD Times","+ 91  9807391393",""
"Shiva printers & packagers","+ 91  9335095167",""
"Percept advertising","+ 91  8726887146",""
"Lucknow Advertising","+ 91  7388063333",""
"Saket Advertising","+ 91  9838556646",""
"Aarish Advertising","+ 91  9389683178",""
"Business Pramot","+ 91  9455252061",""
"Shiva Advertising","+ 91  9305381945",""
"Dev Advertisers","+ 91  522 4069501",""
"Nikhil & Sons","+ 91  7705048111",""
"Azad advertising","+ 91  9580262366",""
"Webrain Informatics","",""
"AGRAWAL BANDHU","+ 91  522 4108502",""
"Click Advertising","+ 91  9305076151",""
"satdxghv","+ 91  9999999998",""
"New Anugraphix","+ 91  522 4075938",""
"Crime Page","+ 91  9451093300",""
"SOFTLINE MEDIA LTD","+ 91  9792770033",""
"Aliya Traders & Propertys","+ 91  9335727654",""
"Align Solutions","+ 91  522 4068400",""
"Elora Enterprises A Complete P...","+ 91  522 4003869",""
"Chiranjn Advertising","+ 91  522 2235756",""
"Set Well Media","+ 91  9838657232",""
"Maadhyam Marketing & Advertisi...","+ 91  522 3103241",""
"Shri Mahendra Advertising","+ 91  9336828120",""
"Priyanka Prakashan","+ 91  522 4101864",""
"Fusion India Inc.","+ 91  522 3013862",""
"headline 24","+ 91  522 4016365",""
"The promoter advertiesting","+ 91  7275773277",""
"Anu Image Makers Advertising C...","+ 91  522 3093996",""
"Shachi Media Vision","+ 91  522 4069799",""
"Adament Associates","+ 91  522 3249535",""
"Sunny Publicity","+ 91  9839092787",""
"vision Advertising","+ 91  522 4021652",""
"Prerna Srijan","+ 91  522 4104260",""
"Ad - Solutions","+ 91  9696669293",""
"Gaurav Enterprise","+ 91  522 4079680",""
"Percept Advertising Ltd","+ 91  9832325444",""
"Oasis Publicity","+ 91  8400699909",""
"Candet Media PVT.LTD.","+ 91  522 4060766",""
"amit films","+ 91  9415561457",""
"Creative Mind","+ 91  7376143329",""
"Elisir Media Tech Pvt Ltd","+ 91  522 4101878",""
"Lucknow Advertising","+ 91  9519742842",""
"Raj Advertising","+ 91  9305236070",""
"Dotline","+ 91  522 4106101",""
"SACHI MEDIA VISION","+ 91  8090113774",""
"TG Advertising Solutions","+ 91  9415466551",""
"Kriti Advertising","+ 91  522 2617109",""
"aditya innovation","+ 91  9026998529",""
"NRC Pvt Ltd","+ 91  522 4029987",""
"Enhance Advertising & Promotions","+ 91  522 3093714",""
"Naina Advertising & Event Mgmt","+ 91  9335906173",""
"Samradhi Newspaper","+ 91  522 4077632",""
"Sunshine Advertisers","+ 91  522 2288141",""
"M M Advertising","+ 91  522 2629846",""
"M K Advertising","+ 91  9839827027",""
"Mega Advertising","+ 91  8896144455",""
"Adknack Advertising","+ 91  522 4024476",""
"Vision X Services","+ 91  522 4001454",""
"Sign Graphics","+ 91  9454148577",""
"Neete Advertising Service","+ 91  9839103207",""
"Maank Advertising Solution","+ 91  9335421483",""
"Applause Advertising","+ 91  522 2204804",""
"Primetime Communications","+ 91  9415111361",""
"ASHIRWAAD COPUTERS&advertisers","+ 91  9415086327",""
"Prateek Advertising & Marketin","+ 91  9236561643",""
"Dawn Publicity","+ 91  522 3013909",""
"Sarit Advertising","+ 91  522 2681182",""
"Chanakya Advertisers","+ 91  9839094739",""
"Arun Ads Service","+ 91  9415020186",""
"City Darshan","+ 91  9415177661",""
"Printco Advertising","+ 91  522 2617951",""
"Big Moon ENT","+ 91  9336496975",""
"Rachayita Adexpress & Marketers","+ 91  9235111323",""
"Gupta Auto Printers","+ 91  522 4115157",""
"D. M. Enterprises","+ 91  9415028935",""
"Nexus Media","+ 91  522 2208856",""
"Spectrum Advertising","+ 91  522 2209490",""
"Nexus Zone Corporate Communica...","+ 91  522 4104477",""
"AR Advertising","+ 91  9453849516",""
"S.K ADVERTISING","+ 91  522 4068520",""
"Jagrit Advertisers&Marketers","+ 91  522 4102959",""
"Asre Advertising Consultent","+ 91  9236528823",""
"Swastik Interprises","+ 91  9415023124",""
"Approach Advertising & Exhibit...","+ 91  522 2207414",""
"M K Printers","+ 91  522 2614620",""
"Gemini Advertising Co","+ 91  522 2206490",""
"Adore Advertising","+ 91  9335907211",""
"Pro Motions Services","+ 91  9935233314",""
"Amrit Vichar Hindi Daily","+ 91  522 2612978",""
"India Advertising","+ 91  9519216666",""
"Comeup Creation","+ 91  522 4024224",""
"MM ADMAKER","+ 91  9919253520",""
"Avcom Media Pvt Ltd","+ 91  522 2382262",""
"R.S Advertisement & Printing S...","+ 91  9580124636",""
"JM Advertiser","+ 91  7275021111",""
"Superior Advertising","+ 91  522 2251513",""
"S Raj Advertising","+ 91  9044516965",""
"Ambika Advertising & Marketing","+ 91  522 2261049",""
"C News","+ 91  522 6500300",""
"Chitransh media services","+ 91  522 4114909",""
"PAWANSUT ADVERTISING","+ 91  9235634506",""
"R. P. Advertising","+ 91  7755000974",""
"S V Media","+ 91  7275063005",""
"Madhav Chetan","+ 91  522 4012343",""
"square Asvertising","+ 91  8896111570",""
"MAPLES GROUP","+ 91  9118736422",""
"Impulse advertising","+ 91  9506414887",""
"BIG ZONE","+ 91  7309011535",""
"Bz big zone","+ 91  8423888804",""
"Avadh Advertising","+ 91  9839275345",""
"EARTH ADVERTISING","+ 91  7499851798",""
"JAI Durga Advertisers","+ 91  522 2341913",""
"advertisement for all","+ 91  9621235418",""
"Royal Publicity","+ 91  8896206361",""
"INDELIBLE ADVERTISING PVT LTD","",""
"vivek studio","+ 91  9559766180",""
"TAGLINE ADVERTISING","+ 91  9453055770",""
"Samarpan Ad Solutions","+ 91  522 4107587",""
"AD VENTURE","+ 91  9616494431",""
"R k advertising","+ 91  9648060614",""
"Miramax Advertising","+ 91  522 4069584",""
"Mallics Advertising & Marketing","+ 91  522 2333087",""
"Ansh Graphix","+ 91  9335727270",""
"Helpline advertising","+ 91  9335611894",""
"new jyoti arts","+ 91  7379687000",""
"SUGREEV ADVERTISING","+ 91  9335768484",""
"Grace Digital Arts","+ 91  522 4013154",""
"SWASTIK ADVERTISING","+ 91  522 4003632",""
"S K Advertiser","+ 91  8423010340",""
"Mahtab Times","+ 91  8853656069",""
"CITY BUSINESS","+ 91  9795859021",""
"Kushgra Advertising","+ 91  8953110069",""
"S K ADVERTISING","+ 91  9889153670",""
"K.S.R.D.ADVERTISERS","+ 91  9839704000",""
"KSRD Advertising","+ 91  9305422769",""
"ROOBI ADVERTISING","+ 91  9026755314",""
"Sampark Advertising","+ 91  522 2300322",""
"Flash Advertising & Exposition","+ 91  522 4026419",""
"Business india","+ 91  8858268810",""
"Add INDIA","+ 91  9616666671",""
"Sark Advertising","+ 91  9794865813",""
"3 D ventures advertising","+ 91  9005007408",""
"National Agencies","+ 91  522 4009522",""
"Views Advertising","+ 91  9839022888",""
"Mamta Advertisers","+ 91  522 2303470",""
"STAMP MAKER.","+ 91  9598914132",""
"HTC SHIFA TRADING COMPANY","+ 91  9616100009",""
"Metro City Add","+ 91  9695843000",""
"Rajesh enterprises","+ 91  8957950511",""
"Big Ideas Advertising & Design","+ 91  9415424882",""
"KRANTI NEWS","+ 91  522 2961378",""
"Unique Advertising & Marketing","+ 91  522 4016888",""
"Stuti Media","+ 91  522 4016888",""
"ADMIRE OUTDOOR","+ 91  9889339555",""
"Kashi Media Solutions Pvt Ltd.","+ 91  9670311278",""
"BTX Advertising & Branding So...","+ 91  7408512708",""
"The Achiever Times","+ 91  7570901369",""
"LATTITUDE","+ 91  8960133666",""
"DWIVEDI ASSOCITES","+ 91  9807524711",""
"SHINE ADVERTISING","+ 91  9918425476",""
"GNP ADVERTISING","+ 91  9721182991",""
"Jyoti Marketing","+ 91  9506063006",""
"Open Line Communication","+ 91  9415088335",""
"Myra India The Advertising Agency","+ 91  7607978888",""
"S.S. Advertising","+ 91  9305002991",""
"Advision Media Services","+ 91  522 4101607",""
"aajkikhabar.com","+ 91  522 4106121",""
"Puneet Advertising & Media","+ 91  522 2347233",""
"Ad Artists","+ 91  522 4003228",""
"M.G.GRAFIX","+ 91  522 4048692",""
"Renaissance Consulting","+ 91  522 4004100",""
"THE MORNING EXPRESS","+ 91  7860069220",""
"THE MORNING NEWS","+ 91  7398677619",""
"Ritesh Enterprises","+ 91  522 4068170",""
"BINDU LEGAL SERVICES","+ 91  9026197791",""
