"Name","Phone","Address"

"Hmr International School","+ 91  80 33562842","No.41/1, 11th Cross,9th Main,4th Block,Maruthi Layout, Kalyan Nagar, Bangalore - 560043"
"Vidya Soudha Public School","+ 91  80 33532486","No.9/1, 1st Main,1st Stage, Peenya, Bangalore - 560058, Near Metro Station"
"SSB International Schools","+ 91  80 39628035","No.5/A, Hal 2nd Stage, Indiranagar, Bangalore - 560038"
"Daffodils English School","+ 91  80 32483095","4th Main,Postal Colony,RMV 2nd Stage, Sanjay Nagar, Bangalore - 560094"
"Greenfield Public School","+ 91  80 32329699","No.39/6, Sampige Halli, Jakkur, Jakkur Layout, Bangalore - 560064, Near to Shoba City Appartment"
"Gem School","+ 91  80 33724637","7th Main,Ganganagar Extension, R T Nagar, Bangalore - 560032, Opposite RT Nagar Post Office"
"Bangalore Education Guide L...","+ 91  80 33642606","No 68,1st Floor, 4th Main,Postal Colony, Sanjay Nagar, Bangalore - 560094, Near Daffodils School"
"The Foundation School","+ 91  80 33566323","Survey No.153, Halasahalli, Thippasandra, Sarjapur Main Road, Varthur, Bangalore - 560087, Near Gunjur Bus Stop"
"Ilm Montessori","+ 91  80 33674419","No 322, 5th Main 1st Block, Koramangala, Bangalore - 560095, Behind Wipro Park"
"Trio World Academy","+ 91  80 40611222","No.3/5, Kodigehalli Main Road, Sahakara Nagar, Bangalore - 560092, Near Chairmans Club"
"Shiksha Sagar High School","+ 91  80 33724329","No.77, 5th Main,Postal Colony, Sanjay Nagar, Bangalore - 560094, Near Axis Bank"
"Orchids The International S...","+ 91  80 33531532","Sector 2, HMT Colony, Jalahalli, Bangalore - 560013, Behind Pf Quarters, Near HMT Theatre"
"Little Millennium","+ 91  80 33618632","No 41/A,M S Ramaiah Enclave, Hessarghatta Main Road, Bangalore - 560073, Near Pattedar Samaj"
"Einstein High Nursery And P...","+ 91  80 33722672","Maa Krupa Mansion,No.33, Kullappa Circle,1st Cross K.E.B. Road, Kammanahalli, Bangalore - 560084, Next City Super Market"
"Clarence Public School","+ 91  80 33052458","No.19, 4th Cross,4th Phase,Dollars Colony, Jp Nagar, Bangalore - 560078, Near Delmia Circle"
"Royale Concorde Internation...","+ 91  80 33674148","No.3/2, Ambalipura Village,Sarjarpur Main Road, Bellandur, Bangalore - 560103, Near Big Bazaar"
"Lawrence High School","+ 91  80 25722777","No CA3, 9th Main,15th Cross,6th Sector, HSR Layout, Bangalore - 560102, Near BDA Complex"
"Image English School","+ 91  80 33618931","No 20/1/B, Annaiah Reddy Extention, 18th Cross, 24th main, Jp Nagar, Bangalore - 560078, Near BBMP office, 6th Phase"
"Oi Play School","+ 91  80 33531782","Plot # 774, 15 Th Cross, 1 St Phase, Jp Nagar, Bangalore - 560078, Near Shell Petrol Bunk"
"Nightingales English School","+ 91  80 33569265","No.1/ B And C, BTM 4th Stage, Bannerghatta Road, Devarachikanahalli,, Bilekahalli, Bangalore - 560076, Near Vijaya Bank Enclave"
"Little Lillys English School","+ 91  80 33537642","No.201, 2nd Main,Mahalakshmi Layout, Mahalakshmipuram Layout, Bangalore - 560086, Near Iskon Temple And K G Ground"
"United International School","+ 91  80 33531507","Hennur Bagalur Main Road, Hennur Main Road, Bangalore - 560043, Opposite Farhan School Of Nursing"
"Kidzee Itpl","+ 91  80 33518806","112, 3rd Cross, Prashanth Extension Layout, Itpl Road, Whitefield, Bangalore - 560066, Near Hope Farm Circle"
"The Brigade School","+ 91  80 33566731","No.9, 4th Cross,Whitefield Road, Mahadevapura, Bangalore - 560048, Adjacent Decalthon Sports Store,Near Mlr Convention Centre Building"
"Growing Miracles Montessori","+ 91  80 33538913",""
"G R Vidyadeep Education Soc...","+ 91  80 33910944","No 20, Dena Bank Colony,Bellary Road, Ganga Nagar Extension, Bangalore - 560032, Next Shell Petrol Bunk"
